"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"117N","SA","115057683","124th - Eastlake","0"," 117  1","1287822"
"117N","SA","115057676","124th - Eastlake","0"," 117  3","1287822"
"117N","SA","115057665","124th - Eastlake","0"," 117  3","1287822"
"117N","SA","115057689","Union Station","1"," 117  1","1287828"
"117N","SA","115057717","Union Station","1"," 117  2","1287828"
"117N","SU","115057746","124th - Eastlake","0"," 117  1","1287822"
"117N","SU","115057754","124th - Eastlake","0"," 117  1","1287822"
"117N","SU","115057753","124th - Eastlake","0"," 117  3","1287822"
"117N","SU","115057781","Union Station","1"," 117  1","1287828"
"117N","SU","115057787","Union Station","1"," 117  1","1287828"
"117N","SU","115057801","Union Station","1"," 117  1","1287828"
"117N","SU","115057786","Union Station","1"," 117  3","1287828"
"117N","MT","115057593","124th - Eastlake","0"," 117  1","1287822"
"117N","MT","115057565","124th - Eastlake","0"," 117  2","1287822"
"117N","MT","115057598","124th - Eastlake","0"," 117  3","1287822"
"117N","MT","115057601","124th - Eastlake","0"," 117  3","1287822"
"117N","MT","115057605","Union Station","1"," 117  3","1287828"
"117N","FR","115057487","124th - Eastlake","0"," 117  3","1287822"
"117N","FR","115057494","124th - Eastlake","0"," 117  1","1287822"
"117N","FR","115057507","124th - Eastlake","0"," 117  2","1287822"
"117N","FR","115057525","Union Station","1"," 117  1","1287828"
"117N","FR","115057550","Union Station","1"," 117  2","1287828"
"117N","FR","115057553","Union Station","1"," 117  2","1287828"
"117N","FR","115057546","Union Station","1"," 117  1","1287828"
"117N","FR","115057532","Union Station","1"," 117  2","1287828"
"117N","SA","115057674","124th - Eastlake","0"," 117  1","1287822"
"117N","SA","115057662","124th - Eastlake","0"," 117  1","1287822"
"117N","SA","115057684","124th - Eastlake","0"," 117  2","1287822"
"117N","SA","115057664","124th - Eastlake","0"," 117  2","1287822"
"117N","SA","115057660","124th - Eastlake","0"," 117  2","1287822"
"117N","SA","115057655","124th - Eastlake","0"," 117  3","1287822"
"117N","SA","115057696","Union Station","1"," 117  2","1287828"
"117N","SA","115057699","Union Station","1"," 117  2","1287828"
"117N","SA","115057708","Union Station","1"," 117  2","1287828"
"117N","SA","115057715","Union Station","1"," 117  3","1287828"
"117N","SU","115057736","124th - Eastlake","0"," 117  1","1287822"
"117N","SU","115057763","124th - Eastlake","0"," 117  1","1287822"
"117N","SU","115057737","124th - Eastlake","0"," 117  2","1287822"
"117N","SU","115057745","124th - Eastlake","0"," 117  3","1287822"
"117N","SU","115057747","124th - Eastlake","0"," 117  3","1287822"
"117N","SU","115057750","124th - Eastlake","0"," 117  3","1287822"
"117N","SU","115057759","124th - Eastlake","0"," 117  3","1287822"
"117N","SU","115057772","Union Station","1"," 117  1","1287828"
"117N","SU","115057775","Union Station","1"," 117  1","1287828"
"117N","SU","115057778","Union Station","1"," 117  1","1287828"
"117N","SU","115057795","Union Station","1"," 117  1","1287828"
"117N","SU","115057776","Union Station","1"," 117  2","1287828"
"117N","SU","115057782","Union Station","1"," 117  2","1287828"
"117N","SU","115057796","Union Station","1"," 117  2","1287828"
"117N","SU","115057774","Union Station","1"," 117  3","1287828"
"117N","SU","115057768","Union Station","1"," 117  3","1287828"
"117N","MT","115057575","124th - Eastlake","0"," 117  1","1287822"
"117N","MT","115057584","124th - Eastlake","0"," 117  1","1287822"
"117N","MT","115057561","124th - Eastlake","0"," 117  1","1287822"
"117N","MT","115057573","124th - Eastlake","0"," 117  2","1287822"
"117N","MT","115057594","124th - Eastlake","0"," 117  2","1287822"
"117N","MT","115057562","124th - Eastlake","0"," 117  2","1287822"
"117N","MT","115057603","Union Station","1"," 117  1","1287828"
"117N","MT","115057618","Union Station","1"," 117  1","1287828"
"117N","MT","115057610","Union Station","1"," 117  2","1287828"
"117N","MT","115057626","Union Station","1"," 117  2","1287828"
"117N","MT","115057617","Union Station","1"," 117  3","1287828"
"117N","MT","115057624","Union Station","1"," 117  3","1287828"
"117N","FR","115057512","124th - Eastlake","0"," 117  1","1287822"
"117N","FR","115057480","124th - Eastlake","0"," 117  2","1287822"
"117N","FR","115057514","124th - Eastlake","0"," 117  3","1287822"
"117N","FR","115057484","124th - Eastlake","0"," 117  3","1287822"
"117N","FR","115057496","124th - Eastlake","0"," 117  3","1287822"
"117N","FR","115057547","Union Station","1"," 117  2","1287828"
"117N","FR","115057530","Union Station","1"," 117  3","1287828"
"117N","FR","115057551","Union Station","1"," 117  3","1287828"
"117N","SA","115057677","124th - Eastlake","0"," 117  1","1287822"
"117N","SA","115057649","124th - Eastlake","0"," 117  2","1287822"
"117N","SA","115057668","124th - Eastlake","0"," 117  3","1287822"
"117N","SA","115057714","Union Station","1"," 117  2","1287828"
"117N","SA","115057700","Union Station","1"," 117  3","1287828"
"117N","SU","115057733","124th - Eastlake","0"," 117  1","1287822"
"117N","SU","115057742","124th - Eastlake","0"," 117  1","1287822"
"117N","SU","115057740","124th - Eastlake","0"," 117  2","1287822"
"117N","SU","115057764","124th - Eastlake","0"," 117  2","1287822"
