fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
ACE506,5.25,USD,1,,ACE,
ACE507,6.50,USD,1,,ACE,
ACE508,10.75,USD,1,,ACE,
ACE509,10.75,USD,1,,ACE,
ACE510,10.75,USD,1,,ACE,
ACE511,12.25,USD,1,,ACE,
ACE512,15.50,USD,1,,ACE,
ACE513,15.50,USD,1,,ACE,
ACE514,15.50,USD,1,,ACE,
ACE515,5.25,USD,1,,ACE,
ACE516,6.25,USD,1,,ACE,
ACE517,10.25,USD,1,,ACE,
ACE518,10.25,USD,1,,ACE,
ACE519,10.25,USD,1,,ACE,
ACE520,11.75,USD,1,,ACE,
ACE521,14.50,USD,1,,ACE,
ACE522,14.50,USD,1,,ACE,
ACE523,14.50,USD,1,,ACE,
ACE524,6.50,USD,1,,ACE,
ACE525,6.25,USD,1,,ACE,
ACE526,6.25,USD,1,,ACE,
ACE527,6.25,USD,1,,ACE,
ACE528,6.25,USD,1,,ACE,
ACE529,10.25,USD,1,,ACE,
ACE530,11.75,USD,1,,ACE,
ACE531,11.75,USD,1,,ACE,
ACE532,11.75,USD,1,,ACE,
ACE533,10.75,USD,1,,ACE,
ACE534,10.25,USD,1,,ACE,
ACE535,6.25,USD,1,,ACE,
ACE536,4.75,USD,1,,ACE,
ACE537,4.75,USD,1,,ACE,
ACE538,6.25,USD,1,,ACE,
ACE539,10.25,USD,1,,ACE,
ACE540,10.25,USD,1,,ACE,
ACE541,10.25,USD,1,,ACE,
ACE542,10.75,USD,1,,ACE,
ACE543,10.25,USD,1,,ACE,
ACE544,6.25,USD,1,,ACE,
ACE545,4.75,USD,1,,ACE,
ACE546,4.75,USD,1,,ACE,
ACE547,6.25,USD,1,,ACE,
ACE548,10.25,USD,1,,ACE,
ACE549,10.25,USD,1,,ACE,
ACE550,10.25,USD,1,,ACE,
ACE551,10.75,USD,1,,ACE,
ACE552,10.25,USD,1,,ACE,
ACE553,6.25,USD,1,,ACE,
ACE554,4.75,USD,1,,ACE,
ACE555,4.75,USD,1,,ACE,
ACE556,6.25,USD,1,,ACE,
ACE557,10.25,USD,1,,ACE,
ACE558,10.25,USD,1,,ACE,
ACE559,10.25,USD,1,,ACE,
ACE560,15.50,USD,1,,ACE,
ACE561,14.50,USD,1,,ACE,
ACE562,11.75,USD,1,,ACE,
ACE563,10.25,USD,1,,ACE,
ACE564,10.25,USD,1,,ACE,
ACE565,10.25,USD,1,,ACE,
ACE566,6.25,USD,1,,ACE,
ACE567,6.25,USD,1,,ACE,
ACE568,6.25,USD,1,,ACE,
ACE569,15.50,USD,1,,ACE,
ACE570,14.50,USD,1,,ACE,
ACE571,11.75,USD,1,,ACE,
ACE572,10.25,USD,1,,ACE,
ACE573,10.25,USD,1,,ACE,
ACE574,10.25,USD,1,,ACE,
ACE575,6.25,USD,1,,ACE,
ACE576,4.75,USD,1,,ACE,
ACE577,4.75,USD,1,,ACE,
ACE578,15.50,USD,1,,ACE,
ACE579,14.50,USD,1,,ACE,
ACE580,11.75,USD,1,,ACE,
ACE581,10.25,USD,1,,ACE,
ACE582,10.25,USD,1,,ACE,
ACE583,10.25,USD,1,,ACE,
ACE584,6.25,USD,1,,ACE,
ACE585,4.75,USD,1,,ACE,
ACE586,4.75,USD,1,,ACE,
ACE587,15.50,USD,1,,ACE,
ACE588,14.50,USD,1,,ACE,
ACE589,11.75,USD,1,,ACE,
ACE590,10.25,USD,1,,ACE,
ACE591,10.25,USD,1,,ACE,
ACE592,10.25,USD,1,,ACE,
ACE593,6.25,USD,1,,ACE,
ACE594,4.75,USD,1,,ACE,
ACE595,4.75,USD,1,,ACE,
ACE1312,5.25,USD,1,,ACE,
ACE1313,6.50,USD,1,,ACE,
ACE1314,10.75,USD,1,,ACE,
ACE1315,10.75,USD,1,,ACE,
ACE1316,10.75,USD,1,,ACE,
ACE1317,12.25,USD,1,,ACE,
ACE1318,15.50,USD,1,,ACE,
ACE1319,15.50,USD,1,,ACE,
ACE1320,15.50,USD,1,,ACE,
ACE1321,5.25,USD,1,,ACE,
ACE1322,6.25,USD,1,,ACE,
ACE1323,10.25,USD,1,,ACE,
ACE1324,10.25,USD,1,,ACE,
