trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
ACE04,0,SJC,15:35:00,15:35:00,San Jose Amtrak Station,0,0,,,0,
ACE04,1,SCC,15:40:00,15:40:00,Santa Clara Amtrak Station,0,0,,,4085.459419129001,
ACE04,2,GAC,15:49:00,15:49:00,Great America Parkway Amtrak Station,0,0,,,10842.688557345953,
ACE04,3,FMT,16:05:00,16:05:00,Fremont Amtrak Station,0,0,,,31003.78828098498,
ACE04,4,PLS,16:28:00,16:28:00,Pleasanton Amtrak Station,0,0,,,53149.45542342616,
ACE04,5,LIV,16:37:00,16:37:00,Livermore Amtrak Station,0,0,,,64008.57935494818,
ACE04,6,VAS,16:42:00,16:42:00,Vasco Rt Amtrak Station,0,0,,,68610.26964290605,
ACE04,7,TRC,17:11:00,17:11:00,Tracy Amtrak Station,0,0,,,100692.67588007517,
ACE04,8,LTM,17:23:00,17:23:00,Lathrop Amtrak Station,0,0,,,120202.30844935894,
ACE04,9,SKT,17:47:00,17:47:00,Stockton- Robert J Cabral Amtrak Station,0,0,,,138118.68384977913,
ACE06,0,SJC,16:35:00,16:35:00,San Jose Amtrak Station,0,0,,,0,
ACE06,1,SCC,16:40:00,16:40:00,Santa Clara Amtrak Station,0,0,,,4085.459419129001,
ACE06,2,GAC,16:49:00,16:49:00,Great America Parkway Amtrak Station,0,0,,,10842.688557345953,
ACE06,3,FMT,17:05:00,17:05:00,Fremont Amtrak Station,0,0,,,31003.78828098498,
ACE06,4,PLS,17:28:00,17:28:00,Pleasanton Amtrak Station,0,0,,,53149.45542342616,
ACE06,5,LIV,17:37:00,17:37:00,Livermore Amtrak Station,0,0,,,64008.57935494818,
ACE06,6,VAS,17:42:00,17:42:00,Vasco Rt Amtrak Station,0,0,,,68610.26964290605,
ACE06,7,TRC,18:11:00,18:11:00,Tracy Amtrak Station,0,0,,,100692.67588007517,
ACE06,8,LTM,18:23:00,18:23:00,Lathrop Amtrak Station,0,0,,,120202.30844935894,
ACE06,9,SKT,18:47:00,18:47:00,Stockton- Robert J Cabral Amtrak Station,0,0,,,138118.68384977913,
ACE08,0,SJC,17:35:00,17:35:00,San Jose Amtrak Station,0,0,,,0,
ACE08,1,SCC,17:40:00,17:40:00,Santa Clara Amtrak Station,0,0,,,4085.459419129001,
ACE08,2,GAC,17:49:00,17:49:00,Great America Parkway Amtrak Station,0,0,,,10842.688557345953,
ACE08,3,FMT,18:05:00,18:05:00,Fremont Amtrak Station,0,0,,,31003.78828098498,
ACE08,4,PLS,18:28:00,18:28:00,Pleasanton Amtrak Station,0,0,,,53149.45542342616,
ACE08,5,LIV,18:37:00,18:37:00,Livermore Amtrak Station,0,0,,,64008.57935494818,
ACE08,6,VAS,18:42:00,18:42:00,Vasco Rt Amtrak Station,0,0,,,68610.26964290605,
ACE08,7,TRC,19:11:00,19:11:00,Tracy Amtrak Station,0,0,,,100692.67588007517,
ACE08,8,LTM,19:23:00,19:23:00,Lathrop Amtrak Station,0,0,,,120202.30844935894,
ACE08,9,SKT,19:47:00,19:47:00,Stockton- Robert J Cabral Amtrak Station,0,0,,,138118.68384977913,
ACE01,0,SKT,04:10:00,04:10:00,Stockton- Robert J Cabral Amtrak Station,0,0,,,0,
ACE01,1,LTM,04:29:00,04:29:00,Lathrop Amtrak Station,0,0,,,17884.11416058083,
ACE01,2,TRC,04:41:00,04:41:00,Tracy Amtrak Station,0,0,,,37412.587087555774,
ACE01,3,VAS,05:10:00,05:10:00,Vasco Rt Amtrak Station,0,0,,,69499.63367152879,
ACE01,4,LIV,05:15:00,05:15:00,Livermore Amtrak Station,0,0,,,74120.2800445276,
ACE01,5,PLS,05:23:00,05:23:00,Pleasanton Amtrak Station,0,0,,,85004.68009664462,
ACE01,6,FMT,05:45:00,05:45:00,Fremont Amtrak Station,0,0,,,106212.60152245872,
ACE01,7,GAC,06:03:00,06:03:00,Great America Parkway Amtrak Station,0,0,,,126379.77542437006,
ACE01,8,SCC,06:10:00,06:10:00,Santa Clara Amtrak Station,0,0,,,133108.457656862,
ACE01,9,SJC,06:22:00,06:22:00,San Jose Amtrak Station,0,0,,,137171.37548557593,
ACE03,0,SKT,05:35:00,05:35:00,Stockton- Robert J Cabral Amtrak Station,0,0,,,0,
ACE03,1,LTM,05:54:00,05:54:00,Lathrop Amtrak Station,0,0,,,17884.11416058083,
ACE03,2,TRC,06:06:00,06:06:00,Tracy Amtrak Station,0,0,,,37412.587087555774,
ACE03,3,VAS,06:35:00,06:35:00,Vasco Rt Amtrak Station,0,0,,,69499.63367152879,
ACE03,4,LIV,06:40:00,06:40:00,Livermore Amtrak Station,0,0,,,74120.2800445276,
ACE03,5,PLS,06:48:00,06:48:00,Pleasanton Amtrak Station,0,0,,,85004.68009664462,
ACE03,6,FMT,07:10:00,07:10:00,Fremont Amtrak Station,0,0,,,106212.60152245872,
ACE03,7,GAC,07:28:00,07:28:00,Great America Parkway Amtrak Station,0,0,,,126379.77542437006,
ACE03,8,SCC,07:35:00,07:35:00,Santa Clara Amtrak Station,0,0,,,133108.457656862,
ACE03,9,SJC,07:47:00,07:47:00,San Jose Amtrak Station,0,0,,,137171.37548557593,
ACE05,0,SKT,06:40:00,06:40:00,Stockton- Robert J Cabral Amtrak Station,0,0,,,0,
ACE05,1,LTM,06:59:00,06:59:00,Lathrop Amtrak Station,0,0,,,17884.11416058083,
ACE05,2,TRC,07:11:00,07:11:00,Tracy Amtrak Station,0,0,,,37412.587087555774,
