stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
LAX,73529,Los Angeles Amtrak Station,,34.056205,-118.236504,LAX,https://www.amtrak.com/stations/lax,0,,,1,
BFD,73233,Bakersfield Amtrak Station,,35.372182,-119.007701,BFD,https://www.amtrak.com/stations/bfd.html,0,,,1,
WAC,73922,Wasco Amtrak Station,,35.594231,-119.331919,WAC,https://www.amtrak.com/stations/wac.html,0,,,1,
COC,73262,Corcoran Amtrak Station,,36.098325,-119.557140,COC,https://www.amtrak.com/stations/coc,0,,,1,
HNF,73463,Hanford Amtrak Station,,36.326092,-119.651982,HNF,https://www.amtrak.com/stations/hnf.html,0,,,1,
FNO,73366,Fresno Amtrak Station,,36.738431,-119.782647,FNO,https://www.amtrak.com/stations/fno.html,0,,,1,
MDR,73637,Madera Amtrak Station,,37.022568,-120.075125,MDR,https://www.amtrak.com/stations/mdr.html,0,,,1,
MCD,73623,Merced Amtrak Station,,37.307330,-120.476773,MCD,https://www.amtrak.com/stations/mcd.html,0,,,1,
TRK,73875,Turlock-Denair Amtrak Station,,37.527261,-120.798080,TRK,https://www.amtrak.com/stations/trk.html,0,,,1,
MOD,73663,Modesto Amtrak Station,,37.668882,-120.912354,MOD,https://www.amtrak.com/stations/mod.html,0,,,1,
SKT,73758,Stockton- Robert J Cabral Amtrak Station,,37.957080,-121.278880,SKT,https://www.amtrak.com/stations/skt.html,0,,,1,
SKN,73756,Stockton- San Joaquin Street Amtrak Station,,37.945298,-121.285573,SKN,https://www.amtrak.com/stations/skn.html,0,,,1,
LOD,73563,Lodi Amtrak Station,,38.133445,-121.271655,LOD,https://www.amtrak.com/stations/lod.html,0,,,1,
SAC,73720,Sacremento Amtrak Station,,38.584163,-121.500640,SAC,https://www.amtrak.com/stations/sac.html,0,,,1,
ACA,73222,Antioch Amtrak Station,,38.017818,-121.816183,ACA,https://www.amtrak.com/stations/aca.html,0,,,1,
MTZ,73686,Martinez Amtrak Station,,38.019089,-122.138832,MTZ,https://www.amtrak.com/stations/mtz.html,0,,,1,
RIC,73742,Richmond Amtrak Station,,37.936775,-122.353053,RIC,https://www.amtrak.com/stations/ric.html,0,,,1,
EMY,73369,Emeryville Amtrak Station,,37.840463,-122.291727,EMY,https://www.amtrak.com/stations/emy.html,0,,,1,
OKJ,73655,Oakaland Amtrak Station,,37.793793,-122.271467,OKJ,https://www.amtrak.com/stations/okj.html,0,,,1,
LTM,73586,Lathrop Amtrak Station,,37.798940,-121.264143,LTM,https://www.amtrak.com/stations/ltm.html,0,,,1,
TRC,73872,Tracy Amtrak Station,,37.696419,-121.432738,TRC,https://www.amtrak.com/stations/trc.html,0,,,1,
VAS,73827,Vasco Rt Amtrak Station,,37.697062,-121.717655,VAS,https://www.amtrak.com/stations/vas.html,0,,,1,
LIV,73548,Livermore Amtrak Station,,37.685045,-121.766906,LIV,https://www.amtrak.com/stations/liv.html,0,,,1,
PLS,73757,Pleasanton Amtrak Station,,37.658561,-121.882229,PLS,https://www.amtrak.com/stations/pls.html,0,,,1,
FMT,73368,Fremont Amtrak Station,,37.559114,-122.007353,FMT,https://www.amtrak.com/stations/fmt.html,0,,,1,
GAC,73422,Great America Parkway Amtrak Station,,37.406833,-121.967047,GAC,https://www.amtrak.com/stations/gac.html,0,,,1,
SCC,73722,Santa Clara Amtrak Station,,37.353506,-121.936312,SCC,https://www.amtrak.com/stations/scc.html,0,,,1,
SJC,73752,San Jose Amtrak Station,,37.330686,-121.902378,SJC,https://www.amtrak.com/stations/sjc.html,0,,,1,
