,stop_name,115057476 (N),115057477 (N),115057478 (N),115057479 (N),115057480 (N),115057481 (N),115057482 (N),115057483 (N),115057484 (N),115057485 (N),115057486 (N),115057487 (N),115057488 (N),115057489 (N),115057490 (N),115057491 (N),115057492 (N),115057493 (N),115057494 (N),115057495 (N),115057496 (N),115057503 (N),115057504 (N),115057505 (N),115057506 (N),115057507 (N),115057508 (N),115057509 (N),115057510 (N),115057511 (N),115057512 (N),115057513 (N),115057514 (N),115057515 (N),115057516 (N),115057517 (N),115057519 (N),115057520 (N),115057521 (N),115057522 (N),115057523 (N),115057524 (N),115057525 (N),115057526 (N),115057527 (N),115057528 (N),115057529 (N),115057530 (N),115057531 (N),115057532 (N),115057533 (N),115057534 (N),115057535 (N),115057536 (N),115057537 (N),115057538 (N),115057539 (N),115057540 (N),115057541 (N),115057542 (N),115057543 (N),115057544 (N),115057545 (N),115057546 (N),115057547 (N),115057548 (N),115057549 (N),115057550 (N),115057551 (N),115057552 (N),115057553 (N),115057554 (N)
0,Wadsworth / Hampden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nine Mile Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Evans Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pecos Junction Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18th St / California Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Platte Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Iliff Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Longmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Boulder Junction at Depot Square Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,61st / Pena Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,48th Ave/Brighton Blvd @ Nat`L Western Ctr,13:04:00 (2),13:34:00 (2),14:04:00 (2),14:34:00 (2),15:04:00 (2),15:34:00 (2),16:04:00 (2),16:34:00 (2),17:04:00 (2),17:34:00 (2),18:04:00 (2),18:34:00 (2),19:04:00 (2),19:34:00 (2),20:04:00 (2),20:34:00 (2),21:04:00 (2),21:34:00 (2),22:04:00 (2),22:34:00 (2),23:04:00 (2),05:34:00 (2),06:04:00 (2),06:34:00 (2),07:04:00 (2),07:34:00 (2),08:04:00 (2),08:34:00 (2),09:04:00 (2),09:34:00 (2),10:04:00 (2),10:34:00 (2),11:04:00 (2),11:34:00 (2),12:04:00 (2),12:34:00 (2),05:04:00 (6),05:34:00 (6),06:04:00 (6),06:34:00 (6),07:04:00 (6),07:34:00 (6),08:04:00 (6),08:34:00 (6),09:04:00 (6),09:34:00 (6),10:04:00 (6),10:34:00 (6),11:04:00 (6),11:34:00 (6),12:04:00 (6),12:34:00 (6),13:04:00 (6),13:34:00 (6),14:04:00 (6),14:34:00 (6),15:04:00 (6),15:34:00 (6),16:04:00 (6),16:34:00 (6),17:04:00 (6),17:34:00 (6),18:04:00 (6),18:34:00 (6),19:04:00 (6),19:34:00 (6),20:04:00 (6),20:34:00 (6),21:04:00 (6),21:34:00 (6),22:04:00 (6),22:34:00 (6)
