,stop_name,6313 (Barrie),6314 (Barrie),6315 (Barrie),6316 (Barrie),6317 (Barrie),6318 (Barrie),6322 (Barrie),6329 (Barrie),6331 (Barrie),6332 (Barrie),6333 (Barrie),6334 (Barrie),6504 (Barrie),6521 (Barrie),6606 (Barrie),6608 (Barrie),6627 (Barrie),6727 (Barrie),6806 (Barrie),6808 (Barrie),6825 (Barrie),6908 (Barrie),6910 (Barrie),6911 (Barrie),6912 (Barrie),6919 (Barrie),6920 (Barrie),6923 (Barrie),6927 (Barrie),6935 (Barrie),6936 (Barrie),6937 (Barrie),3009 (Kitchener),3011 (Kitchener),3015 (Kitchener),3017 (Kitchener),3019 (Kitchener),3021 (Kitchener),3023 (Kitchener),3025 (Kitchener),3031 (Kitchener),3033 (Kitchener),3035 (Kitchener),3037 (Kitchener),3108 (Kitchener),3110 (Kitchener),3126 (Kitchener),3128 (Kitchener),3205 (Kitchener),3207 (Kitchener),3209 (Kitchener),3227 (Kitchener),3308 (Kitchener),3310 (Kitchener),3312 (Kitchener),3316 (Kitchener),3318 (Kitchener),3320 (Kitchener),3322 (Kitchener),3328 (Kitchener),3332 (Kitchener),3334 (Kitchener),3336 (Kitchener),3338 (Kitchener),3414 (Kitchener),3416 (Kitchener),3420 (Kitchener),3422 (Kitchener),3432 (Kitchener),3434 (Kitchener),3513 (Kitchener),3515 (Kitchener),3519 (Kitchener),3521 (Kitchener),3529 (Kitchener),3531 (Kitchener),3533 (Kitchener),3539 (Kitchener),3604 (Kitchener),3606 (Kitchener),3625 (Kitchener),3627 (Kitchener),3812 (Kitchener),3818 (Kitchener),3824 (Kitchener),3829 (Kitchener),3836 (Kitchener),3858 (Kitchener),3860 (Kitchener),3875 (Kitchener),3877 (Kitchener),3904 (Kitchener),3906 (Kitchener),3911 (Kitchener),3917 (Kitchener),3923 (Kitchener),3935 (Kitchener),3937 (Kitchener),3958 (Kitchener),3960 (Kitchener),3975 (Kitchener),3977 (Kitchener),9004 (Lakeshore East),9005 (Lakeshore East),9006 (Lakeshore East),9007 (Lakeshore East),9008 (Lakeshore East),9009 (Lakeshore East),9010 (Lakeshore East),9011 (Lakeshore East),9013 (Lakeshore East),9015 (Lakeshore East),9017 (Lakeshore East),9019 (Lakeshore East),9021 (Lakeshore East),9023 (Lakeshore East),9024 (Lakeshore East),9025 (Lakeshore East),9026 (Lakeshore East),9027 (Lakeshore East),9029 (Lakeshore East),9031 (Lakeshore East),9032 (Lakeshore East),9033 (Lakeshore East),9035 (Lakeshore East),9037 (Lakeshore East),9039 (Lakeshore East),9041 (Lakeshore East),9109 (Lakeshore East),9112 (Lakeshore East),9114 (Lakeshore East),9116 (Lakeshore East),9118 (Lakeshore East),9120 (Lakeshore East),9122 (Lakeshore East),9124 (Lakeshore East),9126 (Lakeshore East),9128 (Lakeshore East),9130 (Lakeshore East),9134 (Lakeshore East),9136 (Lakeshore East),9138 (Lakeshore East),9140 (Lakeshore East),9204 (Lakeshore East),9205 (Lakeshore East),9206 (Lakeshore East),9207 (Lakeshore East),9208 (Lakeshore East),9209 (Lakeshore East),9211 (Lakeshore East),9213 (Lakeshore East),9215 (Lakeshore East),9217 (Lakeshore East),9219 (Lakeshore East),9221 (Lakeshore East),9223 (Lakeshore East),9224 (Lakeshore East),9225 (Lakeshore East),9226 (Lakeshore East),9227 (Lakeshore East),9229 (Lakeshore East),9231 (Lakeshore East),9233 (Lakeshore East),9235 (Lakeshore East),9237 (Lakeshore East),9239 (Lakeshore East),9241 (Lakeshore East),9307 (Lakeshore East),9309 (Lakeshore East),9310 (Lakeshore East),9312 (Lakeshore East),9314 (Lakeshore East),9316 (Lakeshore East),9318 (Lakeshore East),9320 (Lakeshore East),9322 (Lakeshore East),9324 (Lakeshore East),9326 (Lakeshore East),9328 (Lakeshore East),9330 (Lakeshore East),9332 (Lakeshore East),9334 (Lakeshore East),9336 (Lakeshore East),9338 (Lakeshore East),9340 (Lakeshore East),1004 (Lakeshore West),1005 (Lakeshore West),1006 (Lakeshore West),1007 (Lakeshore West),1009 (Lakeshore West),1011 (Lakeshore West),1012 (Lakeshore West),1013 (Lakeshore West),1014 (Lakeshore West),1015 (Lakeshore West),1016 (Lakeshore West),1017 (Lakeshore West),1018 (Lakeshore West),1019 (Lakeshore West),1020 (Lakeshore West),1021 (Lakeshore West),1022 (Lakeshore West),1023 (Lakeshore West),1024 (Lakeshore West),1026 (Lakeshore West),1028 (Lakeshore West),1029 (Lakeshore West),1030 (Lakeshore West),1031 (Lakeshore West),1032 (Lakeshore West),1033 (Lakeshore West),1034 (Lakeshore West),1035 (Lakeshore West),1036 (Lakeshore West),1037 (Lakeshore West),1038 (Lakeshore West),1039 (Lakeshore West),1040 (Lakeshore West),1041 (Lakeshore West),1075 (Lakeshore West),1077 (Lakeshore West),1108 (Lakeshore West),1110 (Lakeshore West),1125 (Lakeshore West),1127 (Lakeshore West),1256 (Lakeshore West),1258 (Lakeshore West),1306 (Lakeshore West),1308 (Lakeshore West),1310 (Lakeshore West),1323 (Lakeshore West),1325 (Lakeshore West),1327 (Lakeshore West),1704 (Lakeshore West),1705 (Lakeshore West),1707 (Lakeshore West),1709 (Lakeshore West),1710 (Lakeshore West),1711 (Lakeshore West),1712 (Lakeshore West),1713 (Lakeshore West),1714 (Lakeshore West),1715 (Lakeshore West),1716 (Lakeshore West),1717 (Lakeshore West),1718 (Lakeshore West),1719 (Lakeshore West),1720 (Lakeshore West),1721 (Lakeshore West),1722 (Lakeshore West),1724 (Lakeshore West),1726 (Lakeshore West),1727 (Lakeshore West),1728 (Lakeshore West),1729 (Lakeshore West),1730 (Lakeshore West),1731 (Lakeshore West),1732 (Lakeshore West),1733 (Lakeshore West),1734 (Lakeshore West),1735 (Lakeshore West),1736 (Lakeshore West),1737 (Lakeshore West),1738 (Lakeshore West),1739 (Lakeshore West),1740 (Lakeshore West),1741 (Lakeshore West),1756 (Lakeshore West),1758 (Lakeshore West),1775 (Lakeshore West),1777 (Lakeshore West),1854 (Lakeshore West),1856 (Lakeshore West),1858 (Lakeshore West),1860 (Lakeshore West),1873 (Lakeshore West),1875 (Lakeshore West),1877 (Lakeshore West),1879 (Lakeshore West),1960 (Lakeshore West),1961 (Lakeshore West),1972 (Lakeshore West),1977 (Lakeshore West),1988 (Lakeshore West),X1987 (Lakeshore West),2706 (Milton),2710 (Milton),2712 (Milton),2714 (Milton),2716 (Milton),2718 (Milton),2720 (Milton),2722 (Milton),2723 (Milton),2724 (Milton),2726 (Milton),2727 (Milton),2729 (Milton),2731 (Milton),2735 (Milton),2737 (Milton),2739 (Milton),2741 (Milton),2745 (Milton),2749 (Milton),5006 (Richmond Hill),5008 (Richmond Hill),5010 (Richmond Hill),5127 (Richmond Hill),5208 (Richmond Hill),5323 (Richmond Hill),5325 (Richmond Hill),5327 (Richmond Hill),5329 (Richmond Hill),7410 (Stouffville),7412 (Stouffville),7414 (Stouffville),7415 (Stouffville),7416 (Stouffville),7417 (Stouffville),7418 (Stouffville),7419 (Stouffville),7420 (Stouffville),7421 (Stouffville),7423 (Stouffville),7425 (Stouffville),7428 (Stouffville),7430 (Stouffville),7432 (Stouffville),7433 (Stouffville),7434 (Stouffville),7435 (Stouffville),7436 (Stouffville),7437 (Stouffville),7439 (Stouffville),7622 (Stouffville),7624 (Stouffville),7626 (Stouffville),7638 (Stouffville),7640 (Stouffville),7705 (Stouffville),7707 (Stouffville),7709 (Stouffville),7711 (Stouffville),7713 (Stouffville),7824 (Stouffville),7826 (Stouffville),7907 (Stouffville),7909 (Stouffville)
0,West Harbour GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:11:00 (1),08:01:00 (41),09:08:00 (41),10:09:00 (41),08:25:00 (1),11:09:00 (41),09:25:00 (1),12:09:00 (41),10:25:00 (1),13:09:00 (41),11:25:00 (1),14:09:00 (41),12:25:00 (1),15:09:00 (41),13:25:00 (1),16:09:00 (41),14:25:00 (1),15:26:00 (1),16:23:00 (1),19:10:00 (41),17:23:00 (1),20:10:00 (41),18:24:00 (1),21:10:00 (41),19:24:00 (1),22:10:00 (41),20:24:00 (1),23:10:00 (41),21:24:00 (1),24:10:00 (41),22:24:00 (1),25:10:00 (41),23:25:00 (1),26:10:00 (41),06:08:00 (1),07:09:00 (1),17:11:00 (41),18:11:00 (41),,,,,,,,,07:55:00 (19),,,18:31:00 (41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Whitby GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00:00 (24),05:10:00 (5),08:00:00 (24),06:15:00 (5),09:04:00 (24),07:15:00 (5),10:00:00 (24),08:15:00 (5),09:15:00 (5),10:15:00 (5),11:15:00 (5),12:15:00 (5),13:15:00 (5),14:15:00 (5),17:00:00 (24),15:15:00 (5),18:00:00 (24),16:15:00 (5),17:15:00 (5),18:15:00 (5),21:15:00 (24),19:15:00 (5),20:15:00 (5),21:15:00 (5),22:15:00 (5),23:15:00 (5),07:30:00 (5),11:15:00 (24),12:15:00 (24),13:15:00 (24),14:15:00 (24),15:15:00 (24),16:15:00 (24),17:15:00 (24),18:15:00 (24),19:15:00 (24),20:15:00 (24),22:15:00 (24),23:15:00 (24),24:15:00 (24),25:15:00 (24),07:30:00 (24),05:40:00 (5),08:34:00 (24),06:45:00 (5),09:34:00 (24),07:45:00 (5),08:45:00 (5),09:45:00 (5),10:45:00 (5),11:45:00 (5),12:45:00 (5),13:45:00 (5),14:45:00 (5),17:30:00 (24),15:45:00 (5),18:30:00 (24),16:45:00 (5),17:45:00 (5),18:45:00 (5),19:45:00 (5),20:45:00 (5),21:45:00 (5),22:45:00 (5),23:44:00 (5),07:00:00 (5),08:00:00 (5),10:45:00 (24),11:45:00 (24),12:45:00 (24),13:45:00 (24),14:45:00 (24),15:45:00 (24),16:45:00 (24),17:45:00 (24),18:45:00 (24),19:45:00 (24),20:45:00 (24),21:45:00 (24),22:45:00 (24),23:45:00 (24),24:45:00 (24),25:48:00 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Weston GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21:00 (11),09:21:00 (11),11:21:00 (11),12:21:00 (11),13:21:00 (11),14:21:00 (11),15:21:00 (11),16:21:00 (11),19:21:00 (11),20:21:00 (11),21:21:00 (11),22:21:00 (11),08:11:00 (8),09:11:00 (8),16:44:00 (8),17:44:00 (8),06:51:00 (11),07:51:00 (11),08:51:00 (11),17:51:00 (11),08:41:00 (8),09:41:00 (8),10:41:00 (8),12:41:00 (8),13:41:00 (8),14:41:00 (8),15:41:00 (8),18:41:00 (8),20:41:00 (8),21:41:00 (8),22:41:00 (8),23:41:00 (8),11:11:00 (14),12:11:00 (14),14:11:00 (14),15:11:00 (14),20:11:00 (14),21:11:00 (14),10:50:00 (11),11:51:00 (11),13:51:00 (11),14:51:00 (11),18:51:00 (11),19:51:00 (11),20:51:00 (11),23:51:00 (11),06:11:00 (19),07:11:00 (19),16:51:00 (11),17:21:00 (11),10:10:00 (31),13:11:00 (31),16:11:00 (31),18:21:00 (11),22:11:00 (31),,,,,06:41:00 (31),07:41:00 (31),09:50:00 (11),12:51:00 (11),15:51:00 (11),21:51:00 (11),22:51:00 (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Union Station,10:54:00 (1),11:47:00 (22),11:54:00 (1),12:46:00 (22),12:54:00 (1),13:46:00 (22),15:54:00 (22),18:54:00 (1),19:54:00 (1),20:46:00 (22),20:54:00 (1),21:46:00 (22),06:33:00 (28),15:02:00 (1),07:03:00 (35),08:03:00 (35),17:08:00 (1),17:23:00 (1),07:33:00 (35),08:33:00 (35),16:38:00 (1),08:48:00 (35),09:48:00 (35),09:54:00 (1),10:49:00 (35),14:01:00 (1),14:52:00 (35),15:53:00 (1),17:53:00 (1),22:01:00 (1),22:52:00 (35),22:54:00 (1),08:04:00 (1),09:04:00 (1),11:04:00 (1),12:04:00 (1),13:04:00 (1),14:04:00 (1),15:04:00 (1),16:04:00 (1),19:04:00 (1),20:04:00 (1),21:04:00 (1),22:04:00 (1),08:29:00 (18),09:29:00 (18),17:02:00 (18),18:02:00 (18),06:34:00 (1),07:34:00 (1),08:34:00 (1),17:34:00 (1),08:59:00 (18),09:59:00 (18),10:59:00 (18),12:59:00 (18),13:59:00 (18),14:59:00 (18),15:59:00 (18),18:59:00 (18),20:59:00 (18),21:59:00 (18),22:59:00 (18),23:59:00 (18),11:29:00 (24),12:29:00 (24),14:29:00 (24),15:29:00 (24),20:29:00 (24),21:29:00 (24),10:33:00 (1),11:34:00 (1),13:34:00 (1),14:34:00 (1),18:34:00 (1),19:34:00 (1),20:34:00 (1),23:34:00 (1),06:29:00 (29),07:29:00 (29),16:34:00 (1),17:04:00 (1),10:28:00 (41),13:29:00 (41),16:29:00 (41),18:04:00 (1),22:29:00 (41),08:14:00 (41),09:14:00 (41),16:19:00 (1),17:19:00 (1),06:59:00 (41),07:59:00 (41),09:33:00 (1),12:34:00 (1),15:34:00 (1),21:34:00 (1),22:34:00 (1),08:44:00 (41),09:44:00 (41),16:49:00 (1),17:49:00 (1),06:05:00 (1),06:07:00 (28),07:05:00 (1),07:12:00 (28),08:09:00 (1),08:12:00 (28),09:05:00 (1),09:12:00 (28),10:12:00 (28),11:12:00 (28),12:12:00 (28),13:12:00 (28),14:12:00 (28),15:12:00 (28),16:05:00 (1),16:12:00 (28),17:05:00 (1),17:12:00 (28),18:12:00 (28),19:12:00 (28),20:20:00 (1),20:12:00 (28),21:12:00 (28),22:12:00 (28),23:12:00 (28),24:12:00 (28),08:27:00 (28),10:20:00 (1),11:20:00 (1),12:20:00 (1),13:20:00 (1),14:20:00 (1),15:20:00 (1),16:20:00 (1),17:20:00 (1),18:20:00 (1),19:20:00 (1),21:20:00 (1),22:20:00 (1),23:20:00 (1),24:20:00 (1),06:35:00 (1),06:37:00 (28),07:39:00 (1),07:42:00 (28),08:39:00 (1),08:42:00 (28),09:42:00 (28),10:42:00 (28),11:42:00 (28),12:42:00 (28),13:42:00 (28),14:42:00 (28),15:42:00 (28),16:35:00 (1),16:42:00 (28),17:35:00 (1),17:42:00 (28),18:42:00 (28),19:42:00 (28),20:42:00 (28),21:42:00 (28),22:42:00 (28),23:42:00 (28),24:41:00 (28),07:57:00 (28),08:57:00 (28),09:50:00 (1),10:50:00 (1),11:50:00 (1),12:50:00 (1),13:50:00 (1),14:50:00 (1),15:50:00 (1),16:50:00 (1),17:50:00 (1),18:50:00 (1),19:50:00 (1),20:50:00 (1),21:50:00 (1),22:50:00 (1),23:50:00 (1),24:53:00 (1),06:00:00 (34),06:12:00 (1),07:00:00 (34),07:17:00 (1),08:17:00 (1),09:17:00 (1),10:15:00 (34),10:17:00 (1),11:15:00 (34),11:17:00 (1),12:15:00 (34),12:17:00 (1),13:15:00 (34),13:17:00 (1),14:15:00 (34),14:17:00 (1),15:15:00 (34),15:17:00 (1),16:15:00 (34),17:15:00 (34),18:15:00 (34),18:17:00 (1),19:15:00 (34),19:17:00 (1),20:15:00 (34),20:17:00 (1),21:15:00 (34),21:17:00 (1),22:15:00 (34),22:17:00 (1),23:15:00 (34),23:17:00 (1),24:15:00 (34),24:17:00 (1),16:30:00 (1),17:30:00 (1),08:04:00 (22),09:04:00 (22),16:06:00 (1),17:06:00 (1),07:47:00 (34),08:47:00 (34),07:34:00 (22),08:34:00 (22),09:20:00 (22),15:36:00 (1),16:36:00 (1),17:36:00 (1),06:30:00 (41),06:42:00 (1),07:47:00 (1),08:47:00 (1),09:45:00 (41),09:47:00 (1),10:45:00 (41),10:47:00 (1),11:45:00 (41),11:47:00 (1),12:45:00 (41),12:47:00 (1),13:45:00 (41),13:47:00 (1),14:45:00 (41),14:47:00 (1),15:45:00 (41),16:45:00 (41),17:45:00 (41),17:47:00 (1),18:45:00 (41),18:47:00 (1),19:45:00 (41),19:47:00 (1),20:45:00 (41),20:47:00 (1),21:45:00 (41),21:47:00 (1),22:45:00 (41),22:47:00 (1),23:45:00 (41),23:47:00 (1),24:46:00 (41),24:47:00 (1),07:17:00 (41),08:18:00 (41),16:00:00 (1),17:00:00 (1),07:02:00 (43),07:32:00 (43),08:02:00 (43),08:32:00 (43),15:51:00 (1),16:21:00 (1),16:51:00 (1),17:51:00 (1),09:04:00 (59),09:10:00 (1),15:27:00 (57),17:21:00 (1),23:28:00 (57),22:22:00 (1),07:03:00 (35),07:33:00 (35),07:48:00 (35),08:03:00 (35),08:18:00 (35),08:33:00 (35),08:48:00 (35),09:03:00 (35),15:40:00 (1),09:18:00 (35),09:33:00 (35),16:10:00 (1),16:25:00 (1),16:40:00 (1),16:55:00 (1),17:10:00 (1),17:25:00 (1),17:55:00 (1),18:25:00 (1),19:10:00 (1),07:05:00 (29),08:05:00 (29),09:05:00 (29),17:15:00 (1),08:35:00 (29),15:45:00 (1),16:45:00 (1),17:45:00 (1),18:45:00 (1),09:12:00 (1),10:12:00 (1),11:12:00 (1),11:29:00 (24),12:12:00 (1),12:29:00 (24),13:12:00 (1),13:29:00 (24),14:12:00 (1),14:29:00 (24),15:29:00 (24),16:29:00 (24),18:12:00 (1),19:12:00 (1),20:12:00 (1),20:29:00 (24),21:12:00 (1),21:29:00 (24),22:12:00 (1),22:29:00 (24),23:29:00 (24),15:12:00 (1),16:12:00 (1),17:12:00 (1),23:12:00 (1),24:12:00 (1),06:29:00 (27),07:29:00 (27),08:29:00 (27),09:29:00 (27),10:29:00 (27),16:42:00 (1),17:42:00 (1),07:59:00 (27),08:59:00 (27)
4,Unionville GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:52:00 (19),10:52:00 (19),11:52:00 (19),10:48:00 (6),12:52:00 (19),11:48:00 (6),13:52:00 (19),12:48:00 (6),14:52:00 (19),13:48:00 (6),14:48:00 (6),15:48:00 (6),18:52:00 (19),19:52:00 (19),20:52:00 (19),19:48:00 (6),21:52:00 (19),20:48:00 (6),22:52:00 (19),21:48:00 (6),22:48:00 (6),15:52:00 (19),16:52:00 (19),17:52:00 (19),23:52:00 (19),24:52:00 (19),05:48:00 (9),06:48:00 (9),07:48:00 (9),08:48:00 (9),09:48:00 (9),17:22:00 (19),18:22:00 (19),07:18:00 (9),08:18:00 (9)
5,Stouffville GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:18:00 (26),17:18:00 (26),18:18:00 (26),24:18:00 (26),25:18:00 (26),05:23:00 (2),06:23:00 (2),07:23:00 (2),08:23:00 (2),09:24:00 (2),17:48:00 (26),18:48:00 (26),06:53:00 (2),07:53:00 (2)
6,Streetsville GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:20:00 (11),06:50:00 (11),07:05:00 (11),07:20:00 (11),07:35:00 (11),07:50:00 (11),08:05:00 (11),08:20:00 (11),16:20:00 (25),08:35:00 (11),08:50:00 (11),16:50:00 (25),17:05:00 (25),17:20:00 (25),17:35:00 (25),17:50:00 (25),18:05:00 (25),18:35:00 (25),19:05:00 (25),19:50:00 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,St. Catharines GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55:00 (6),10:58:00 (52),13:34:00 (6),19:30:00 (54),21:34:00 (6),24:14:00 (52),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scarborough GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:23:00 (12),05:48:00 (17),07:23:00 (12),06:53:00 (17),08:27:00 (12),07:53:00 (17),09:23:00 (12),08:53:00 (17),09:53:00 (17),10:53:00 (17),11:53:00 (17),12:53:00 (17),13:53:00 (17),14:53:00 (17),16:23:00 (12),15:53:00 (17),17:23:00 (12),16:53:00 (17),17:53:00 (17),18:53:00 (17),20:38:00 (12),19:53:00 (17),20:53:00 (17),21:53:00 (17),22:53:00 (17),23:53:00 (17),08:08:00 (17),10:38:00 (12),11:38:00 (12),12:38:00 (12),13:38:00 (12),14:38:00 (12),15:38:00 (12),16:38:00 (12),17:38:00 (12),18:38:00 (12),19:38:00 (12),21:38:00 (12),22:38:00 (12),23:38:00 (12),24:38:00 (12),06:53:00 (12),06:18:00 (17),07:57:00 (12),07:23:00 (17),08:57:00 (12),08:23:00 (17),09:23:00 (17),10:23:00 (17),11:23:00 (17),12:23:00 (17),13:23:00 (17),14:23:00 (17),15:23:00 (17),16:53:00 (12),16:23:00 (17),17:53:00 (12),17:23:00 (17),18:23:00 (17),19:23:00 (17),20:23:00 (17),21:23:00 (17),22:23:00 (17),23:23:00 (17),24:22:00 (17),07:38:00 (17),08:38:00 (17),10:08:00 (12),11:08:00 (12),12:08:00 (12),13:08:00 (12),14:08:00 (12),15:08:00 (12),16:08:00 (12),17:08:00 (12),18:08:00 (12),19:08:00 (12),20:08:00 (12),21:08:00 (12),22:08:00 (12),23:08:00 (12),24:08:00 (12),25:11:00 (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rutherford GO,11:24:00 (15),11:18:00 (8),12:23:00 (15),12:16:00 (8),13:23:00 (15),13:16:00 (8),15:25:00 (8),19:23:00 (15),20:23:00 (15),20:16:00 (8),21:23:00 (15),21:16:00 (8),06:04:00 (14),15:32:00 (15),06:34:00 (21),07:34:00 (21),17:37:00 (15),17:52:00 (15),07:04:00 (21),08:04:00 (21),17:07:00 (15),08:19:00 (21),09:19:00 (21),10:23:00 (15),10:17:00 (21),14:30:00 (15),14:22:00 (21),16:22:00 (15),18:22:00 (15),22:30:00 (15),22:23:00 (21),23:24:00 (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
