,stop_name,Train 400 (PENN - WASHINGTON),Train 403 (PENN - WASHINGTON),Train 404 (PENN - WASHINGTON),Train 407 (PENN - WASHINGTON),Train 408 (PENN - WASHINGTON),Train 409 (PENN - WASHINGTON),Train 410 (PENN - WASHINGTON),Train 412 (PENN - WASHINGTON),Train 413 (PENN - WASHINGTON),Train 414 (PENN - WASHINGTON),Train 415 (PENN - WASHINGTON),Train 416 (PENN - WASHINGTON),Train 418 (PENN - WASHINGTON),Train 419 (PENN - WASHINGTON),Train 421 (PENN - WASHINGTON),Train 422 (PENN - WASHINGTON),Train 423 (PENN - WASHINGTON),Train 424 (PENN - WASHINGTON),Train 426 (PENN - WASHINGTON),Train 427 (PENN - WASHINGTON),Train 428 (PENN - WASHINGTON),Train 429 (PENN - WASHINGTON),Train 430 (PENN - WASHINGTON),Train 431 (PENN - WASHINGTON),Train 433 (PENN - WASHINGTON),Train 435 (PENN - WASHINGTON),Train 438 (PENN - WASHINGTON),Train 439 (PENN - WASHINGTON),Train 440 (PENN - WASHINGTON),Train 443 (PENN - WASHINGTON),Train 445 (PENN - WASHINGTON),Train 446 (PENN - WASHINGTON),Train 447 (PENN - WASHINGTON),Train 448 (PENN - WASHINGTON),Train 449 (PENN - WASHINGTON),Train 451 (PENN - WASHINGTON),Train 452 (PENN - WASHINGTON),Train 453 (PENN - WASHINGTON),Train 502 (PENN - WASHINGTON),Train 505 (PENN - WASHINGTON),Train 511 (PENN - WASHINGTON),Train 517 (PENN - WASHINGTON),Train 520 (PENN - WASHINGTON),Train 525 (PENN - WASHINGTON),Train 532 (PENN - WASHINGTON),Train 536 (PENN - WASHINGTON),Train 537 (PENN - WASHINGTON),Train 544 (PENN - WASHINGTON),Train 548 (PENN - WASHINGTON),Train 554 (PENN - WASHINGTON),Train 579 (PENN - WASHINGTON),Train 610 (PENN - WASHINGTON),Train 612 (PENN - WASHINGTON),Train 613 (PENN - WASHINGTON),Train 634 (PENN - WASHINGTON),Train 641 (PENN - WASHINGTON),Train 642 (PENN - WASHINGTON),Train 840 (CAMDEN - WASHINGTON),Train 841 (CAMDEN - WASHINGTON),Train 842 (CAMDEN - WASHINGTON),Train 843 (CAMDEN - WASHINGTON),Train 844 (CAMDEN - WASHINGTON),Train 845 (CAMDEN - WASHINGTON),Train 846 (CAMDEN - WASHINGTON),Train 847 (CAMDEN - WASHINGTON),Train 848 (CAMDEN - WASHINGTON),Train 849 (CAMDEN - WASHINGTON),Train 850 (CAMDEN - WASHINGTON),Train 851 (CAMDEN - WASHINGTON),Train 852 (CAMDEN - WASHINGTON),Train 853 (CAMDEN - WASHINGTON),Train 854 (CAMDEN - WASHINGTON),Train 855 (CAMDEN - WASHINGTON),Train 856 (CAMDEN - WASHINGTON),Train 857 (CAMDEN - WASHINGTON),Train 858 (CAMDEN - WASHINGTON),Train 859 (CAMDEN - WASHINGTON),Train 860 (CAMDEN - WASHINGTON),Train 870 (BRUNSWICK - WASHINGTON),Train 871 (BRUNSWICK - WASHINGTON),Train 872 (BRUNSWICK - WASHINGTON),Train 873 (BRUNSWICK - WASHINGTON),Train 874 (BRUNSWICK - WASHINGTON),Train 875 (BRUNSWICK - WASHINGTON),Train 876 (BRUNSWICK - WASHINGTON),Train 877 (BRUNSWICK - WASHINGTON),Train 878 (BRUNSWICK - WASHINGTON),Train 879 (BRUNSWICK - WASHINGTON),Train 880 (BRUNSWICK - WASHINGTON),Train 881 (BRUNSWICK - WASHINGTON),Train 883 (BRUNSWICK - WASHINGTON),Train 890 (BRUNSWICK - WASHINGTON),Train 891 (BRUNSWICK - WASHINGTON),Train 892 (BRUNSWICK - WASHINGTON),Train 893 (BRUNSWICK - WASHINGTON),Train 894 (BRUNSWICK - WASHINGTON),Train 895 (BRUNSWICK - WASHINGTON)
0,MARTINSBURG W VA MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:00:00 (0),,05:25:00 (0),18:39:00 (12),,,06:25:00 (0),19:50:00 (16),,20:25:00 (13),,,,,,,
1,DUFFIELDS W VA MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:18:00 (1),,05:43:00 (1),,,,06:42:00 (1),,,,,,,,,,
2,HARPERS FERRY W VA MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:27:00 (2),,05:54:00 (2),,,,06:53:00 (2),,,,,,,,,,
3,BRUNSWICK MD MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:50:00 (0),,05:40:00 (3),,06:08:00 (3),,06:40:00 (0),,07:07:00 (3),,07:45:00 (0),,,,,,,,
4,FREDERICK MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:00:00 (0),,06:05:00 (0),,07:10:00 (0),
5,MONOCACY MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:06:00 (1),,06:12:00 (1),,07:17:00 (1),
6,POINT OF ROCKS MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:00:00 (1),,05:51:00 (4),,06:19:00 (4),,06:50:00 (1),,07:17:00 (4),,07:55:00 (1),,,,,,,,
7,DICKERSON MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:09:00 (2),,,,,,,,07:26:00 (5),,08:03:00 (2),,,05:32:00 (2),,06:41:00 (2),,,
8,BARNESVILLE MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:13:00 (3),,06:01:00 (5),,06:30:00 (5),,07:01:00 (2),,07:30:00 (6),,08:07:00 (3),,,,,,,,
9,BOYDS MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:19:00 (4),,,,,,,,07:38:00 (7),,08:13:00 (4),,,05:41:00 (3),,06:50:00 (3),,,
10,GERMANTOWN MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:22:00 (5),,06:09:00 (6),,06:37:00 (6),,07:09:00 (3),,07:41:00 (8),,08:17:00 (5),,,05:45:00 (4),,06:55:00 (4),,07:52:00 (2),
11,METROPOLITAN GROVE MARC eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:27:00 (6),,06:15:00 (7),,06:42:00 (7),,07:14:00 (4),,07:46:00 (9),,08:21:00 (6),,,05:50:00 (5),,07:01:00 (5),,07:57:00 (3),
