,stop_name,1500.0 (Seattle - Tacoma/Lakewood),1501.0 (Seattle - Tacoma/Lakewood),1502.0 (Seattle - Tacoma/Lakewood),1503.0 (Seattle - Tacoma/Lakewood),1504.0 (Seattle - Tacoma/Lakewood),1505.0 (Seattle - Tacoma/Lakewood),1506.0 (Seattle - Tacoma/Lakewood),1507.0 (Seattle - Tacoma/Lakewood),1508.0 (Seattle - Tacoma/Lakewood),1509.0 (Seattle - Tacoma/Lakewood),1510.0 (Seattle - Tacoma/Lakewood),1511.0 (Seattle - Tacoma/Lakewood),1512.0 (Seattle - Tacoma/Lakewood),1513.0 (Seattle - Tacoma/Lakewood),1514.0 (Seattle - Tacoma/Lakewood),1515.0 (Seattle - Tacoma/Lakewood),1516.0 (Seattle - Tacoma/Lakewood),1517.0 (Seattle - Tacoma/Lakewood),1518.0 (Seattle - Tacoma/Lakewood),1519.0 (Seattle - Tacoma/Lakewood),1520.0 (Seattle - Tacoma/Lakewood),1521.0 (Seattle - Tacoma/Lakewood),1522.0 (Seattle - Tacoma/Lakewood),1523.0 (Seattle - Tacoma/Lakewood),1524.0 (Seattle - Tacoma/Lakewood),1525.0 (Seattle - Tacoma/Lakewood),1700.0 (Everett - Seattle),1701.0 (Everett - Seattle),1702.0 (Everett - Seattle),1703.0 (Everett - Seattle),1704.0 (Everett - Seattle),1705.0 (Everett - Seattle),1706.0 (Everett - Seattle),1707.0 (Everett - Seattle),nan (Lynnwood - Angle Lake),nan (South Bellevue - Redmond Tech),nan (Tacoma Dome - St Joseph)
0,Broadway & E Denny Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Westlake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:33:00 (10),,
2,Pine St & 5th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Westlake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:33:00 (10),,
4,S Lander St & SODO Busway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6th Ave S & S Royal Brougham Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3rd Ave & Union St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:35:00 (11),,
8,3rd Ave & James St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pioneer Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:36:00 (12),,
10,3rd Ave & James St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pioneer Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:36:00 (12),,
12,Rainier Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:57:00 (20),,
13,Othello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:54:00 (19),,
14,Columbia City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:50:00 (18),,
15,Mount Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:47:00 (17),,
16,Mount Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:47:00 (17),,
17,Columbia City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:50:00 (18),,
18,Othello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:54:00 (19),,
19,Rainier Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:57:00 (20),,
20,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:35:00 (11),,
21,3rd Ave & Union St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3rd Ave & Pine St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4th Ave S & S Jackson St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Int'l Dist/Chinatown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:38:00 (13),,
25,Int'l Dist/Chinatown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:38:00 (13),,
26,5th Ave S & S Weller St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,U District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:23:00 (7),,
28,U District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:23:00 (7),,
29,Roosevelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:21:00 (6),,
30,Roosevelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:21:00 (6),,
31,Northgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:17:00 (5),,
32,Northgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:17:00 (5),,
33,Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:40:00 (14),,
34,SODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:42:00 (15),,
35,Beacon Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:45:00 (16),,
36,Beacon Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:45:00 (16),,
37,SODO Busway & S Lander St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:42:00 (15),,
39,Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:40:00 (14),,
40,SODO Busway & S Royal Brougham Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Capitol Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:30:00 (9),,
42,Univ of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:26:00 (8),,
43,Univ of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:26:00 (8),,
44,Capitol Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:30:00 (9),,
45,Tukwila Int'l Blvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:07:00 (21),,
46,SeaTac/Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:10:00 (22),,
47,SeaTac/Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:10:00 (22),,
48,Tukwila Int'l Blvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:07:00 (21),,
49,Angle Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:14:00 (23),,
50,Angle Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:14:00 (23),,
51,Westlake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:33:00 (10),,
52,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:35:00 (11),,
53,Pioneer Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:36:00 (12),,
54,Int'l Dist/Chinatown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:38:00 (13),,
55,Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:40:00 (14),,
56,SODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:42:00 (15),,
57,Beacon Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:45:00 (16),,
58,Mount Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:47:00 (17),,
59,Columbia City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:50:00 (18),,
60,Othello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:54:00 (19),,
61,Rainier Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24:57:00 (20),,
62,Tukwila Int'l Blvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:07:00 (21),,
63,SeaTac/Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:10:00 (22),,
64,South Bellevue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:32:00 (1),
65,South Bellevue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:32:00 (1),
66,South Bellevue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:32:00 (1),
67,East Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:36:00 (2),
68,East Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:36:00 (2),
69,East Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:36:00 (2),
70,Bellevue Downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:39:00 (3),
71,Bellevue Downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:39:00 (3),
72,Bellevue Downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:39:00 (3),
73,Wilburton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:41:00 (4),
74,Wilburton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:41:00 (4),
75,Wilburton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:41:00 (4),
76,Spring District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:00 (5),
77,Spring District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:00 (5),
