,stop_name,300 (Fredericksburg Line),301 (Fredericksburg Line),302 (Fredericksburg Line),303 (Fredericksburg Line),304 (Fredericksburg Line),305 (Fredericksburg Line),306 (Fredericksburg Line),307 (Fredericksburg Line),308 (Fredericksburg Line),309 (Fredericksburg Line),310 (Fredericksburg Line),311 (Fredericksburg Line),312 (Fredericksburg Line),313 (Fredericksburg Line),314 (Fredericksburg Line),315 (Fredericksburg Line),321 (Manassas Line),322 (Manassas Line),324 (Manassas Line),325 (Manassas Line),326 (Manassas Line),327 (Manassas Line),328 (Manassas Line),329 (Manassas Line),330 (Manassas Line),331 (Manassas Line),332 (Manassas Line),333 (Manassas Line),335 (Manassas Line),336 (Manassas Line),337 (Manassas Line),338 (Manassas Line)
0,Union Station,06:30:00 (9),13:00:00 (1),06:50:00 (13),14:40:00 (1),07:05:00 (13),15:30:00 (1),07:25:00 (13),16:00:00 (1),07:45:00 (13),16:40:00 (1),08:10:00 (13),17:20:00 (1),08:50:00 (13),18:10:00 (1),09:30:00 (13),18:50:00 (1),06:35:00 (1),06:20:00 (10),06:40:00 (10),13:15:00 (1),07:15:00 (10),15:20:00 (1),07:35:00 (10),16:10:00 (1),08:40:00 (10),17:10:00 (1),09:20:00 (10),17:30:00 (1),18:00:00 (1),16:57:00 (6),19:00:00 (1),18:29:00 (4)
1,L Enfant,06:22:00 (8),13:08:00 (2),06:42:00 (12),14:48:00 (2),06:57:00 (12),15:38:00 (2),07:17:00 (12),16:08:00 (2),07:37:00 (12),16:48:00 (2),08:02:00 (12),17:28:00 (2),08:42:00 (12),18:18:00 (2),09:22:00 (12),18:58:00 (2),,06:12:00 (9),06:32:00 (9),13:23:00 (2),07:07:00 (9),15:28:00 (2),07:27:00 (9),16:18:00 (2),08:32:00 (9),17:18:00 (2),09:12:00 (9),17:38:00 (2),18:08:00 (2),,19:08:00 (2),
2,Crystal City,06:14:00 (7),13:15:00 (3),06:34:00 (11),14:55:00 (3),06:49:00 (11),15:45:00 (3),07:09:00 (11),16:15:00 (3),07:29:00 (11),16:55:00 (3),07:54:00 (11),17:35:00 (3),08:34:00 (11),18:25:00 (3),09:14:00 (11),19:05:00 (3),,06:04:00 (8),06:24:00 (8),13:30:00 (3),06:59:00 (8),15:35:00 (3),07:19:00 (8),16:25:00 (3),08:24:00 (8),17:25:00 (3),09:04:00 (8),17:45:00 (3),18:15:00 (3),,19:15:00 (3),
3,Alexandria,06:05:00 (6),13:23:00 (4),06:25:00 (10),15:03:00 (4),06:40:00 (10),15:53:00 (4),07:00:00 (10),16:23:00 (4),07:20:00 (10),17:03:00 (4),07:45:00 (10),17:43:00 (4),08:25:00 (10),18:33:00 (4),09:05:00 (10),19:13:00 (4),06:52:00 (2),05:55:00 (7),06:15:00 (7),13:38:00 (4),06:50:00 (7),15:43:00 (4),07:10:00 (7),16:33:00 (4),08:15:00 (7),17:33:00 (4),08:55:00 (7),17:53:00 (4),18:23:00 (4),16:32:00 (5),19:23:00 (4),18:04:00 (3)
4,Backlick Road,,,,,,,,,,,,,,,,,,05:42:00 (6),06:02:00 (6),13:49:00 (5),06:37:00 (6),15:54:00 (5),06:57:00 (6),16:44:00 (5),08:02:00 (6),17:44:00 (5),08:42:00 (6),18:04:00 (5),18:34:00 (5),,19:34:00 (5),
5,Rolling Road,,,,,,,,,,,,,,,,,,05:34:00 (5),05:54:00 (5),13:57:00 (6),06:29:00 (5),16:02:00 (6),06:49:00 (5),16:52:00 (6),07:54:00 (5),17:52:00 (6),08:34:00 (5),18:12:00 (6),18:42:00 (6),,19:42:00 (6),
6,Burke Centre,,,,,,,,,,,,,,,,,,05:29:00 (4),05:49:00 (4),14:03:00 (7),06:24:00 (4),16:08:00 (7),06:44:00 (4),16:58:00 (7),07:49:00 (4),17:58:00 (7),08:29:00 (4),18:18:00 (7),18:48:00 (7),16:06:00 (4),19:48:00 (7),
7,Manassas Park,,,,,,,,,,,,,,,,,,05:15:00 (3),05:35:00 (3),14:17:00 (8),06:10:00 (3),16:22:00 (8),06:30:00 (3),17:12:00 (8),07:35:00 (3),18:12:00 (8),08:15:00 (3),18:32:00 (8),19:02:00 (8),15:52:00 (3),20:02:00 (8),
8,Manassas,,,,,,,,,,,,,,,,,07:37:00 (3),05:09:00 (2),05:29:00 (2),14:24:00 (9),06:04:00 (2),16:29:00 (9),06:24:00 (2),17:19:00 (9),07:29:00 (2),18:19:00 (9),08:09:00 (2),18:39:00 (9),19:09:00 (9),15:46:00 (2),20:09:00 (9),17:18:00 (2)
9,Broad Run,,,,,,,,,,,,,,,,,07:47:00 (4),05:01:00 (1),05:21:00 (1),14:34:00 (10),05:56:00 (1),16:39:00 (10),06:16:00 (1),17:29:00 (10),07:21:00 (1),18:29:00 (10),08:01:00 (1),18:49:00 (10),19:19:00 (10),15:38:00 (1),20:19:00 (10),17:10:00 (1)
