,stop_name
0,Gare Centrale
1,Gare Lucien-L'Allier
2,Gare Vendôme
3,Gare Montréal-Ouest
4,Gare Lachine
5,Gare Dorval
6,Gare Pine Beach
7,Gare Valois
8,Gare Pointe-Claire
9,Gare Cedar Park
10,Gare Beaconsfield
11,Gare Beaurepaire
12,Gare Baie-d'Urfé
13,Gare Sainte-Anne-de-Bellevue
14,Gare Île-Perrot
15,Gare Pincourt
16,Gare Dorion
17,Gare Vaudreuil
18,Gare Hudson
19,Gare Parc
20,Gare Chabanel
21,Gare Bois-de-Boulogne
22,Gare De la Concorde
23,Gare Vimont
24,Gare Sainte-Rose
25,Gare Rosemère
26,Gare Sainte-Thérèse
27,Gare Blainville
28,Gare Mirabel
29,Gare Saint-Jérôme
30,Gare Saint-Lambert
31,Gare Longueuil-Saint-Hubert
32,Gare Saint-Bruno
33,Gare Saint-Basile-le-Grand
34,Gare McMasterville
35,Gare Mont-Saint-Hilaire
36,Gare Du Canal
37,Gare LaSalle
38,Gare Sainte-Catherine
39,Gare Saint-Constant
40,Gare Delson
41,Gare Candiac
42,Gare Ahuntsic
43,Gare Sauvé
44,Gare Saint-Michel-Montréal-Nord
45,Gare Saint-Léonard-Montréal-Nord
46,Gare Anjou
47,Gare Rivière-des-Prairies
48,Gare Pointe-aux-Trembles
49,Gare Repentigny
50,Gare Terrebonne
51,Gare Mascouche
52,Ballantyne
53,Josy Receving
54,Début Sud de la voie d'évitement Pointes-aux-Trembles
55,Fin Nord voie de contournement Pointe-aux-Trembles
56,Hibernia
57,Faux arrêt Voie de contournement Charlemagne
58,Rivières-des-Prairies Sud
59,Rivière-des-Prairies Nord
60,Turcot Ouest
61,Saint-Henri
62,Canal Lachine
63,Bridge Nord
64,Wellington
65,Paco
66,Montréal
