,stop_name
0,Niagara Falls GO
1,St. Catharines GO
2,West Harbour GO
3,Hamilton GO Centre
4,Aldershot GO
5,Burlington GO
6,Appleby GO
7,Bronte GO
8,Oakville GO
9,Clarkson GO
10,Port Credit GO
11,Long Branch GO
12,Mimico GO
13,Exhibition GO
14,Milton GO
15,Lisgar GO
16,Meadowvale GO
17,Streetsville GO
18,Erindale GO
19,Cooksville GO
20,Dixie GO
21,Kipling GO
22,Kitchener GO
23,Guelph Central GO
24,Acton GO
25,Georgetown GO
26,Mount Pleasant GO
27,Brampton Innovation District GO
28,Bramalea GO
29,Malton GO
30,Etobicoke North GO
31,Weston GO
32,Bloor GO
33,Allandale Waterfront GO
34,Barrie South GO
35,Bradford GO
36,East Gwillimbury GO
37,Newmarket GO
38,Aurora GO
39,King City GO
40,Maple GO
41,Rutherford GO
42,Downsview Park GO
43,Union Station
44,Oriole GO
45,Old Cummer GO
46,Langstaff GO
47,Richmond Hill GO
48,Gormley GO
49,Bloomington GO
50,Kennedy GO
51,Agincourt GO
52,Milliken GO
53,Unionville GO
54,Centennial GO
55,Markham GO
56,Mount Joy GO
57,Stouffville GO
58,Old Elm GO
59,Danforth GO
60,Scarborough GO
61,Eglinton GO
62,Guildwood GO
63,Rouge Hill GO
64,Pickering GO
65,Ajax GO
66,Whitby GO
67,Durham College Oshawa GO
