,stop_name
0,Grand Central
1,Penn Station
2,Long Island City
3,Hunterspoint Avenue
4,Woodside
5,Mets-Willets Point
6,Flushing Main Street
7,Murray Hill
8,Broadway
9,Auburndale
10,Bayside
11,Douglaston
12,Little Neck
13,Great Neck
14,Manhasset
15,Plandome
16,Port Washington
17,Forest Hills
18,Kew Gardens
19,Atlantic Terminal
20,Nostrand Avenue
21,East New York
22,Jamaica
23,Hillside Facility
24,Hollis
25,Queens Village
26,Belmont Park
27,Elmont-UBS Arena
28,Bellerose
29,Floral Park
30,Stewart Manor
31,Nassau Boulevard
32,Garden City
33,Country Life Press
34,Hempstead
35,New Hyde Park
36,Merillon Avenue
37,Mineola
38,East Williston
39,Albertson
40,Roslyn
41,Greenvale
42,Glen Head
43,Sea Cliff
44,Glen Street
45,Glen Cove
46,Locust Valley
47,Oyster Bay
48,Carle Place
49,Westbury
50,Hicksville
51,Syosset
52,Cold Spring Harbor
53,Huntington
54,Greenlawn
55,Northport
56,Kings Park
57,Smithtown
58,St. James
59,Stony Brook
60,Port Jefferson
61,Bethpage
62,Farmingdale
63,Pinelawn
64,Wyandanch
65,Deer Park
66,Brentwood
67,Central Islip
68,Ronkonkoma
69,Medford
70,Yaphank
71,Riverhead
72,Mattituck
73,Southold
74,Greenport
75,Locust Manor
76,Laurelton
77,Rosedale
78,Gibson
79,Hewlett
80,Woodmere
81,Cedarhurst
82,Lawrence
83,Inwood
84,Far Rockaway
85,Valley Stream
86,Westwood
87,Malverne
88,Lakeview
89,Hempstead Gardens
90,West Hempstead
91,Lynbrook
92,Centre Avenue
93,East Rockaway
94,Oceanside
95,Island Park
96,Long Beach
97,St. Albans
98,Rockville Centre
99,Baldwin
100,Freeport
101,Merrick
102,Bellmore
103,Wantagh
104,Seaford
105,Massapequa
106,Massapequa Park
107,Amityville
108,Copiague
109,Lindenhurst
110,Babylon
111,Bay Shore
112,Islip
113,Great River
114,Oakdale
115,Sayville
116,Patchogue
117,Bellport
118,Mastic-Shirley
119,Speonk
120,Westhampton
121,Hampton Bays
122,Southampton
123,Bridgehampton
124,East Hampton
125,Amagansett
126,Montauk
