,stop_name
0,Anaheim
1,Anaheim Canyon
2,Baldwin Park
3,Buena Park
4,Burbank - Downtown
5,Burbank Airport - North (AV Line)
6,Burbank Airport - South (VC Line)
7,Cal State LA
8,Camarillo
9,Chatsworth
10,Claremont
11,Commerce
12,Corona - North Main
13,Corona - West
14,Covina
15,El Monte
16,Fontana
17,Fullerton
18,Glendale
19,Industry
20,Irvine
21,Jurupa Valley / Pedley
22,L.A. Union Station
23,Laguna Niguel / Mission Viejo
24,Lancaster
25,Montclair
26,Montebello / Commerce
27,Moorpark
28,Moreno Valley / March Field
29,Newhall
30,Northridge
31,Norwalk / Santa Fe Springs
32,Oceanside
33,Ontario - East
34,Orange
35,Oxnard
36,Palmdale
37,Perris - Downtown
38,Perris - South
39,Pomona - Downtown
40,Pomona - North
41,Rancho Cucamonga
42,Redlands - Downtown
43,Redlands - Esri
44,Redlands - University
45,Rialto
46,Riverside - Downtown
47,Riverside - Hunter Park / UCR
48,Riverside - La Sierra
49,San Bernardino - Downtown
50,San Bernardino - Tippecanoe
51,San Bernardino Depot
52,San Clemente
53,San Clemente Pier
54,San Juan Capistrano
55,Santa Ana
56,Santa Clarita
57,Simi Valley
58,Sun Valley
59,Sylmar / San Fernando
60,Tustin
61,Upland
62,Van Nuys
63,Ventura - East
64,Via Princessa
65,Vincent Grade / Acton
66,Vista Canyon
