,stop_name,7 (South Shore Line),10 (South Shore Line),11 (South Shore Line),16 (South Shore Line),17 (South Shore Line),22 (South Shore Line),24 (South Shore Line),25 (South Shore Line),30 (South Shore Line),32 (South Shore Line),33 (South Shore Line),35 (South Shore Line),101 (South Shore Line),102 (South Shore Line),104 (South Shore Line),105 (South Shore Line),106 (South Shore Line),108 (South Shore Line),109 (South Shore Line),110 (South Shore Line),111 (South Shore Line),112 (South Shore Line),113 (South Shore Line),114 (South Shore Line),115 (South Shore Line),117 (South Shore Line),118 (South Shore Line),119 (South Shore Line),120 (South Shore Line),121 (South Shore Line),122 (South Shore Line),123 (South Shore Line),126 (South Shore Line),127 (South Shore Line),128 (South Shore Line),129 (South Shore Line),130 (South Shore Line),131 (South Shore Line),133 (South Shore Line),201 (South Shore Line),203 (South Shore Line),205 (South Shore Line),207 (South Shore Line),209 (South Shore Line),214 (South Shore Line),218 (South Shore Line),222 (South Shore Line),224 (South Shore Line),225 (South Shore Line),226 (South Shore Line),228 (South Shore Line),232 (South Shore Line),400 (South Shore Line),401 (South Shore Line),403 (South Shore Line),405 (South Shore Line),430 (South Shore Line),432 (South Shore Line)
0,Millennium Station,8:48:00 (1),6:52:00 (7),12:35:00 (1),8:18:00 (9),16:04:00 (1),10:44:00 (16),13:43:00 (16),17:30:00 (1),17:55:00 (16),22:06:00 (15),20:15:00 (1),23:15:00 (1),24:45:00 (1),5:32:00 (15),6:08:00 (12),7:48:00 (1),6:24:00 (13),6:35:00 (10),10:30:00 (1),7:14:00 (13),13:40:00 (1),7:36:00 (12),14:45:00 (1),7:54:00 (15),15:40:00 (1),16:22:00 (1),8:38:00 (11),16:37:00 (1),9:36:00 (15),17:00:00 (1),12:22:00 (15),17:15:00 (1),15:43:00 (12),18:01:00 (1),17:00:00 (12),18:25:00 (1),19:02:00 (15),19:15:00 (1),21:03:00 (1),5:54:00 (1),6:45:00 (1),7:27:00 (1),9:39:00 (1),11:45:00 (1),8:10:00 (10),8:59:00 (9),12:45:00 (9),14:48:00 (9),17:49:00 (1),16:13:00 (10),17:29:00 (9),20:00:00 (10),,,,,,
1,Van Buren St.,8:51:00 (2),6:49:00 (6),12:38:00 (2),8:15:00 (8),16:07:00 (2),10:41:00 (15),13:40:00 (15),17:33:00 (2),17:51:00 (15),22:03:00 (14),20:18:00 (2),23:18:00 (2),24:48:00 (2),5:29:00 (14),6:05:00 (11),7:51:00 (2),6:21:00 (12),6:32:00 (9),10:33:00 (2),7:11:00 (12),13:43:00 (2),7:33:00 (11),14:48:00 (2),7:51:00 (14),15:43:00 (2),16:25:00 (2),8:35:00 (10),16:40:00 (2),9:33:00 (14),17:03:00 (2),12:19:00 (14),17:18:00 (2),15:40:00 (11),18:04:00 (2),16:57:00 (11),18:28:00 (2),18:57:00 (14),19:18:00 (2),21:06:00 (2),5:57:00 (2),6:48:00 (2),7:30:00 (2),9:42:00 (2),11:48:00 (2),8:07:00 (9),8:56:00 (8),12:42:00 (8),14:45:00 (8),17:52:00 (2),16:10:00 (9),17:26:00 (8),19:57:00 (9),,,,,,
2,Museum Campus/11th St.,,,12:41:00 (3),,,10:38:00 (14),13:37:00 (14),17:36:00 (3),17:48:00 (14),22:00:00 (13),20:21:00 (3),23:21:00 (3),24:51:00 (3),5:26:00 (13),,,6:18:00 (11),,,,13:46:00 (3),7:30:00 (10),14:51:00 (3),7:48:00 (13),15:46:00 (3),,,16:43:00 (3),9:30:00 (13),,12:16:00 (13),,15:37:00 (10),18:07:00 (3),16:54:00 (10),18:31:00 (3),18:54:00 (13),19:21:00 (3),21:09:00 (3),,,,,11:51:00 (3),8:04:00 (8),8:53:00 (7),12:39:00 (7),14:42:00 (7),,16:07:00 (8),17:23:00 (7),19:54:00 (8),,,,,,
3,McCormick Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,57th St.,9:00:00 (3),6:41:00 (5),12:48:00 (4),,16:15:00 (3),10:31:00 (13),13:30:00 (13),17:43:00 (4),17:42:00 (13),,20:28:00 (4),23:28:00 (4),24:58:00 (4),5:20:00 (12),5:57:00 (10),8:00:00 (3),6:12:00 (10),6:24:00 (8),10:42:00 (3),,13:53:00 (4),7:21:00 (9),14:58:00 (4),7:40:00 (12),15:53:00 (4),16:33:00 (3),8:27:00 (9),,9:23:00 (12),17:11:00 (3),12:09:00 (12),,,,,18:38:00 (4),18:48:00 (12),19:28:00 (4),21:16:00 (4),,6:56:00 (3),,9:51:00 (3),11:58:00 (4),7:56:00 (7),,,,18:00:00 (3),16:00:00 (7),,19:48:00 (7),,,,,,
5,63rd St.,,,,,,,,,,,,,,,,,,,,,,7:18:00 (8),,,15:57:00 (5),,,,,,,,,18:17:00 (4),,,,,,,,,,,,,,,,,,,,,,,,
6,Hegewisch,9:22:00 (4),,13:10:00 (5),7:48:00 (7),16:33:00 (4),10:09:00 (12),13:08:00 (12),18:01:00 (5),17:22:00 (12),21:29:00 (12),20:54:00 (5),23:54:00 (5),25:24:00 (5),4:59:00 (11),5:37:00 (9),8:20:00 (4),5:53:00 (9),6:05:00 (7),11:06:00 (4),6:44:00 (10),14:15:00 (5),7:00:00 (7),15:20:00 (5),7:19:00 (11),16:16:00 (6),16:53:00 (4),8:08:00 (8),17:07:00 (4),9:00:00 (11),17:31:00 (4),11:46:00 (11),,15:08:00 (9),18:32:00 (5),16:25:00 (9),18:56:00 (5),18:27:00 (11),19:48:00 (5),21:42:00 (5),6:24:00 (3),7:16:00 (4),7:57:00 (3),10:13:00 (4),12:20:00 (5),7:37:00 (6),8:29:00 (6),12:11:00 (6),14:14:00 (6),18:19:00 (4),15:38:00 (6),16:58:00 (6),19:28:00 (6),,,,,,
7,Hammond Gateway,9:26:00 (5),,13:14:00 (6),7:44:00 (6),16:37:00 (5),10:05:00 (11),13:04:00 (11),18:05:00 (6),17:18:00 (11),21:25:00 (11),20:58:00 (6),23:58:00 (6),25:28:00 (6),4:55:00 (10),5:33:00 (8),8:24:00 (5),5:49:00 (8),6:01:00 (6),11:10:00 (5),6:40:00 (9),14:19:00 (6),6:56:00 (6),15:24:00 (6),7:15:00 (10),16:20:00 (7),16:57:00 (5),8:04:00 (7),17:11:00 (5),8:56:00 (10),17:35:00 (5),11:42:00 (10),17:48:00 (3),15:03:00 (8),18:36:00 (6),16:21:00 (8),19:00:00 (6),18:23:00 (10),19:52:00 (6),21:46:00 (6),6:28:00 (4),7:20:00 (5),8:01:00 (4),10:17:00 (5),12:24:00 (6),7:33:00 (5),8:25:00 (5),12:07:00 (5),14:10:00 (5),18:23:00 (5),15:34:00 (5),16:54:00 (5),19:24:00 (5),,,,,,
8,East Chicago,9:31:00 (6),6:17:00 (4),13:19:00 (7),7:39:00 (5),16:42:00 (6),10:00:00 (10),12:59:00 (10),18:10:00 (7),17:13:00 (10),21:20:00 (10),21:03:00 (7),24:03:00 (7),25:33:00 (7),4:50:00 (9),5:28:00 (7),8:29:00 (6),5:44:00 (7),,11:15:00 (6),6:35:00 (8),14:24:00 (7),6:51:00 (5),15:29:00 (7),7:10:00 (9),16:25:00 (8),17:02:00 (6),7:59:00 (6),17:16:00 (6),8:51:00 (9),17:40:00 (6),11:37:00 (9),17:53:00 (4),14:58:00 (7),18:41:00 (7),16:16:00 (7),19:05:00 (7),18:18:00 (9),19:57:00 (7),21:51:00 (7),6:33:00 (5),7:25:00 (6),8:06:00 (5),10:22:00 (6),12:29:00 (7),7:28:00 (4),8:20:00 (4),12:02:00 (4),14:05:00 (4),18:28:00 (6),15:29:00 (4),16:49:00 (4),19:19:00 (4),,,,,,
9,Gary/Chicago Airport,9:36:00 (7),,13:24:00 (8),,,9:55:00 (9),12:55:00 (9),18:15:00 (8),17:08:00 (9),21:16:00 (9),21:08:00 (8),,,4:45:00 (8),5:23:00 (6),8:34:00 (7),,5:53:00 (5),11:20:00 (7),6:30:00 (7),14:29:00 (8),,15:34:00 (8),7:05:00 (8),16:30:00 (9),,,17:21:00 (7),8:46:00 (8),,11:32:00 (8),17:58:00 (5),,18:46:00 (8),,19:10:00 (8),18:13:00 (8),20:02:00 (8),21:56:00 (8),6:38:00 (6),7:30:00 (7),8:11:00 (6),10:27:00 (7),12:34:00 (8),7:23:00 (3),8:15:00 (3),11:58:00 (3),14:01:00 (3),18:33:00 (7),15:25:00 (3),16:44:00 (3),19:15:00 (3),,,,,,
