,stop_name
0,NEW YORK PENN STATION
1,FRANK R LAUTENBERG SECAUCUS UPPER LEVEL
2,NEWARK PENN STATION
3,NEWARK AIRPORT RAILROAD STATION
4,UNION
5,ROSELLE PARK
6,CRANFORD
7,GARWOOD
8,WESTFIELD
9,FANWOOD
10,NETHERWOOD
11,PLAINFIELD
12,DUNELLEN
13,BOUND BROOK
14,BRIDGEWATER
15,SOMERVILLE
16,RARITAN
17,NORTH BRANCH
18,WHITE HOUSE
19,LEBANON
20,ANNANDALE
21,HIGH BRIDGE
22,NORTH ELIZABETH
23,ELIZABETH
24,LINDEN
25,RAHWAY
26,AVENEL
27,WOODBRIDGE
28,PERTH AMBOY
29,SOUTH AMBOY
30,ABERDEEN-MATAWAN
31,HAZLET
32,MIDDLETOWN NJ
33,RED BANK
34,LITTLE SILVER
35,LONG BRANCH
36,ELBERON
37,ALLENHURST
38,ASBURY PARK
39,BRADLEY BEACH
40,BELMAR
41,SPRING LAKE
42,MANASQUAN
43,POINT PLEASANT
44,BAY HEAD
45,METROPARK
46,METUCHEN
47,EDISON STATION
48,NEW BRUNSWICK
49,JERSEY AVE.
50,PRINCETON JCT.
51,PRINCETON
52,HAMILTON
53,TRENTON TRANSIT CENTER
54,HOBOKEN
55,FRANK R LAUTENBERG SECAUCUS LOWER LEVEL
56,KINGSLAND
57,LYNDHURST
58,DELAWANNA
59,PASSAIC
60,CLIFTON
61,PATERSON
62,HAWTHORNE
63,GLEN ROCK MAIN LINE
64,RUTHERFORD
65,WESMONT
66,GARFIELD
67,PLAUDERVILLE
68,BROADWAY
69,RADBURN
70,GLEN ROCK BORO HALL
71,RIDGEWOOD
72,HOHOKUS
73,WALDWICK
74,ALLENDALE
75,RAMSEY
76,RAMSEY ROUTE 17 STATION
77,MAHWAH
78,SUFFERN
79,SLOATSBURG
80,TUXEDO
81,HARRIMAN
82,SALISBURY MILLS-CORNWALL
83,CAMPBELL HALL
84,MIDDLETOWN NY
85,OTISVILLE
86,PORT JERVIS
87,MEADOWLANDS SPORTS COMPLEX STATION
