,stop_name
0,Union Station
1,48th Ave/Brighton Blvd @ Nat`L Western Ctr
2,Commerce City / 72nd Ave Station
3,Original Thornton / 88th Ave Station
4,Thornton Crossroads / 104th Ave Station
5,Northglenn / 112th Ave Station
6,Eastlake /124th Ave
7,38th / Blake Station
8,39th St / Table Mesa
9,40th / Colorado Station
10,Central Park Station
11,Peoria Station
12,40th  / Airport - Gateway Park Station
13,61st / Pena Station
14,Denver Airport Station
15,41st / Fox Station
16,Pecos Junction Station
17,Westminster Station
18,Clear Creek / Federal Station
19,60th / Dahlia
20,Olde Town Arvada
21,Arvada Ridge Station
22,Wheat Ridge / Ward Road Station
23,Wadsworth / Hampden
24,Nine Mile Station
25,Evans Station
26,18th St / California Station
27,Platte Valley
28,Iliff Station
29,Longmont
30,Boulder Junction at Depot Square Station
31,Parker
32,Meridian
33,Thornton East Side
34,Paradise Hills
35,US 36 / Church Ranch Station East Side
36,2nd Ave & Abilene Station
37,Federal / Evans
38,10th / Osage Station
39,Dry Creek Station
40,US 285 / Mountain View
41,Decatur-Federal Station
42,Colfax at Auraria Station
43,104th Ave / Revere
44,Lincoln / Jordan
45,Pine Junction
46,Auraria West Campus Station
47,US 36 / Church Ranch Station West Side
48,60th / Sheridan - Arvada Gold Strike Station
49,Lone Tree City Center Station
50,Downtown Boulder Station
51,Oxford-City of Sheridan Station
52,Littleton / Downtown Station
53,8th / Coffman
54,US 36 / Flatiron Station West Side
55,Tantra Dr / Table Mesa
56,Louisiana / Pearl Station
57,Golden
58,Federal Center Station
59,US 36 / Flatiron Station East Side
60,Colfax Station
61,Grant St & E 140th Ave
62,Ball Arena / Elitch Gardens Station
63,Grant St & E 143rd Pl
64,US 287 / 21st Ave
65,University of Denver Station
66,Perry Station
67,Cherry Creek
68,Ulster / Tufts
69,Dayton Station
70,US 36 / Broomfield Station
71,Southmoor Station
72,27th Way / Broadway
73,Thornton West Side
74,Brighton
75,Belleview Station
76,Nederland
77,Bergen Park
78,Garrison Station
79,Englewood Station
80,Orchard
81,Jefferson CO Government-Golden Station
82,Aurora Metro Center Station
83,Lamar Station
84,Orchard Pkwy & W 144th Ave
85,North Inverness
86,Hwy 119 / Niwot
87,Ridgegate Parkway Station
88,Alameda Station
89,Lafayette
90,Oak Station
91,Sh 72 / Sh 93
92,Lakewood Commons
93,Colfax / Federal
94,Sky Ridge Station
95,30th / Downing Station
96,I-25 / Broadway Station
97,25th St / Welton Station
98,US 36 / Sheridan Station West Side
99,Lakewood-Wadsworth Station
100,20th St / Welton Station
101,Highlands Ranch Town Center
102,Sheridan Station
103,Table Mesa
104,Lincoln St & E 143rd Pl
105,Knox Station
106,Colorado Station
107,Aspen Park
108,Broadway Marketplace
109,Ken Caryl / C-470
110,Green Mountain
111,Bear Valley
112,Littleton / Mineral Station
113,Fitzsimons Station
114,North Broomfield
115,C470 / University Blvd
116,South Inverness
117,US 36 / McCaslin Station West Side
118,Theatre District / Convention Center
119,Boulder Church of The Nazarene
120,County Line Station
121,13th Ave Station
122,Alameda / Havana
123,Smoky Hill / Picadilly
124,16th St / Stout Station
125,US 36 / McCaslin Station East Side
126,Yale Station
127,Orchard Station
128,Evergreen
129,US 287 / Niwot Rd
130,US 285 / Twin Forks
131,Wagon Road
132,US 36 / Sheridan Station East Side
133,18th St / Stout Station
134,Red Rocks College Station
135,Arapahoe
136,Belleview
137,Civic Center Station
138,Federal Heights
139,Southwest Plaza
140,Superior
141,Lincoln Station
142,Genesee Park
143,16th St / California Station
144,US 85 / Bridge St
145,106th / Melody
146,Louisville
147,Dry Creek
148,Delaware St & W 146th Ave
149,27th St / Welton Station
150,Arapahoe at Village Center Station
151,Thornton/Northglenn
152,Broomfield
153,Lone Tree
154,South Jeffco
155,Empower Field at Mile High
156,Olympic Park
157,Florida Station
158,Pinery
159,Race / Davies
