,stop_name,P305X (Downtown Miami Link),P600 (Tri-Rail),P601 (Tri-Rail),P601X (Downtown Miami Link),P602 (Tri-Rail),P603 (Tri-Rail),P604 (Tri-Rail),P605 (Tri-Rail),P605X (Downtown Miami Link),P606 (Tri-Rail),P607 (Tri-Rail),P608 (Tri-Rail),P609 (Tri-Rail),P610 (Tri-Rail),P610X (Downtown Miami Link),P611 (Tri-Rail),P611X (Downtown Miami Link),P612 (Tri-Rail),P613 (Tri-Rail),P614 (Tri-Rail),P615 (Tri-Rail),P615X (Downtown Miami Link),P616 (Tri-Rail),P616X (Downtown Miami Link),P617 (Tri-Rail),P618 (Tri-Rail),P618X (Downtown Miami Link),P619 (Tri-Rail),P620 (Tri-Rail),P620X (Downtown Miami Link),P621 (Tri-Rail),P621X (Downtown Miami Link),P622 (Tri-Rail),P622X (Downtown Miami Link),P623 (Tri-Rail),P623X (Downtown Miami Link),P624 (Tri-Rail),P625 (Tri-Rail),P625X (Downtown Miami Link),P626 (Tri-Rail),P627 (Tri-Rail),P628 (Tri-Rail),P628X (Downtown Miami Link),P629 (Tri-Rail),P629X (Downtown Miami Link),P630 (Tri-Rail),P630X (Downtown Miami Link),P631 (Tri-Rail),P632 (Tri-Rail),P633 (Tri-Rail),P634 (Tri-Rail),P634X (Downtown Miami Link),P635 (Tri-Rail),P635X (Downtown Miami Link),P636 (Tri-Rail),P637 (Tri-Rail),P638 (Tri-Rail),P639 (Tri-Rail),P639X (Downtown Miami Link),P640 (Tri-Rail),P641 (Tri-Rail),P642 (Tri-Rail),P643 (Tri-Rail),P644 (Tri-Rail),P644X (Downtown Miami Link),P645 (Tri-Rail),P646 (Tri-Rail),P646X (Downtown Miami Link),P647 (Tri-Rail),P648 (Tri-Rail),P648X (Downtown Miami Link),P649 (Tri-Rail),P650 (Tri-Rail),P650X (Downtown Miami Link),P651 (Tri-Rail),P651X (Downtown Miami Link),X301 (MiamiCentral Express),X302 (MiamiCentral Express)
0,Mangonia Park Station,,05:40:00 (18),03:50:00 (1),,06:40:00 (18),04:50:00 (1),07:10:00 (18),05:20:00 (1),,07:40:00 (18),05:45:00 (1),08:10:00 (18),06:30:00 (1),08:40:00 (18),,06:55:00 (1),,09:10:00 (18),07:25:00 (1),09:40:00 (18),07:50:00 (1),,10:20:00 (18),,08:50:00 (1),11:15:00 (18),,09:55:00 (1),12:15:00 (18),,10:50:00 (1),,13:15:00 (18),,11:50:00 (1),,14:10:00 (18),12:50:00 (1),,15:10:00 (18),13:55:00 (1),16:15:00 (18),,14:50:00 (1),,17:15:00 (18),,15:30:00 (1),17:40:00 (18),15:55:00 (1),18:15:00 (18),,16:20:00 (1),,18:40:00 (18),16:55:00 (1),19:05:00 (18),17:25:00 (1),,19:50:00 (18),17:55:00 (1),20:10:00 (18),18:30:00 (1),20:45:00 (18),,18:55:00 (1),21:45:00 (18),,19:25:00 (1),23:45:00 (18),,20:55:00 (1),25:55:00 (18),,21:15:00 (1),,,
1,West Palm Beach Station,,05:30:00 (17),03:56:00 (2),,06:30:00 (17),04:56:00 (2),07:00:00 (17),05:26:00 (2),,07:30:00 (17),05:51:00 (2),08:00:00 (17),06:36:00 (2),08:30:00 (17),,07:01:00 (2),,09:00:00 (17),07:31:00 (2),09:30:00 (17),07:56:00 (2),,10:10:00 (17),,08:56:00 (2),11:05:00 (17),,10:01:00 (2),12:05:00 (17),,10:56:00 (2),,13:05:00 (17),,11:56:00 (2),,14:00:00 (17),12:56:00 (2),,15:00:00 (17),14:01:00 (2),16:05:00 (17),,14:56:00 (2),,17:05:00 (17),,15:36:00 (2),17:30:00 (17),16:01:00 (2),18:05:00 (17),,16:26:00 (2),,18:30:00 (17),17:01:00 (2),18:55:00 (17),17:31:00 (2),,19:40:00 (17),18:01:00 (2),20:00:00 (17),18:36:00 (2),20:35:00 (17),,19:01:00 (2),21:35:00 (17),,19:31:00 (2),23:35:00 (17),,21:01:00 (2),25:45:00 (17),,21:21:00 (2),,06:30:00 (1),19:05:00 (5)
2,Lake Worth Station,,05:21:00 (16),04:05:00 (3),,06:21:00 (16),05:05:00 (3),06:51:00 (16),05:35:00 (3),,07:21:00 (16),06:00:00 (3),07:51:00 (16),06:45:00 (3),08:21:00 (16),,07:10:00 (3),,08:51:00 (16),07:40:00 (3),09:21:00 (16),08:05:00 (3),,10:01:00 (16),,09:05:00 (3),10:56:00 (16),,10:10:00 (3),11:56:00 (16),,11:05:00 (3),,12:56:00 (16),,12:05:00 (3),,13:51:00 (16),13:05:00 (3),,14:51:00 (16),14:10:00 (3),15:56:00 (16),,15:05:00 (3),,16:56:00 (16),,15:45:00 (3),17:21:00 (16),16:10:00 (3),17:56:00 (16),,16:35:00 (3),,18:21:00 (16),17:10:00 (3),18:46:00 (16),17:40:00 (3),,19:31:00 (16),18:10:00 (3),19:51:00 (16),18:45:00 (3),20:26:00 (16),,19:10:00 (3),21:26:00 (16),,19:40:00 (3),23:26:00 (16),,21:10:00 (3),25:36:00 (16),,21:30:00 (3),,,
3,Boynton Beach Station,,05:14:00 (15),04:12:00 (4),,06:14:00 (15),05:12:00 (4),06:44:00 (15),05:42:00 (4),,07:14:00 (15),06:07:00 (4),07:44:00 (15),06:52:00 (4),08:14:00 (15),,07:17:00 (4),,08:44:00 (15),07:47:00 (4),09:14:00 (15),08:12:00 (4),,09:54:00 (15),,09:12:00 (4),10:49:00 (15),,10:17:00 (4),11:49:00 (15),,11:12:00 (4),,12:49:00 (15),,12:12:00 (4),,13:44:00 (15),13:12:00 (4),,14:44:00 (15),14:17:00 (4),15:49:00 (15),,15:12:00 (4),,16:49:00 (15),,15:52:00 (4),17:14:00 (15),16:17:00 (4),17:49:00 (15),,16:42:00 (4),,18:14:00 (15),17:17:00 (4),18:39:00 (15),17:47:00 (4),,19:24:00 (15),18:17:00 (4),19:44:00 (15),18:52:00 (4),20:19:00 (15),,19:17:00 (4),21:19:00 (15),,19:47:00 (4),23:19:00 (15),,21:17:00 (4),25:29:00 (15),,21:37:00 (4),,,
4,Delray Beach Station,,05:05:00 (14),04:21:00 (5),,06:05:00 (14),05:21:00 (5),06:35:00 (14),05:51:00 (5),,07:05:00 (14),06:16:00 (5),07:35:00 (14),07:01:00 (5),08:05:00 (14),,07:26:00 (5),,08:35:00 (14),07:56:00 (5),09:05:00 (14),08:21:00 (5),,09:45:00 (14),,09:21:00 (5),10:40:00 (14),,10:26:00 (5),11:40:00 (14),,11:21:00 (5),,12:40:00 (14),,12:21:00 (5),,13:35:00 (14),13:21:00 (5),,14:35:00 (14),14:26:00 (5),15:40:00 (14),,15:21:00 (5),,16:40:00 (14),,16:01:00 (5),17:05:00 (14),16:26:00 (5),17:40:00 (14),,16:51:00 (5),,18:05:00 (14),17:26:00 (5),18:30:00 (14),17:56:00 (5),,19:15:00 (14),18:26:00 (5),19:35:00 (14),19:01:00 (5),20:10:00 (14),,19:26:00 (5),21:10:00 (14),,19:56:00 (5),23:10:00 (14),,21:26:00 (5),25:20:00 (14),,21:46:00 (5),,,
5,Boca Raton Station,,04:58:00 (13),04:28:00 (6),,05:58:00 (13),05:28:00 (6),06:28:00 (13),05:58:00 (6),,06:58:00 (13),06:23:00 (6),07:28:00 (13),07:08:00 (6),07:58:00 (13),,07:33:00 (6),,08:28:00 (13),08:03:00 (6),08:58:00 (13),08:28:00 (6),,09:38:00 (13),,09:28:00 (6),10:33:00 (13),,10:33:00 (6),11:33:00 (13),,11:28:00 (6),,12:33:00 (13),,12:28:00 (6),,13:28:00 (13),13:28:00 (6),,14:28:00 (13),14:33:00 (6),15:33:00 (13),,15:28:00 (6),,16:33:00 (13),,16:08:00 (6),16:58:00 (13),16:33:00 (6),17:33:00 (13),,16:58:00 (6),,17:58:00 (13),17:33:00 (6),18:23:00 (13),18:03:00 (6),,19:08:00 (13),18:33:00 (6),19:28:00 (13),19:08:00 (6),20:03:00 (13),,19:33:00 (6),21:03:00 (13),,20:03:00 (6),23:03:00 (13),,21:33:00 (6),25:13:00 (13),,21:53:00 (6),,06:55:00 (2),18:39:00 (4)
6,Deerfield Beach Station,,04:51:00 (12),04:35:00 (7),,05:51:00 (12),05:35:00 (7),06:21:00 (12),06:05:00 (7),,06:51:00 (12),06:30:00 (7),07:21:00 (12),07:15:00 (7),07:51:00 (12),,07:40:00 (7),,08:21:00 (12),08:10:00 (7),08:51:00 (12),08:35:00 (7),,09:31:00 (12),,09:35:00 (7),10:26:00 (12),,10:40:00 (7),11:26:00 (12),,11:35:00 (7),,12:26:00 (12),,12:35:00 (7),,13:21:00 (12),13:35:00 (7),,14:21:00 (12),14:40:00 (7),15:26:00 (12),,15:35:00 (7),,16:26:00 (12),,16:15:00 (7),16:51:00 (12),16:40:00 (7),17:26:00 (12),,17:05:00 (7),,17:51:00 (12),17:40:00 (7),18:16:00 (12),18:10:00 (7),,19:01:00 (12),18:40:00 (7),19:21:00 (12),19:15:00 (7),19:56:00 (12),,19:40:00 (7),20:56:00 (12),,20:10:00 (7),22:56:00 (12),,21:40:00 (7),25:06:00 (12),,22:00:00 (7),,,
7,Pompano Beach Station,,04:45:00 (11),04:41:00 (8),,05:45:00 (11),05:41:00 (8),06:15:00 (11),06:11:00 (8),,06:45:00 (11),06:36:00 (8),07:15:00 (11),07:21:00 (8),07:45:00 (11),,07:46:00 (8),,08:15:00 (11),08:16:00 (8),08:45:00 (11),08:41:00 (8),,09:25:00 (11),,09:41:00 (8),10:20:00 (11),,10:46:00 (8),11:20:00 (11),,11:41:00 (8),,12:20:00 (11),,12:41:00 (8),,13:15:00 (11),13:41:00 (8),,14:15:00 (11),14:46:00 (8),15:20:00 (11),,15:41:00 (8),,16:20:00 (11),,16:21:00 (8),16:45:00 (11),16:46:00 (8),17:20:00 (11),,17:11:00 (8),,17:45:00 (11),17:46:00 (8),18:10:00 (11),18:16:00 (8),,18:55:00 (11),18:46:00 (8),19:15:00 (11),19:21:00 (8),19:50:00 (11),,19:46:00 (8),20:50:00 (11),,20:16:00 (8),22:50:00 (11),,21:46:00 (8),25:00:00 (11),,22:06:00 (8),,,
8,Cypress Creek Station,,04:38:00 (10),04:48:00 (9),,05:38:00 (10),05:48:00 (9),06:08:00 (10),06:18:00 (9),,06:38:00 (10),06:43:00 (9),07:08:00 (10),07:28:00 (9),07:38:00 (10),,07:53:00 (9),,08:08:00 (10),08:23:00 (9),08:38:00 (10),08:48:00 (9),,09:18:00 (10),,09:48:00 (9),10:13:00 (10),,10:53:00 (9),11:13:00 (10),,11:48:00 (9),,12:13:00 (10),,12:48:00 (9),,13:08:00 (10),13:48:00 (9),,14:08:00 (10),14:53:00 (9),15:13:00 (10),,15:48:00 (9),,16:13:00 (10),,16:28:00 (9),16:38:00 (10),16:53:00 (9),17:13:00 (10),,17:18:00 (9),,17:38:00 (10),17:53:00 (9),18:03:00 (10),18:23:00 (9),,18:48:00 (10),18:53:00 (9),19:08:00 (10),19:28:00 (9),19:43:00 (10),,19:53:00 (9),20:43:00 (10),,20:23:00 (9),22:43:00 (10),,21:53:00 (9),24:53:00 (10),,22:13:00 (9),,,
9,Fort Lauderdale Station,,04:31:00 (9),04:55:00 (10),,05:31:00 (9),05:55:00 (10),06:01:00 (9),06:25:00 (10),,06:31:00 (9),06:50:00 (10),07:01:00 (9),07:35:00 (10),07:31:00 (9),,08:01:00 (10),,08:01:00 (9),08:30:00 (10),08:31:00 (9),08:55:00 (10),,09:11:00 (9),,09:55:00 (10),10:06:00 (9),,11:00:00 (10),11:06:00 (9),,11:55:00 (10),,12:06:00 (9),,12:55:00 (10),,13:01:00 (9),13:55:00 (10),,14:01:00 (9),15:00:00 (10),15:06:00 (9),,15:55:00 (10),,16:06:00 (9),,16:35:00 (10),16:31:00 (9),17:00:00 (10),17:06:00 (9),,17:25:00 (10),,17:31:00 (9),18:00:00 (10),17:56:00 (9),18:30:00 (10),,18:41:00 (9),19:00:00 (10),19:01:00 (9),19:35:00 (10),19:36:00 (9),,20:00:00 (10),20:36:00 (9),,20:30:00 (10),22:36:00 (9),,22:00:00 (10),24:46:00 (9),,22:20:00 (10),,,
