,stop_name,2 (Vancouver - Toronto),5 (Jasper - Prince Rupert),6 (Jasper - Prince Rupert),14 (Montréal - Halifax),15 (Montréal - Halifax),20 (Québec - Montréal),22 (Québec - Fallowfield),24 (Québec - Fallowfield),26 (Ottawa - Québec),28 (Ottawa - Québec),29 (Québec - Montréal),31 (Ottawa - Montréal),33 (Ottawa - Québec),35 (Ottawa - Québec),37 (Québec - Fallowfield),38 (Ottawa - Montréal),39 (Québec - Fallowfield),40 (Ottawa - Toronto),41 (Ottawa - Toronto),42 (Ottawa - Toronto),43 (Ottawa - Toronto),44 (Ottawa - Toronto),45 (Ottawa - Toronto),46 (Ottawa - Toronto),47 (Ottawa - Toronto),48 (Ottawa - Toronto),50 (Ottawa - Toronto),52 (Ottawa - Toronto),53 (Ottawa - Toronto),54 (Ottawa - Toronto),55 (Ottawa - Toronto),59 (Ottawa - Toronto),60 (Montréal - Toronto),61 (Montréal - Toronto),62 (Montréal - Toronto),63 (Montréal - Toronto),64 (Montréal - Toronto),65 (Montréal - Toronto),66 (Montréal - Toronto),67 (Montréal - Toronto),68 (Montréal - Toronto),69 (Montréal - Toronto),70 (Toronto - Windsor),71 (Toronto - Windsor),72 (Toronto - Windsor),73 (Toronto - Windsor),75 (Toronto - Windsor),76 (Toronto - Windsor),78 (Toronto - Windsor),79 (Toronto - Windsor),82 (Toronto - London),83 (Toronto - London),84 (Toronto - Sarnia),87 (Toronto - Sarnia),186 (Sudbury - White River),601 (Montréal - Jonquière),603 (Montréal - Senneterre),643 (Ottawa - Toronto),644 (Ottawa - Toronto),645 (Ottawa - Toronto),646 (Ottawa - Toronto),647 (Ottawa - Toronto),650 (Toronto - Kingston),651 (Toronto - Kingston),668 (Montréal - Toronto),669 (Montréal - Toronto),691 (The Pas - Churchill),nan (Air Connect),97-64 (Toronto - New York),98-63 (Toronto - New York)
0,Benny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:10:00 (30),,,,,,,,,,,,,,,
1,Alexandria,,,,,,,06:57:00 (3),11:05:00 (2),15:05:00 (2),16:54:00 (3),,07:38:00 (3),10:12:00 (9),13:10:00 (10),17:46:00 (9),18:51:00 (3),20:07:00 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Yonkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:37:00 (21),07:44:00 (2)
3,Niagara Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:20:00 (6),17:45:00 (17)
4,Ochre River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Wivenhoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:13:00 (38),,,
6,Sarnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40:00 (1),22:24:00 (12),,,,,,,,,,,,,,,,
7,Mont-Joli,,,,27:09:00 (11),24:56:00 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Saint-Lambert,,,,18:55:00 (2),33:40:00 (27),06:40:00 (2),08:50:00 (7),13:00:00 (6),16:54:00 (6),18:40:00 (7),20:47:00 (5),,08:24:00 (6),11:13:00 (6),15:41:00 (5),,17:58:00 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Orok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:07:00 (3),,,
10,Mission Harbour,19:35:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Windigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47:00 (21),,,,,,,,,,,,,
12,Agassiz,20:03:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Thibaudeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28:00:00 (44),,,
14,Telkwa,,40:52:00 (23),17:37:00 (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Saint-Maurice Rivière Boom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:24:00 (26),,,,,,,,,,,,,
16,Timbrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:09:00 (37),,,,,,,,,,,,,
17,O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:15:00 (2),,,,,,,,,,,,,,,
18,Sipiwesk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:35:00 (28),,,
19,Cedarvale,,43:51:00 (27),14:44:00 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Herchmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29:26:00 (45),,,
21,Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34:00 (10),14:13:00 (13)
22,Club Beaudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:52:00 (50),,,,,,,,,,,,,
23,Bourmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:47:00 (49),,,,,,,,,,,,,
24,Levack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45:00 (32),,,,,,,,,,,,,,,
