stop_name,stop_id,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_code
Niagara Falls GO,NI,43.108882,-79.063319,84,https://www.gotransit.com/find-a-station-or-stop/NI/station-details,0,,1,
St. Catharines GO,SCTH,43.1476135,-79.2549057,83,https://www.gotransit.com/find-a-station-or-stop/SCTH/station-details,0,,1,
West Harbour GO,WR,43.266775,-79.866222,18,https://www.gotransit.com/find-a-station-or-stop/WR/station-details,0,,1,
Hamilton GO Centre,HA,43.253284,-79.869192,18,https://www.gotransit.com/find-a-station-or-stop/HA/station-details,0,,1,
Aldershot GO,AL,43.313385,-79.855659,17,https://www.gotransit.com/find-a-station-or-stop/AL/station-details,0,,1,
Burlington GO,BU,43.341265,-79.809141,16,https://www.gotransit.com/find-a-station-or-stop/BU/station-details,0,,1,
Appleby GO,AP,43.379429,-79.760991,15,https://www.gotransit.com/find-a-station-or-stop/AP/station-details,0,,1,
Bronte GO,BO,43.416774,-79.722294,14,https://www.gotransit.com/find-a-station-or-stop/BO/station-details,0,,1,
Oakville GO,OA,43.455594,-79.682242,13,https://www.gotransit.com/find-a-station-or-stop/OA/station-details,0,,1,
Clarkson GO,CL,43.513127,-79.633206,12,https://www.gotransit.com/find-a-station-or-stop/CL/station-details,0,,1,
Port Credit GO,PO,43.555999,-79.586881,10,https://www.gotransit.com/find-a-station-or-stop/PO/station-details,0,,1,
Long Branch GO,LO,43.591317,-79.546149,59,https://www.gotransit.com/find-a-station-or-stop/LO/station-details,0,,2,
Mimico GO,MI,43.616411,-79.497762,79,https://www.gotransit.com/find-a-station-or-stop/MI/station-details,0,,2,
Exhibition GO,EX,43.635549,-79.418927,2,https://www.gotransit.com/find-a-station-or-stop/EX/station-details,0,,1,
Milton GO,ML,43.52364,-79.867172,24,https://www.gotransit.com/find-a-station-or-stop/ML/station-details,0,,1,
Lisgar GO,LS,43.590791,-79.788539,23,https://www.gotransit.com/find-a-station-or-stop/LS/station-details,0,,1,
Meadowvale GO,ME,43.597566,-79.754328,22,https://www.gotransit.com/find-a-station-or-stop/ME/station-details,0,,1,
Streetsville GO,SR,43.575584,-79.70882,21,https://www.gotransit.com/find-a-station-or-stop/SR/station-details,0,,1,
Erindale GO,ER,43.567235,-79.668506,40,https://www.gotransit.com/find-a-station-or-stop/ER/station-details,0,,1,
Cooksville GO,CO,43.582973,-79.623695,11,https://www.gotransit.com/find-a-station-or-stop/CO/station-details,0,,1,
Dixie GO,DI,43.608022,-79.577762,11,https://www.gotransit.com/find-a-station-or-stop/DI/station-details,0,,1,
Kipling GO,KP,43.636955,-79.536287,3,https://www.gotransit.com/find-a-station-or-stop/KP/station-details,0,,1,
Kitchener GO,KI,43.455686,-80.49313,27,https://www.gotransit.com/find-a-station-or-stop/KI/station-details,0,,1,
Guelph Central GO,GL,43.544353,-80.246917,39,https://www.gotransit.com/find-a-station-or-stop/GL/station-details,0,,1,
Acton GO,AC,43.6338043,-80.034111,37,https://www.gotransit.com/find-a-station-or-stop/AC/station-details,0,,1,
Georgetown GO,GE,43.655373,-79.919054,35,https://www.gotransit.com/find-a-station-or-stop/GE/station-details,0,,1,
Mount Pleasant GO,MO,43.6749763,-79.8221817,34,https://www.gotransit.com/find-a-station-or-stop/MO/station-details,0,,1,
Brampton Innovation District GO,BR,43.6869087,-79.7628632,33,https://www.gotransit.com/find-a-station-or-stop/BR/station-details,0,,1,
Bramalea GO,BE,43.7022591,-79.6887512,32,https://www.gotransit.com/find-a-station-or-stop/BE/station-details,0,,1,
Malton GO,MA,43.705153,-79.63823,31,https://www.gotransit.com/find-a-station-or-stop/MA/station-details,0,,1,
Etobicoke North GO,ET,43.706172,-79.563506,4,https://www.gotransit.com/find-a-station-or-stop/ET/station-details,0,,1,
Weston GO,WE,43.70022,-79.514671,4,https://www.gotransit.com/find-a-station-or-stop/WE/station-details,0,,1,
Bloor GO,BL,43.656928,-79.450192,1,https://www.gotransit.com/find-a-station-or-stop/BL/station-details,0,,1,
Allandale Waterfront GO,AD,44.374139,-79.687858,69,https://www.gotransit.com/find-a-station-or-stop/AD/station-details,0,,1,
Barrie South GO,BA,44.35112,-79.627441,68,https://www.gotransit.com/find-a-station-or-stop/BA/station-details,0,,1,
Bradford GO,BD,44.116513,-79.555394,65,https://www.gotransit.com/find-a-station-or-stop/BD/station-details,0,,1,
East Gwillimbury GO,EA,44.077996,-79.455776,44,https://www.gotransit.com/find-a-station-or-stop/EA/station-details,0,,1,
Newmarket GO,NE,44.060426,-79.459289,64,https://www.gotransit.com/find-a-station-or-stop/NE/station-details,0,,1,
Aurora GO,AU,44.000758,-79.459725,63,https://www.gotransit.com/find-a-station-or-stop/AU/station-details,0,,1,
King City GO,KC,43.920037,-79.526886,62,https://www.gotransit.com/find-a-station-or-stop/KC/station-details,0,,1,
Maple GO,MP,43.859481,-79.506984,61,https://www.gotransit.com/find-a-station-or-stop/MP/station-details,0,,1,
Rutherford GO,RU,43.838487,-79.498819,61,https://www.gotransit.com/find-a-station-or-stop/RU/station-details,0,,1,
Downsview Park GO,DW,43.7536333,-79.47835,19,https://www.gotransit.com/find-a-station-or-stop/DW/station-details,0,,1,
Union Station,UN,43.645195,-79.3806,2,https://www.gotransit.com/find-a-station-or-stop/UN/station-details,0,,1,
Oriole GO,OR,43.765518,-79.364275,5,https://www.gotransit.com/find-a-station-or-stop/OR/station-details,0,,1,
Old Cummer GO,OL,43.793703,-79.371403,5,https://www.gotransit.com/find-a-station-or-stop/OL/station-details,0,,1,
Langstaff GO,LA,43.838546,-79.423139,60,https://www.gotransit.com/find-a-station-or-stop/LA/station-details,0,,1,
Richmond Hill GO,RI,43.874307,-79.426167,50,https://www.gotransit.com/find-a-station-or-stop/RI/station-details,0,,1,
Gormley GO,GO,43.941617,-79.399033,78,https://www.gotransit.com/find-a-station-or-stop/GO/station-details,0,,1,
Bloomington GO,BM,43.975949,-79.397258,98,https://www.gotransit.com/find-a-station-or-stop/BM/station-details,0,,1,
Kennedy GO,KE,43.733045,-79.262706,77,https://www.gotransit.com/find-a-station-or-stop/KE/station-details,0,,1,
Agincourt GO,AG,43.78611,-79.284385,7,https://www.gotransit.com/find-a-station-or-stop/AG/station-details,0,,1,
Milliken GO,MK,43.823227,-79.301785,70,https://www.gotransit.com/find-a-station-or-stop/MK/station-details,0,,1,
Unionville GO,UI,43.851689,-79.314332,71,https://www.gotransit.com/find-a-station-or-stop/UI/station-details,0,,1,
Centennial GO,CE,43.873601,-79.289211,72,https://www.gotransit.com/find-a-station-or-stop/CE/station-details,0,,1,
Markham GO,MR,43.882691,-79.262469,72,https://www.gotransit.com/find-a-station-or-stop/MR/station-details,0,,1,
Mount Joy GO,MJ,43.900521,-79.26313,73,https://www.gotransit.com/find-a-station-or-stop/MJ/station-details,0,,1,
Stouffville GO,ST,43.970924,-79.249989,74,https://www.gotransit.com/find-a-station-or-stop/ST/station-details,0,,1,
Old Elm GO,LI,43.990395,-79.237098,74,https://www.gotransit.com/find-a-station-or-stop/LI/station-details,0,,1,
Danforth GO,DA,43.686462,-79.300358,6,https://www.gotransit.com/find-a-station-or-stop/DA/station-details,0,,1,
Scarborough GO,SC,43.716945,-79.254722,6,https://www.gotransit.com/find-a-station-or-stop/SC/station-details,0,,1,
Eglinton GO,EG,43.739621,-79.23231,8,https://www.gotransit.com/find-a-station-or-stop/EG/station-details,0,,1,
Guildwood GO,GU,43.755272,-79.198252,8,https://www.gotransit.com/find-a-station-or-stop/GU/station-details,0,,1,
Rouge Hill GO,RO,43.780375,-79.130646,9,https://www.gotransit.com/find-a-station-or-stop/RO/station-details,0,,1,
Pickering GO,PIN,43.831576,-79.084594,91,https://www.gotransit.com/find-a-station-or-stop/PIN/station-details,0,,1,
Ajax GO,AJ,43.847766,-79.041372,92,https://www.gotransit.com/find-a-station-or-stop/AJ/station-details,0,,1,
Whitby GO,WH,43.86484,-78.93818,93,https://www.gotransit.com/find-a-station-or-stop/WH/station-details,0,,1,
Durham College Oshawa GO,OS,43.871004,-78.884807,94,https://www.gotransit.com/find-a-station-or-stop/OS/station-details,0,,1,
