route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
01250425-LE,20250404,20250404-LE-9224,LE - Durham College Oshawa GO,,0,47A,UNOS,1,2,
01250425-MI,20250404,20250404-MI-2739,MI - Milton GO,,0,32P,UNML,1,2,
01250425-LW,20250404,20250404-LW-1028,LW - Union Station,,1,03A,ALUN,1,1,
01250425-GT,20250404,20250404-GT-3227,KI - Bramalea GO,,0,06P,UNBE,1,2,
01250425-LW,20250404,20250404-LW-1005,LW - Aldershot GO,,0,20A,UNAL,1,1,
01250425-LW,20250404,20250404-LW-1731,LW - West Harbour GO,,0,26A,UNWR,1,1,
01250425-GT,20250404,20250404-GT-3312,KI - Union Station,,1,48A,BEUN,1,1,
01250425-LE,20250404,20250404-LE-9205,LE - Union Station,,1,21A,OSUN,1,2,
01250425-LW,20250404,20250404-LW-1009,LW - Aldershot GO,,0,25A,UNAL,1,1,
01250425-LE,20250404,20250404-LE-9330,LE - Durham College Oshawa GO,,0,35P,UNOS,1,1,
01250425-BR,20250404,20250404-BR-6316,BR - Union Station,,1,57A,AUUN,1,1,
01250425-LE,20250404,20250404-LE-9209,LE - Union Station,,1,26A,OSUN,1,2,
01250425-LW,20250404,20250404-LW-1740,LW - Union Station,,1,55P,WRUN,1,1,
01250425-GT,20250404,20250404-GT-3033,KI - Bramalea GO,,0,50P,UNBE,1,1,
01250425-LW,20250404,20250404-LW-1040,LW - Union Station,,1,18P,ALUN,1,1,
01250425-LW,20250404,20250404-LW-1758,LW - Union Station,,1,15A,WRUN,1,2,
01250425-ST,20250404,20250404-ST-7412,ST - Mount Joy GO,,0,47A,UNMJ,1,1,
01250425-LW,20250404,20250404-LW-1325,LW - Oakville GO,,0,48A,UNOA,1,2,
01250425-LW,20250404,20250404-LW-1739,LW - West Harbour GO,,0,22A,UNWR,1,1,
01250425-ST,20250404,20250404-ST-7626,ST - Old Elm GO,,0,24P,UNLI,1,2,
01250425-LE,20250404,20250404-LE-9322,LE - Durham College Oshawa GO,,0,22A,UNOS,1,2,
01250425-GT,20250404,20250404-GT-3128,KI - Union Station,,1,50A,BEUN,1,1,
01250425-LE,20250404,20250404-LE-9041,LE - Union Station,,1,23A,OSUN,1,1,
01250425-MI,20250404,20250404-MI-2727,MI - Milton GO,,0,58P,UNML,1,2,
01250425-LE,20250404,20250404-LE-9309,LE - Union Station,,1,12A,OSUN,1,2,
01250425-GT,20250404,20250404-GT-3824,KI - Union Station,,1,47A,KIUN,1,1,
01250425-GT,20250404,20250404-GT-3308,KI - Union Station,,1,06A,BEUN,1,2,
01250425-LE,20250404,20250404-LE-9338,LE - Durham College Oshawa GO,,0,03A,UNOS,1,1,
01250425-ST,20250404,20250404-ST-7433,ST - Union Station,,1,57P,MJUN,1,1,
01250425-LE,20250404,20250404-LE-9011,LE - Union Station,,1,27A,OSUN,1,2,
01250425-GT,20250404,20250404-GT-3021,KI - Bramalea GO,,0,56P,UNBE,1,1,
01250425-ST,20250404,20250404-ST-7826,ST - Old Elm GO,,0,08P,UNLI,1,2,
01250425-LW,20250404,20250404-LW-1031,LW - Aldershot GO,,0,25A,UNAL,1,1,
01250425-RH,20250404,20250404-RH-5327,RH - Bloomington GO,,0,31P,UNBM,1,2,
01250425-LE,20250404,20250404-LE-9326,LE - Durham College Oshawa GO,,0,27A,UNOS,1,2,
01250425-GT,20250404,20250404-GT-3960,KI - Union Station,,1,56A,KIUN,1,1,
01250425-LE,20250404,20250404-LE-9231,LE - Union Station,,1,26A,OSUN,1,1,
01250425-LW,20250404,20250404-LW-1014,LW - Union Station,,1,25A,ALUN,1,1,
01250425-LW,20250404,20250404-LW-1306,LW - Union Station,,1,11A,OAUN,1,2,
01250425-GT,20250404,20250404-GT-3025,KI - Bramalea GO,,0,50A,UNBE,1,2,
01250425-LW,20250404,20250404-LW-1006,LW - Union Station,,1,03A,ALUN,1,2,
01250425-LW,20250404,20250404-LW-1035,LW - Aldershot GO,,0,18P,UNAL,1,1,
01250425-LW,20250404,20250404-LW-1018,LW - Union Station,,1,11A,ALUN,1,1,
01250425-GT,20250404,20250404-GT-3110,KI - Union Station,,1,24A,BEUN,1,2,
01250425-LE,20250404,20250404-LE-9235,LE - Union Station,,1,55P,OSUN,1,1,
01250425-LW,20250404,20250404-LW-1707,LW - West Harbour GO,,0,23A,UNWR,1,1,
01250425-BR,20250404,20250404-BR-6317,BR - Aurora GO,,0,50A,UNAU,1,1,
01250425-LW,20250404,20250404-LW-1039,LW - Aldershot GO,,0,21A,UNAL,1,1,
01250425-ST,20250404,20250404-ST-7907,ST - Union Station,,1,46A,LIUN,1,2,
01250425-LW,20250404,20250404-LW-1741,LW - West Harbour GO,,0,25A,UNWR,1,1,
01250425-LE,20250404,20250404-LE-9239,LE - Union Station,,1,22A,OSUN,1,1,
01250425-LE,20250404,20250404-LE-9206,LE - Durham College Oshawa GO,,0,11A,UNOS,1,1,
01250425-LW,20250404,20250404-LW-1724,LW - Union Station,,1,25A,WRUN,1,1,
01250425-LW,20250404,20250404-LW-X1987,LW - Niagara Falls GO,,0,12P,UNNI,1,1,
01250425-GT,20250404,20250404-GT-3958,KI - Union Station,,1,58A,KIUN,1,2,
01250425-LE,20250404,20250404-LE-9227,LE - Union Station,,1,21A,OSUN,1,1,
01250425-LW,20250404,20250404-LW-1127,LW - Oakville GO,,0,67P,UNOA,1,2,
01250425-GT,20250404,20250404-GT-3606,KI - Union Station,,1,52A,GEUN,1,2,
01250425-MI,20250404,20250404-MI-2737,MI - Milton GO,,0,37P,UNML,1,2,
01250425-GT,20250404,20250404-GT-3432,KI - Union Station,,1,56P,MOUN,1,1,
01250425-LW,20250404,20250404-LW-1854,LW - Union Station,,1,16A,HAUN,1,2,
01250425-LE,20250404,20250404-LE-9120,LE - Durham College Oshawa GO,,0,16A,UNOS,1,1,
01250425-GT,20250404,20250404-GT-3334,KI - Union Station,,1,50P,BEUN,1,1,
01250425-LE,20250404,20250404-LE-9312,LE - Durham College Oshawa GO,,0,23A,UNOS,1,1,
01250425-LW,20250404,20250404-LW-1875,LW - Hamilton GO Centre,,0,04P,UNHA,1,2,
01250425-MI,20250404,20250404-MI-2714,MI - Union Station,,1,33A,MLUN,1,2,
01250425-GT,20250404,20250404-GT-3011,KI - Bramalea GO,,0,48A,UNBE,1,1,
01250425-GT,20250404,20250404-GT-3338,KI - Union Station,,1,60P,BEUN,1,1,
01250425-GT,20250404,20250404-GT-3627,KI - Georgetown GO,,0,51P,UNGE,1,2,
01250425-LE,20250404,20250404-LE-9033,LE - Union Station,,1,27A,OSUN,1,1,
01250425-LE,20250404,20250404-LE-9316,LE - Durham College Oshawa GO,,0,03A,UNOS,1,1,
01250425-GT,20250404,20250404-GT-3015,KI - Bramalea GO,,0,07A,UNBE,1,1,
01250425-LE,20250404,20250404-LE-9128,LE - Durham College Oshawa GO,,0,03A,UNOS,1,2,
01250425-LW,20250404,20250404-LW-1036,LW - Union Station,,1,25A,ALUN,1,1,
01250425-GT,20250404,20250404-GT-3513,KI - Mount Pleasant GO,,0,50A,UNMO,1,1,
01250425-BR,20250404,20250404-BR-6504,BR - Union Station,,1,60A,BDUN,1,2,
01250425-BR,20250404,20250404-BR-6935,BR - Allandale Waterfront GO,,0,68P,UNAD,1,1,
01250425-LW,20250404,20250404-LW-1737,LW - West Harbour GO,,0,65P,UNWR,1,1,
01250425-LW,20250404,20250404-LW-1108,LW - Union Station,,1,07A,OAUN,1,2,
01250425-GT,20250404,20250404-GT-3019,KI - Bramalea GO,,0,67P,UNBE,1,1,
01250425-MI,20250404,20250404-MI-2726,MI - Union Station,,1,39A,MLUN,1,1,
01250425-LW,20250404,20250404-LW-1017,LW - Aldershot GO,,0,21A,UNAL,1,1,
01250425-LE,20250404,20250404-LE-9004,LE - Durham College Oshawa GO,,0,01A,UNOS,1,1,
01250425-LW,20250404,20250404-LW-1714,LW - Union Station,,1,26A,WRUN,1,1,
01250425-MI,20250404,20250404-MI-2722,MI - Union Station,,1,37A,MLUN,1,2,
01250425-ST,20250404,20250404-ST-7419,ST - Union Station,,1,68A,MJUN,1,1,
01250425-LE,20250404,20250404-LE-9025,LE - Union Station,,1,04P,OSUN,1,1,
01250425-LE,20250404,20250404-LE-9008,LE - Durham College Oshawa GO,,0,07A,UNOS,1,1,
01250425-LE,20250404,20250404-LE-9140,LE - Durham College Oshawa GO,,0,18P,UNOS,1,1,
01250425-LE,20250404,20250404-LE-9217,LE - Union Station,,1,22A,OSUN,1,1,
