trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
ACE04,0,SJC,15:35:00,15:35:00,San Jose Station,0,0,,,0,0
ACE04,1,SCC,15:40:00,15:40:00,Santa Clara Station,0,0,,,4085.459419,0
ACE04,2,GAC,15:49:00,15:49:00,Great America Parkway Station,0,0,,,10842.68856,0
ACE04,3,FMT,16:05:00,16:05:00,Fremont Station,0,0,,,31003.78828,0
ACE04,4,PLS,16:28:00,16:28:00,Pleasanton Station,0,0,,,53149.45542,0
ACE04,5,LIV,16:37:00,16:37:00,Livermore Station,0,0,,,64008.57935,0
ACE04,6,VAS,16:42:00,16:42:00,Vasco Rt Station,0,0,,,68610.26964,0
ACE04,7,TRC,17:11:00,17:11:00,Tracy Station,0,0,,,100692.6759,0
ACE04,8,LTM,17:23:00,17:23:00,Lathrop Station,0,0,,,120202.3084,0
ACE04,9,SKT,17:47:00,17:47:00,Stockton- Robert J Cabral Station,0,0,,,138118.6838,0
ACE06,0,SJC,16:35:00,16:35:00,San Jose Station,0,0,,,0,0
ACE06,1,SCC,16:40:00,16:40:00,Santa Clara Station,0,0,,,4085.459419,0
ACE06,2,GAC,16:49:00,16:49:00,Great America Parkway Station,0,0,,,10842.68856,0
ACE06,3,FMT,17:05:00,17:05:00,Fremont Station,0,0,,,31003.78828,0
ACE06,4,PLS,17:28:00,17:28:00,Pleasanton Station,0,0,,,53149.45542,0
ACE06,5,LIV,17:37:00,17:37:00,Livermore Station,0,0,,,64008.57935,0
ACE06,6,VAS,17:42:00,17:42:00,Vasco Rt Station,0,0,,,68610.26964,0
ACE06,7,TRC,18:11:00,18:11:00,Tracy Station,0,0,,,100692.6759,0
ACE06,8,LTM,18:23:00,18:23:00,Lathrop Station,0,0,,,120202.3084,0
ACE06,9,SKT,18:47:00,18:47:00,Stockton- Robert J Cabral Station,0,0,,,138118.6838,0
ACE08,0,SJC,17:35:00,17:35:00,San Jose Station,0,0,,,0,0
ACE08,1,SCC,17:40:00,17:40:00,Santa Clara Station,0,0,,,4085.459419,0
ACE08,2,GAC,17:49:00,17:49:00,Great America Parkway Station,0,0,,,10842.68856,0
ACE08,3,FMT,18:05:00,18:05:00,Fremont Station,0,0,,,31003.78828,0
ACE08,4,PLS,18:28:00,18:28:00,Pleasanton Station,0,0,,,53149.45542,0
ACE08,5,LIV,18:37:00,18:37:00,Livermore Station,0,0,,,64008.57935,0
ACE08,6,VAS,18:42:00,18:42:00,Vasco Rt Station,0,0,,,68610.26964,0
ACE08,7,TRC,19:11:00,19:11:00,Tracy Station,0,0,,,100692.6759,0
ACE08,8,LTM,19:23:00,19:23:00,Lathrop Station,0,0,,,120202.3084,0
ACE08,9,SKT,19:47:00,19:47:00,Stockton- Robert J Cabral Station,0,0,,,138118.6838,0
ACE01,0,SKT,4:10:00,4:10:00,Stockton- Robert J Cabral Station,0,0,,,0,0
ACE01,1,LTM,4:29:00,4:29:00,Lathrop Station,0,0,,,17884.11416,0
ACE01,2,TRC,4:41:00,4:41:00,Tracy Station,0,0,,,37412.58709,0
ACE01,3,VAS,5:10:00,5:10:00,Vasco Rt Station,0,0,,,69499.63367,0
ACE01,4,LIV,5:15:00,5:15:00,Livermore Station,0,0,,,74120.28004,0
ACE01,5,PLS,5:23:00,5:23:00,Pleasanton Station,0,0,,,85004.6801,0
