service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TRAIN-H25-TRKPI-Semaine-02,1,1,1,1,1,0,0,20250106,20250622
TRAIN-A24-TRKPI-Semaine-03,1,1,1,1,1,0,0,20241209,20250105
TRAIN-A24-TRKPI-Semaine-07,1,1,1,1,1,0,0,20241209,20250105
TRAIN-A24-TRKPI-Samedi-01,0,0,0,0,0,1,0,20241209,20250105
TRAIN-H25-TRKPI-Samedi-01,0,0,0,0,0,1,0,20250106,20250622
TRAIN-A24-TRKPI-Samedi-02,0,0,0,0,0,1,0,20241209,20250105
TRAIN-A24-TRKPI-Dimanche-01,0,0,0,0,0,0,1,20241209,20250105
TRAIN-H25-TRKPI-Dimanche-01,0,0,0,0,0,0,1,20250106,20250622
TRAIN-A24-TRKPI-Dimanche-02,0,0,0,0,0,0,1,20241209,20250105
TRAIN-H25-TRKPI-Fête-1-01,0,0,0,0,0,0,0,20250106,20250622
TRAIN-A24-TRKPI-Fête-1-03,0,0,0,0,0,0,0,20241209,20250105
