route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
04250625-MI,20250627,20250627-MI-2722,MI - Union Station,,1,37A,MLUN,1,2,
04250625-LE,20250627,20250627-LE-9019,LE - Union Station,,1,23A,OSUN,1,1,
04250625-LW,20250627,20250627-LW-1731,LW - West Harbour GO,,0,26A,UNWR,1,1,
04250625-GT,20250627,20250627-GT-3531,KI - Mount Pleasant GO,,0,04P,UNMO,1,1,
04250625-LE,20250627,20250627-LE-9128,LE - Durham College Oshawa GO,,0,03A,UNOS,1,2,
04250625-GT,20250627,20250627-GT-3806,KI - Union Station,,1,53A,KIUN,1,2,
04250625-GT,20250627,20250627-GT-3858,KI - Union Station,,1,55A,KIUN,1,2,
04250625-GT,20250627,20250627-GT-3935,KI - Kitchener GO,,0,53P,UNKI,1,1,
04250625-ST,20250627,20250627-ST-7707,ST - Union Station,,1,45A,LIUN,1,2,
04250625-LE,20250627,20250627-LE-9021,LE - Union Station,,1,26A,OSUN,1,1,
04250625-LE,20250627,20250627-LE-9233,LE - Union Station,,1,03A,OSUN,1,1,
04250625-GT,20250627,20250627-GT-3514,KI - Union Station,,1,52P,MOUN,1,1,
04250625-BR,20250627,20250627-BR-6606,BR - Union Station,,1,62A,ADUN,1,2,
04250625-ST,20250627,20250627-ST-7420,ST - Mount Joy GO,,0,35P,UNMJ,1,1,
04250625-RH,20250627,20250627-RH-5208,RH - Union Station,,1,42A,BMUN,1,2,
04250625-LW,20250627,20250627-LW-X1739,LW - West Harbour GO,,0,22A,UNWR,1,1,
04250625-LW,20250627,20250627-LW-1028,LW - Union Station,,1,03A,ALUN,1,1,
04250625-LW,20250627,20250627-LW-1732,LW - Union Station,,1,38P,WRUN,1,1,
04250625-LW,20250627,20250627-LW-1709,LW - West Harbour GO,,0,26A,UNWR,1,1,
04250625-ST,20250627,20250627-ST-7709,ST - Union Station,,1,47A,LIUN,1,2,
04250625-ST,20250627,20250627-ST-7423,ST - Union Station,,1,67A,MJUN,1,1,
04250625-BR,20250627,20250627-BR-6927,BR - Allandale Waterfront GO,,0,43P,UNAD,1,2,
04250625-MI,20250627,20250627-MI-2726,MI - Union Station,,1,39A,MLUN,1,1,
04250625-ST,20250627,20250627-ST-7824,ST - Old Elm GO,,0,09P,UNLI,1,2,
04250625-GT,20250627,20250627-GT-3860,KI - Union Station,,1,59A,KIUN,1,2,
04250625-LE,20250627,20250627-LE-9310,LE - Durham College Oshawa GO,,0,21A,UNOS,1,1,
04250625-GT,20250627,20250627-GT-3209,KI - Bramalea GO,,0,01A,UNBE,1,1,
04250625-RH,20250627,20250627-RH-5329,RH - Bloomington GO,,0,44P,UNBM,1,1,
04250625-LE,20250627,20250627-LE-9004,LE - Durham College Oshawa GO,,0,01A,UNOS,1,1,
