trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1020,19:16:00,19:16:00,1,1,"",0,0,0.00,1
1020,19:19:00,19:19:00,2,2,"",0,0,966.87,1
1020,19:36:00,19:36:00,3,3,"",0,0,21014.04,1
1020,19:47:00,19:47:00,4,4,"",0,0,30117.52,1
1020,19:56:00,19:56:00,5,5,"",0,0,41748.17,1
1020,20:09:00,20:09:00,6,6,"",0,0,58957.42,1
1020,20:17:00,20:17:00,7,7,"",0,0,69127.48,1
1020,20:27:00,20:27:00,8,8,"",0,0,76262.52,1
1020,20:51:00,20:51:00,9,9,"",0,0,99763.09,1
2010,12:30:00,12:30:00,1,1,"",0,0,0.00,1
2010,12:33:00,12:33:00,2,2,"",0,0,966.87,1
2010,12:48:00,12:48:00,3,3,"",0,0,21014.04,1
2010,12:57:00,12:57:00,4,4,"",0,0,30117.52,1
2010,13:06:00,13:06:00,5,5,"",0,0,41748.17,1
2010,13:19:00,13:19:00,6,6,"",0,0,58957.42,1
2010,13:27:00,13:27:00,7,7,"",0,0,69127.48,1
2010,13:36:00,13:36:00,8,8,"",0,0,76262.52,1
2010,14:04:00,14:04:00,9,9,"",0,0,99763.09,1
3020,05:48:00,05:48:00,1,1,"",0,0,0.00,1
3020,05:51:00,05:51:00,2,2,"",0,0,966.87,1
3020,06:06:00,06:06:00,3,3,"",0,0,21014.04,1
3020,06:15:00,06:15:00,4,4,"",0,0,30117.52,1
3020,06:24:00,06:24:00,5,5,"",0,0,41748.17,1
3020,06:40:00,06:40:00,6,6,"",0,0,58957.42,1
4020,08:05:00,08:05:00,6,1,"",0,0,0.00,1
4020,08:17:00,08:17:00,5,2,"",0,0,17226.30,1
4020,08:26:00,08:26:00,4,3,"",0,0,28876.10,1
4020,08:35:00,08:35:00,3,4,"",0,0,38000.35,1
4020,08:51:00,08:51:00,2,5,"",0,0,58064.94,1
4020,08:57:00,08:57:00,1,6,"",0,0,59028.69,1
5010,19:30:00,19:30:00,1,1,"",0,0,0.00,1
5010,19:33:00,19:33:00,2,2,"",0,0,966.87,1
5010,19:48:00,19:48:00,3,3,"",0,0,21014.04,1
5010,19:57:00,19:57:00,4,4,"",0,0,30117.52,1
5010,20:06:00,20:06:00,5,5,"",0,0,41748.17,1
5010,20:21:00,20:21:00,6,6,"",0,0,58957.42,1
5010,20:29:00,20:29:00,7,7,"",0,0,69127.48,1
5010,20:35:00,20:35:00,8,8,"",0,0,76262.52,1
5010,21:03:00,21:03:00,9,9,"",0,0,99763.09,1
6010,14:20:00,14:20:00,9,1,"",0,0,0.00,1
6010,14:41:00,14:41:00,8,2,"",0,0,23514.15,1
6010,14:48:00,14:48:00,7,3,"",0,0,30669.27,1
6010,14:59:00,14:59:00,6,4,"",0,0,40851.89,1
6010,15:11:00,15:11:00,5,5,"",0,0,58078.19,1
6010,15:20:00,15:20:00,4,6,"",0,0,69727.99,1
6010,15:29:00,15:29:00,3,7,"",0,0,78852.24,1
6010,15:45:00,15:45:00,2,8,"",0,0,98916.83,1
6010,15:52:00,15:52:00,1,9,"",0,0,99880.58,1
7020,15:46:00,15:46:00,1,1,"",0,0,0.00,1
