service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SPR25-NORTHSS-Wnd-15-S6561ad1d-HvlBrdVn,0,0,0,0,0,1,0,20250531,20250531
SPR25-NORTHSS-Wnd-18-S6561ad1d-HvlBrdVn,0,0,0,0,0,1,1,20250607,20250823
SPR25-NORTHSS-Wnd-6-S6561ad1d-HvlBrdVn,0,0,0,0,0,0,1,20250601,20250601
SPRING2025-N-Wdy-8-S6561ad1d-HvlBrdVn,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-NORTHSS-Weekend-18,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-NORTHSS-Weekend-18-S7d8482ee,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-NORTHSS-Weekend-18-S9d378dcf,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-NORTHSS-Weekend-6,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-NORTHSS-Weekend-6-S7d8482ee,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-NORTHSS-Weekend-6-S9d378dcf,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-NORTHWKD-Weekday-8,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-NORTHWKD-Weekday-8-S7d8482ee,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-NORTHWKD-Weekday-8-S9d378dcf,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-SOUTHSS-Weekend-1,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-SOUTHSS-Weekend-1-Sb7371956,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-SOUTHSS-Weekend-1-Sc9a3b080,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-SOUTHSS-Weekend-1-Sd88ed885,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-SOUTHSS-Weekend-11-Sb0e4ed14,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-SOUTHSS-Weekend-16-S4011ecb9,0,0,0,0,0,1,1,20250531,20250823
SPRING2025-SOUTHSS-Weekend-17,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-SOUTHSS-Weekend-17-S85407dc6,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-SOUTHSS-Weekend-17-Sb0e4ed14,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-SOUTHSS-Weekend-17-Sb7371956,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-SOUTHSS-Weekend-17-Sc9a3b080,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-SOUTHSS-Weekend-17-Scbbf1ea5,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-SOUTHSS-Weekend-17-Sd88ed885,0,0,0,0,0,1,1,20250607,20250823
SPRING2025-SOUTHSS-Weekend-3-S85407dc6,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-SOUTHSS-Weekend-3-Scbbf1ea5,0,0,0,0,0,1,1,20250531,20250601
SPRING2025-SOUTHSS-Weekend-60,0,0,0,0,0,1,0,20250621,20250621
SPRING2025-SOUTHSS-Weekend-64,0,0,0,0,0,1,0,20250531,20250531
SPRING2025-SOUTHWKD-Weekday-1,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,0,1,1,1,0,0,0,20250527,20250529
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-SOUTHWKD-Weekday-11-Sb4,0,0,0,0,1,0,0,20250530,20250530
SPRING2025-SOUTHWKD-Weekday-16-5-S49,0,0,0,0,1,0,0,20250530,20250822
SPRING2025-SOUTHWKD-Weekday-17-Sb4,1,1,1,1,1,0,0,20250602,20250822
SPRING2025-SOUTHWKD-Weekday-3-S85407dc6,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-SOUTHWKD-Weekday-3-Scbbf1ea5,0,1,1,1,1,0,0,20250527,20250530
SPRING2025-SOUTHWKD-Weekday-63,0,1,1,0,0,0,0,20250610,20250611
Spring/SummerWeekday,1,1,1,1,1,0,0,20250602,20250822
canonical,0,0,0,0,0,0,0,20250527,20250823
