trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint,checkpoint_id,continuous_pickup,continuous_drop_off
AttleboroWork-715730-1708,05:57:00,05:57:00,FS-0049-S,0,South Station via Fairmount & Back Bay,0,1,1,,,
AttleboroWork-715730-1708,06:10:00,06:10:00,FB-0166-S,10,South Station via Fairmount & Back Bay,0,0,1,,,
AttleboroWork-715730-1708,06:14:00,06:14:00,FB-0148-02,20,South Station via Fairmount & Back Bay,0,0,1,,,
AttleboroWork-715730-1708,06:16:00,06:16:00,FB-0143-02,30,South Station via Fairmount & Back Bay,0,0,1,,,
AttleboroWork-715730-1708,06:19:00,06:19:00,FB-0125-02,40,South Station via Fairmount & Back Bay,0,0,1,,,
AttleboroWork-715730-1708,06:22:00,06:22:00,FB-0118-02,50,South Station via Fairmount & Back Bay,0,0,1,,,
AttleboroWork-715730-1708,06:25:00,06:25:00,FB-0109-02,60,South Station via Fairmount & Back Bay,0,0,1,,,
AttleboroWork-715730-1708,06:30:00,06:30:00,FB-0095-04,70,South Station via Fairmount,0,0,1,,,
AttleboroWork-715730-1708,06:33:00,06:33:00,DB-2205-02,80,,0,0,1,,,
AttleboroWork-715730-1708,06:36:00,06:36:00,DB-2222-02,90,,0,0,1,,,
AttleboroWork-715730-1708,06:38:00,06:38:00,DB-2230-02,100,,0,0,1,,,
AttleboroWork-715730-1708,06:41:00,06:41:00,DB-2240-02,110,,0,0,1,,,
AttleboroWork-715730-1708,06:44:00,06:44:00,DB-2249-02,120,,0,0,1,,,
AttleboroWork-715730-1708,06:47:00,06:47:00,DB-2258-02,130,,0,0,1,,,
AttleboroWork-715730-1708,06:49:00,06:49:00,DB-2265-02,140,,0,0,1,,,
AttleboroWork-715730-1708,07:00:00,07:00:00,NEC-2287,150,,1,0,1,,,
AttleboroWork-715731-1709,05:47:00,05:47:00,NEC-2287,0,Foxboro via Fairmount,0,1,1,,,
AttleboroWork-715731-1709,05:55:00,05:55:00,DB-2265-01,10,,0,0,1,,,
AttleboroWork-715731-1709,05:57:00,05:57:00,DB-2258-01,20,,0,0,1,,,
AttleboroWork-715731-1709,06:00:00,06:00:00,DB-2249-01,30,,0,0,1,,,
AttleboroWork-715731-1709,06:03:00,06:03:00,DB-2240-01,40,,0,0,1,,,
AttleboroWork-715731-1709,06:06:00,06:06:00,DB-2230-01,50,,0,0,1,,,
AttleboroWork-715731-1709,06:08:00,06:08:00,DB-2222-01,60,,0,0,1,,,
AttleboroWork-715731-1709,06:11:00,06:11:00,DB-2205-01,70,,0,0,1,,,
AttleboroWork-715731-1709,06:17:00,06:17:00,FB-0095-04,80,,0,0,1,,,
AttleboroWork-715731-1709,06:21:00,06:21:00,FB-0109-01,90,,0,0,1,,,
AttleboroWork-715731-1709,06:23:00,06:23:00,FB-0118-01,100,,0,0,1,,,
AttleboroWork-715731-1709,06:26:00,06:26:00,FB-0125-01,110,,0,0,1,,,
AttleboroWork-715731-1709,06:29:00,06:29:00,FB-0143-01,120,,0,0,1,,,
AttleboroWork-715731-1709,06:31:00,06:31:00,FB-0148-01,130,,0,0,1,,,
AttleboroWork-715731-1709,06:33:00,06:33:00,FB-0166-S,140,,3,3,1,,,
AttleboroWork-715731-1709,06:50:00,06:50:00,FS-0049-S,150,,1,0,1,,,
AttleboroWork-715732-1716,07:15:00,07:15:00,FS-0049-S,0,South Station via Back Bay,0,1,1,,,
AttleboroWork-715732-1716,07:28:00,07:28:00,FB-0166-S,10,South Station via Back Bay,0,0,1,,,
AttleboroWork-715732-1716,07:32:00,07:32:00,FB-0148-02,20,South Station via Back Bay,0,0,1,,,
AttleboroWork-715732-1716,07:35:00,07:35:00,FB-0143-02,30,South Station via Back Bay,0,0,1,,,
AttleboroWork-715732-1716,07:38:00,07:38:00,FB-0125-02,40,South Station via Back Bay,0,0,1,,,
AttleboroWork-715732-1716,07:41:00,07:41:00,FB-0118-02,50,South Station via Back Bay,0,0,1,,,
AttleboroWork-715732-1716,07:44:00,07:44:00,FB-0109-02,60,South Station via Back Bay,0,0,1,,,
AttleboroWork-715732-1716,07:48:00,07:48:00,FB-0095-05,70,South Station via Back Bay,0,0,1,,,
AttleboroWork-715732-1716,07:58:00,07:58:00,NEC-2237-03,80,,0,0,0,,,
AttleboroWork-715732-1716,08:03:00,08:03:00,NEC-2265-03,90,,0,0,0,,,
AttleboroWork-715732-1716,08:07:00,08:07:00,NEC-2276-03,100,,0,0,0,,,
AttleboroWork-715732-1716,08:13:00,08:13:00,NEC-2287,110,,1,0,1,,,
AttleboroWork-715733-1719,07:20:00,07:20:00,NEC-2287,0,Foxboro via Back Bay,0,1,1,,,
AttleboroWork-715733-1719,07:25:00,07:25:00,NEC-2276-01,10,,0,0,1,,,
AttleboroWork-715733-1719,07:28:00,07:28:00,NEC-2265-01,20,,0,0,1,,,
AttleboroWork-715733-1719,07:37:00,07:37:00,FB-0095-05,30,,0,0,1,,,
AttleboroWork-715733-1719,07:41:00,07:41:00,FB-0109-01,40,,0,0,1,,,
AttleboroWork-715733-1719,07:43:00,07:43:00,FB-0118-01,50,,0,0,1,,,
AttleboroWork-715733-1719,07:46:00,07:46:00,FB-0125-01,60,,0,0,1,,,
AttleboroWork-715733-1719,07:49:00,07:49:00,FB-0143-01,70,,0,0,1,,,
AttleboroWork-715733-1719,07:53:00,07:53:00,FB-0148-01,80,,0,0,1,,,
AttleboroWork-715733-1719,07:58:00,07:58:00,FB-0166-S,90,,3,3,1,,,
AttleboroWork-715733-1719,08:15:00,08:15:00,FS-0049-S,100,,1,0,1,,,
AttleboroWork-715734-1725,08:43:00,08:43:00,NEC-2287,0,Foxboro via Back Bay,0,1,1,,,
AttleboroWork-715734-1725,08:48:00,08:48:00,NEC-2276-01,10,,0,0,1,,,
AttleboroWork-715734-1725,08:51:00,08:51:00,NEC-2265-01,20,,0,0,1,,,
AttleboroWork-715734-1725,09:01:00,09:01:00,FB-0095-05,30,,0,0,1,,,
AttleboroWork-715734-1725,09:06:00,09:06:00,FB-0109-01,40,,0,0,1,,,
AttleboroWork-715734-1725,09:09:00,09:09:00,FB-0118-01,50,,0,0,1,,,
AttleboroWork-715734-1725,09:12:00,09:12:00,FB-0125-01,60,,0,0,1,,,
AttleboroWork-715734-1725,09:15:00,09:15:00,FB-0143-01,70,,0,0,1,,,
AttleboroWork-715734-1725,09:17:00,09:17:00,FB-0148-01,80,,0,0,1,,,
AttleboroWork-715734-1725,09:20:00,09:20:00,FB-0166-S,90,,3,3,1,,,
AttleboroWork-715734-1725,09:37:00,09:37:00,FS-0049-S,100,,1,0,1,,,
AttleboroWork-715735-1726,08:45:00,08:45:00,FS-0049-S,0,South Station via Back Bay,0,1,1,,,
AttleboroWork-715735-1726,08:58:00,08:58:00,FB-0166-S,10,South Station via Back Bay,0,0,1,,,
AttleboroWork-715735-1726,09:02:00,09:02:00,FB-0148-02,20,South Station via Back Bay,0,0,1,,,
AttleboroWork-715735-1726,09:04:00,09:04:00,FB-0143-02,30,South Station via Back Bay,0,0,1,,,
AttleboroWork-715735-1726,09:07:00,09:07:00,FB-0125-02,40,South Station via Back Bay,0,0,1,,,
AttleboroWork-715735-1726,09:10:00,09:10:00,FB-0118-02,50,South Station via Back Bay,0,0,1,,,
AttleboroWork-715735-1726,09:13:00,09:13:00,FB-0109-02,60,South Station via Back Bay,0,0,1,,,
AttleboroWork-715735-1726,09:17:00,09:17:00,FB-0095-05,70,South Station via Back Bay,0,0,1,,,
AttleboroWork-715735-1726,09:29:00,09:29:00,NEC-2265-03,80,,0,0,0,,,
AttleboroWork-715735-1726,09:33:00,09:33:00,NEC-2276-03,90,,0,0,0,,,
AttleboroWork-715735-1726,09:39:00,09:39:00,NEC-2287,100,,1,0,1,,,
AttleboroWork-715736-1731,10:35:00,10:35:00,NEC-2287,0,Foxboro via Back Bay,0,1,1,,,
AttleboroWork-715736-1731,10:40:00,10:40:00,NEC-2276-01,10,,0,0,1,,,
AttleboroWork-715736-1731,10:43:00,10:43:00,NEC-2265-01,20,,0,0,1,,,
AttleboroWork-715736-1731,10:51:00,10:51:00,NEC-2203-03,30,,0,0,1,,,
AttleboroWork-715736-1731,10:55:00,10:55:00,FB-0095-05,40,,0,0,1,,,
AttleboroWork-715736-1731,10:59:00,10:59:00,FB-0109-01,50,,0,0,1,,,
AttleboroWork-715736-1731,11:01:00,11:01:00,FB-0118-01,60,,0,0,1,,,
AttleboroWork-715736-1731,11:04:00,11:04:00,FB-0125-01,70,,0,0,1,,,
AttleboroWork-715736-1731,11:07:00,11:07:00,FB-0143-01,80,,0,0,1,,,
AttleboroWork-715736-1731,11:09:00,11:09:00,FB-0148-01,90,,0,0,1,,,
AttleboroWork-715736-1731,11:12:00,11:12:00,FB-0166-S,100,,3,3,1,,,
AttleboroWork-715736-1731,11:29:00,11:29:00,FS-0049-S,110,,1,0,1,,,
AttleboroWork-715737-1732,10:36:00,10:36:00,FS-0049-S,0,South Station via Back Bay,0,1,1,,,
AttleboroWork-715737-1732,10:49:00,10:49:00,FB-0166-S,10,South Station via Back Bay,3,3,1,,,
AttleboroWork-715737-1732,10:53:00,10:53:00,FB-0148-02,20,South Station via Back Bay,0,0,1,,,
AttleboroWork-715737-1732,10:55:00,10:55:00,FB-0143-02,30,South Station via Back Bay,0,0,1,,,
AttleboroWork-715737-1732,10:58:00,10:58:00,FB-0125-02,40,South Station via Back Bay,0,0,1,,,
AttleboroWork-715737-1732,11:01:00,11:01:00,FB-0118-02,50,South Station via Back Bay,0,0,1,,,
AttleboroWork-715737-1732,11:04:00,11:04:00,FB-0109-02,60,South Station via Back Bay,0,0,1,,,
AttleboroWork-715737-1732,11:08:00,11:08:00,FB-0095-05,70,South Station via Back Bay,0,0,1,,,
AttleboroWork-715737-1732,11:19:00,11:19:00,NEC-2265-03,80,,0,0,0,,,
AttleboroWork-715737-1732,11:23:00,11:23:00,NEC-2276-03,90,,0,0,0,,,
AttleboroWork-715737-1732,11:29:00,11:29:00,NEC-2287,100,,1,0,1,,,
AttleboroWork-715738-1739,12:28:00,12:28:00,NEC-2287,0,Foxboro via Back Bay,0,1,1,,,
AttleboroWork-715738-1739,12:33:00,12:33:00,NEC-2276-01,10,,0,0,1,,,
AttleboroWork-715738-1739,12:36:00,12:36:00,NEC-2265-01,20,,0,0,1,,,
AttleboroWork-715738-1739,12:45:00,12:45:00,FB-0095-05,30,,0,0,1,,,
AttleboroWork-715738-1739,12:49:00,12:49:00,FB-0109-01,40,,0,0,1,,,
AttleboroWork-715738-1739,12:51:00,12:51:00,FB-0118-01,50,,0,0,1,,,
AttleboroWork-715738-1739,12:54:00,12:54:00,FB-0125-01,60,,0,0,1,,,
AttleboroWork-715738-1739,12:57:00,12:57:00,FB-0143-01,70,,0,0,1,,,
AttleboroWork-715738-1739,12:59:00,12:59:00,FB-0148-01,80,,0,0,1,,,
AttleboroWork-715738-1739,13:02:00,13:02:00,FB-0166-S,90,,3,3,1,,,
AttleboroWork-715738-1739,13:19:00,13:19:00,FS-0049-S,100,,1,0,1,,,
AttleboroWork-715739-1740,12:31:00,12:31:00,FS-0049-S,0,South Station via Back Bay,0,1,1,,,
AttleboroWork-715739-1740,12:44:00,12:44:00,FB-0166-S,10,South Station via Back Bay,3,3,1,,,
AttleboroWork-715739-1740,12:48:00,12:48:00,FB-0148-02,20,South Station via Back Bay,0,0,1,,,
AttleboroWork-715739-1740,12:50:00,12:50:00,FB-0143-02,30,South Station via Back Bay,0,0,1,,,
AttleboroWork-715739-1740,12:53:00,12:53:00,FB-0125-02,40,South Station via Back Bay,0,0,1,,,
AttleboroWork-715739-1740,12:56:00,12:56:00,FB-0118-02,50,South Station via Back Bay,0,0,1,,,
AttleboroWork-715739-1740,12:59:00,12:59:00,FB-0109-02,60,South Station via Back Bay,0,0,1,,,
AttleboroWork-715739-1740,13:03:00,13:03:00,FB-0095-05,70,South Station via Back Bay,0,0,1,,,
AttleboroWork-715739-1740,13:14:00,13:14:00,NEC-2265-02,80,,0,0,0,,,
AttleboroWork-715739-1740,13:18:00,13:18:00,NEC-2276-02,90,,0,0,0,,,
AttleboroWork-715739-1740,13:24:00,13:24:00,NEC-2287,100,,1,0,1,,,
AttleboroWork-715740-1747,14:28:00,14:28:00,NEC-2287,0,Foxboro via Back Bay,0,1,1,,,
