service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A1,1,1,1,1,1,0,0,20240101,20250525
A2,0,0,0,0,0,1,1,20240101,20250525
A3,0,0,0,0,0,1,0,20240101,20250525
A4,0,0,0,0,0,0,1,20240101,20250525
B1,1,1,1,1,1,0,0,20250526,20250601
B2,0,0,0,0,0,1,1,20250526,20250601
B3,0,0,0,0,0,1,0,20250526,20250601
B4,0,0,0,0,0,0,1,20250526,20250601
C1,1,1,1,1,1,0,0,20250602,20250608
C2,0,0,0,0,0,1,1,20250602,20250608
C3,0,0,0,0,0,1,0,20250602,20250608
C4,0,0,0,0,0,0,1,20250602,20250608
A1A,1,1,1,1,1,0,0,20250609,20251231
A2A,0,0,0,0,0,1,1,20250609,20251231
A3A,0,0,0,0,0,1,0,20250609,20251231
A4A,0,0,0,0,0,0,1,20250609,20251231
D2,0,0,0,0,0,1,0,20250531,20250531
D3,0,0,0,0,0,1,0,20250531,20250531
E1,1,0,0,0,0,0,0,20250602,20250602
F1,0,1,0,0,0,0,0,20250603,20250603
G1,0,0,0,0,1,0,0,20250606,20250606
