"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"115356012","12:26:00","12:26:00","34668","1",,"0","1",,"1"
"115356012","12:34:00","12:34:00","35247","2",,"0","0",,"1"
"115356012","12:40:30","12:40:30","35249","3",,"0","0",,"1"
"115356012","12:44:30","12:44:30","35251","4",,"0","0",,"1"
"115356012","12:48:15","12:48:15","35253","5",,"0","0",,"1"
"115356012","12:51:45","12:51:45","35255","6",,"0","0",,"1"
"115356012","12:56:45","12:56:45","35257","7",,"1","0",,"1"
"115356049","11:13:00","11:13:00","35257","1",,"0","1",,"1"
"115356049","11:16:15","11:16:15","35254","2",,"0","0",,"1"
"115356049","11:19:45","11:19:45","35252","3",,"0","0",,"1"
"115356049","11:23:15","11:23:15","35250","4",,"0","0",,"1"
"115356049","11:27:00","11:27:00","35248","5",,"0","0",,"1"
"115356049","11:34:00","11:34:00","35246","6",,"0","0",,"1"
"115356049","11:42:00","11:42:00","34668","7",,"1","0",,"1"
"115355906","04:43:00","04:43:00","35257","1",,"0","1",,"1"
"115355906","04:46:15","04:46:15","35254","2",,"0","0",,"1"
"115355906","04:49:45","04:49:45","35252","3",,"0","0",,"1"
"115355906","04:53:15","04:53:15","35250","4",,"0","0",,"1"
"115355906","04:57:00","04:57:00","35248","5",,"0","0",,"1"
"115355906","05:04:00","05:04:00","35246","6",,"0","0",,"1"
"115355906","05:12:00","05:12:00","34668","7",,"1","0",,"1"
"115356055","14:13:00","14:13:00","35257","1",,"0","1",,"1"
"115356055","14:16:15","14:16:15","35254","2",,"0","0",,"1"
"115356055","14:19:45","14:19:45","35252","3",,"0","0",,"1"
"115356055","14:23:15","14:23:15","35250","4",,"0","0",,"1"
"115356055","14:27:00","14:27:00","35248","5",,"0","0",,"1"
"115356055","14:34:00","14:34:00","35246","6",,"0","0",,"1"
"115356055","14:42:00","14:42:00","34668","7",,"1","0",,"1"
"115355893","19:43:00","19:43:00","35257","1",,"0","1",,"1"
"115355893","19:46:15","19:46:15","35254","2",,"0","0",,"1"
"115355893","19:49:45","19:49:45","35252","3",,"0","0",,"1"
"115355893","19:53:15","19:53:15","35250","4",,"0","0",,"1"
"115355893","19:57:00","19:57:00","35248","5",,"0","0",,"1"
"115355893","20:04:00","20:04:00","35246","6",,"0","0",,"1"
"115355893","20:12:00","20:12:00","34668","7",,"1","0",,"1"
"115355992","06:43:00","06:43:00","35257","1",,"0","1",,"1"
"115355992","06:46:15","06:46:15","35254","2",,"0","0",,"1"
"115355992","06:49:45","06:49:45","35252","3",,"0","0",,"1"
