"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"117N","SA","115355946","124th - Eastlake","0"," 117  1","1305773"
"117N","SA","115355914","124th - Eastlake","0"," 117  1","1305773"
"117N","SA","115355917","124th - Eastlake","0"," 117  1","1305773"
"117N","SA","115355941","124th - Eastlake","0"," 117  2","1305773"
"117N","SA","115355930","124th - Eastlake","0"," 117  2","1305773"
"117N","SA","115355933","124th - Eastlake","0"," 117  2","1305773"
"117N","SA","115355936","124th - Eastlake","0"," 117  2","1305773"
"117N","SA","115355951","124th - Eastlake","0"," 117  3","1305773"
"117N","SA","115355978","Union Station","1"," 117  3","1305779"
"117N","SA","115355964","Union Station","1"," 117  1","1305779"
"117N","SA","115355980","Union Station","1"," 117  2","1305779"
"117N","SU","115356003","124th - Eastlake","0"," 117  2","1305773"
"117N","SU","115356001","124th - Eastlake","0"," 117  3","1305773"
"117N","SU","115356022","124th - Eastlake","0"," 117  3","1305773"
"117N","SU","115356031","124th - Eastlake","0"," 117  3","1305773"
"117N","SU","115356058","Union Station","1"," 117  1","1305779"
"117N","SU","115356048","Union Station","1"," 117  2","1305779"
"117N","SU","115356057","Union Station","1"," 117  3","1305779"
"117N","SU","115356047","Union Station","1"," 117  1","1305779"
"117N","MT","115355850","124th - Eastlake","0"," 117  1","1305773"
"117N","MT","115355859","124th - Eastlake","0"," 117  1","1305773"
"117N","MT","115355851","124th - Eastlake","0"," 117  2","1305773"
"117N","MT","115355857","124th - Eastlake","0"," 117  2","1305773"
"117N","MT","115355855","124th - Eastlake","0"," 117  3","1305773"
"117N","MT","115355900","Union Station","1"," 117  1","1305779"
"117N","MT","115355887","Union Station","1"," 117  1","1305779"
"117N","MT","115355868","Union Station","1"," 117  3","1305779"
"117N","FR","115355772","124th - Eastlake","0"," 117  1","1305773"
"117N","FR","115355781","124th - Eastlake","0"," 117  1","1305773"
"117N","FR","115355746","124th - Eastlake","0"," 117  2","1305773"
"117N","FR","115355752","124th - Eastlake","0"," 117  2","1305773"
"117N","FR","115355768","124th - Eastlake","0"," 117  3","1305773"
"117N","FR","115355804","Union Station","1"," 117  2","1305779"
"117N","FR","115355810","Union Station","1"," 117  2","1305779"
"117N","SA","115355910","124th - Eastlake","0"," 117  3","1305773"
"117N","SA","115355923","124th - Eastlake","0"," 117  2","1305773"
"117N","SA","115355981","Union Station","1"," 117  3","1305779"
"117N","SA","115355956","Union Station","1"," 117  2","1305779"
"117N","SA","115355954","Union Station","1"," 117  3","1305779"
"117N","SU","115356021","124th - Eastlake","0"," 117  2","1305773"
"117N","SU","115356024","124th - Eastlake","0"," 117  2","1305773"
"117N","SU","115356030","124th - Eastlake","0"," 117  2","1305773"
"117N","SU","115356004","124th - Eastlake","0"," 117  3","1305773"
"117N","SU","115356054","Union Station","1"," 117  2","1305779"
"117N","SU","115356068","Union Station","1"," 117  2","1305779"
"117N","MT","115355848","124th - Eastlake","0"," 117  2","1305773"
"117N","MT","115355854","124th - Eastlake","0"," 117  2","1305773"
"117N","MT","115355860","124th - Eastlake","0"," 117  2","1305773"
"117N","MT","115355849","124th - Eastlake","0"," 117  3","1305773"
"117N","MT","115355866","124th - Eastlake","0"," 117  3","1305773"
"117N","MT","115355906","Union Station","1"," 117  1","1305779"
"117N","MT","115355878","Union Station","1"," 117  1","1305779"
"117N","MT","115355882","Union Station","1"," 117  2","1305779"
"117N","MT","115355874","Union Station","1"," 117  3","1305779"
"117N","MT","115355892","Union Station","1"," 117  3","1305779"
"117N","FR","115355766","124th - Eastlake","0"," 117  1","1305773"
"117N","FR","115355742","124th - Eastlake","0"," 117  1","1305773"
"117N","FR","115355751","124th - Eastlake","0"," 117  1","1305773"
"117N","FR","115355779","124th - Eastlake","0"," 117  2","1305773"
"117N","FR","115355788","Union Station","1"," 117  1","1305779"
"117N","FR","115355792","Union Station","1"," 117  2","1305779"
"117N","FR","115355793","Union Station","1"," 117  3","1305779"
"117N","FR","115355802","Union Station","1"," 117  3","1305779"
"117N","FR","115355820","Union Station","1"," 117  3","1305779"
"117N","SA","115355943","124th - Eastlake","0"," 117  1","1305773"
"117N","SA","115355928","124th - Eastlake","0"," 117  1","1305773"
"117N","SA","115355944","124th - Eastlake","0"," 117  2","1305773"
"117N","SA","115355950","124th - Eastlake","0"," 117  2","1305773"
"117N","SA","115355931","124th - Eastlake","0"," 117  3","1305773"
"117N","SA","115355993","Union Station","1"," 117  1","1305779"
"117N","SA","115355961","Union Station","1"," 117  1","1305779"
"117N","SA","115355967","Union Station","1"," 117  1","1305779"
"117N","SA","115355970","Union Station","1"," 117  1","1305779"
"117N","SA","115355973","Union Station","1"," 117  1","1305779"
"117N","SA","115355976","Union Station","1"," 117  1","1305779"
"117N","SA","115355959","Union Station","1"," 117  2","1305779"
"117N","SA","115355965","Union Station","1"," 117  2","1305779"
"117N","SA","115355968","Union Station","1"," 117  2","1305779"
"117N","SA","115355974","Union Station","1"," 117  2","1305779"
"117N","SA","115355957","Union Station","1"," 117  3","1305779"
"117N","SA","115355966","Union Station","1"," 117  3","1305779"
"117N","SA","115355969","Union Station","1"," 117  3","1305779"
"117N","SU","115356018","124th - Eastlake","0"," 117  2","1305773"
"117N","SU","115356016","124th - Eastlake","0"," 117  3","1305773"
"117N","SU","115356005","124th - Eastlake","0"," 117  1","1305773"
"117N","SU","115356008","124th - Eastlake","0"," 117  1","1305773"
"117N","SU","115356041","Union Station","1"," 117  1","1305779"
"117N","MT","115355838","124th - Eastlake","0"," 117  1","1305773"
"117N","MT","115355853","124th - Eastlake","0"," 117  1","1305773"
"117N","MT","115355827","124th - Eastlake","0"," 117  1","1305773"
"117N","MT","115355858","124th - Eastlake","0"," 117  3","1305773"
"117N","MT","115355864","124th - Eastlake","0"," 117  3","1305773"
"117N","MT","115355879","Union Station","1"," 117  2","1305779"
"117N","MT","115355888","Union Station","1"," 117  2","1305779"
"117N","MT","115355891","Union Station","1"," 117  2","1305779"
"117N","MT","115355897","Union Station","1"," 117  2","1305779"
"117N","MT","115355877","Union Station","1"," 117  3","1305779"
"117N","FR","115355748","124th - Eastlake","0"," 117  1","1305773"
"117N","FR","115355765","124th - Eastlake","0"," 117  3","1305773"
"117N","FR","115355747","124th - Eastlake","0"," 117  3","1305773"
"117N","FR","115355791","Union Station","1"," 117  1","1305779"
"117N","FR","115355794","Union Station","1"," 117  1","1305779"
"117N","FR","115355797","Union Station","1"," 117  1","1305779"
"117N","FR","115355795","Union Station","1"," 117  2","1305779"
"117N","SA","115355926","124th - Eastlake","0"," 117  2","1305773"
"117N","SA","115355934","124th - Eastlake","0"," 117  3","1305773"
"117N","SA","115355921","124th - Eastlake","0"," 117  3","1305773"
"117N","SA","115355975","Union Station","1"," 117  3","1305779"
"117N","SU","115356006","124th - Eastlake","0"," 117  2","1305773"
"117N","SU","115356015","124th - Eastlake","0"," 117  2","1305773"
"117N","SU","115356027","124th - Eastlake","0"," 117  2","1305773"
"117N","SU","115356011","124th - Eastlake","0"," 117  3","1305773"
"117N","SU","115356025","124th - Eastlake","0"," 117  3","1305773"
"117N","SU","115356065","Union Station","1"," 117  2","1305779"
"117N","SU","115356046","Union Station","1"," 117  3","1305779"
"117N","SU","115356034","Union Station","1"," 117  3","1305779"
"117N","SU","115356044","Union Station","1"," 117  1","1305779"
"117N","MT","115355841","124th - Eastlake","0"," 117  1","1305773"
"117N","MT","115355865","124th - Eastlake","0"," 117  1","1305773"
"117N","MT","115355839","124th - Eastlake","0"," 117  2","1305773"
"117N","MT","115355843","124th - Eastlake","0"," 117  3","1305773"
"117N","MT","115355886","Union Station","1"," 117  3","1305779"
"117N","FR","115355775","124th - Eastlake","0"," 117  1","1305773"
"117N","FR","115376501","124th - Eastlake","0"," 117  1","1305773"
"117N","FR","115355764","124th - Eastlake","0"," 117  2","1305773"
"117N","FR","115355773","124th - Eastlake","0"," 117  2","1305773"
"117N","FR","115355776","124th - Eastlake","0"," 117  2","1305773"
