"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"115355506","17:51:00","17:51:00","34510","1",,"0","1",,"1"
"115355506","17:54:00","17:54:00","34519","2",,"0","0",,"1"
"115355506","17:57:00","17:57:00","34541","3",,"0","0",,"1"
"115355506","18:01:00","18:01:00","34525","4",,"0","0",,"1"
"115355506","18:03:00","18:03:00","34529","5",,"0","0",,"1"
"115355506","18:07:00","18:07:00","34543","6",,"0","0",,"1"
"115355506","18:11:00","18:11:00","34559","7",,"0","0",,"1"
"115355506","18:18:00","18:18:00","34781","8",,"1","0",,"1"
"115355562","17:09:00","17:09:00","34782","1",,"0","1",,"1"
"115355562","17:13:00","17:13:00","34558","2",,"0","0",,"1"
"115355562","17:17:00","17:17:00","34544","3",,"0","0",,"1"
"115355562","17:24:00","17:24:00","34561","4",,"1","0",,"1"
"115355374","06:43:00","06:43:00","34560","1",,"0","1",,"1"
"115355374","06:45:00","06:45:00","34543","2",,"0","0",,"1"
"115355374","06:49:00","06:49:00","34559","3",,"0","0",,"1"
"115355374","06:58:00","06:58:00","34782","4",,"1","0",,"1"
"115355273","22:43:00","22:43:00","34560","1",,"0","1",,"1"
"115355273","22:45:00","22:45:00","34543","2",,"0","0",,"1"
"115355273","22:49:00","22:49:00","34559","3",,"0","0",,"1"
"115355273","22:58:00","22:58:00","34782","4",,"1","0",,"1"
"115367953","14:12:00","14:12:00","34476","1",,"0","1",,"1"
"115367953","14:21:00","14:21:00","34606","2",,"0","0",,"1"
"115367953","14:25:00","14:25:00","34474","3",,"0","0",,"1"
"115367953","14:31:00","14:31:00","34472","4",,"0","0",,"1"
"115367953","14:34:00","14:34:00","34470","5",,"0","0",,"1"
"115367953","14:38:00","14:38:00","34468","6",,"0","0",,"1"
"115367953","14:43:00","14:43:00","34466","7",,"0","0",,"1"
"115367953","14:49:00","14:49:00","34667","8",,"1","0",,"1"
"115355359","16:09:00","16:09:00","34782","1",,"0","1",,"1"
"115355359","16:13:00","16:13:00","34558","2",,"0","0",,"1"
"115355359","16:17:00","16:17:00","34544","3",,"0","0",,"1"
"115355359","16:24:00","16:24:00","34561","4",,"1","0",,"1"
"115367743","08:42:00","08:42:00","34476","1",,"0","1",,"1"
"115367743","08:51:00","08:51:00","34606","2",,"0","0",,"1"
"115367743","08:55:00","08:55:00","34474","3",,"0","0",,"1"
"115367743","09:01:00","09:01:00","34472","4",,"0","0",,"1"
"115367743","09:04:00","09:04:00","34470","5",,"0","0",,"1"
"115367743","09:08:00","09:08:00","34468","6",,"0","0",,"1"
"115367743","09:13:00","09:13:00","34466","7",,"0","0",,"1"
"115367743","09:19:00","09:19:00","34667","8",,"1","0",,"1"
"115367739","11:12:00","11:12:00","34476","1",,"0","1",,"1"
