stop_name,stop_id,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,station_id_additional
Union Station,33727,33727,Vehicles Travelling North,39.754338,-105.00214,,,1,,,0,"['-1', '34781', '34667', '34782']"
48th Ave/Brighton Blvd @ Nat`L Western Ctr,35362,35362,Vehicles Travelling North,39.784667,-104.967472,,,1,,,0,['-1']
Commerce City / 72nd Ave Station,35363,35363,Vehicles Travelling North,39.826497,-104.942292,,,1,,,0,['-1']
Original Thornton / 88th Ave Station,35364,35364,Vehicles Travelling North,39.858851,-104.952449,,,1,,,0,['-1']
Thornton Crossroads / 104th Ave Station,35365,35365,Vehicles Travelling North,39.881986,-104.940968,,,1,,,0,['-1']
Northglenn / 112th Ave Station,35366,35366,Vehicles Travelling North,39.902677,-104.959583,,,1,,,0,['-1']
Eastlake /124th Ave,35367,35367,Vehicles Travelling North,39.922525,-104.962657,,,1,,,0,['-1']
38th / Blake Station,34684,34684,Vehicles Travelling North,39.770729,-104.9734,,,1,,,0,"['-1', '34465', '34466']"
39th St / Table Mesa,33788,33788,Vehicles Travelling North,39.985522,-105.248455,,,1,,,0,['-1']
40th / Colorado Station,34500,34500,Vehicles Travelling North,39.775841,-104.944754,,,1,,,0,"['-1', '34468', '34467']"
Central Park Station,34501,34501,Vehicles Travelling North,39.769723,-104.892912,,,1,,,0,"['-1', '34469', '34470']"
Peoria Station,34502,34502,Vehicles Travelling North,39.766094,-104.852057,,,1,,,0,"['-1', '34472', '34471']"
40th  / Airport - Gateway Park Station,33740,33740,Vehicles Travelling North,39.76983,-104.785452,,,1,,,0,"['-1', '34474', '34473']"
61st / Pena Station,34685,34685,Vehicles Travelling North,39.806945,-104.783907,,,1,,,0,"['-1', '34605', '34606']"
Denver Airport Station,34503,34503,Vehicles Travelling North,39.847913,-104.673943,,,1,,,0,"['-1', '34476', '34475']"
41st / Fox Station,34548,34548,Vehicles Travelling North,39.772741,-104.995362,,,1,,,0,"['-1', '34559', '34558']"
Pecos Junction Station,34508,34508,Vehicles Travelling North,39.805421,-105.003505,,,1,,,0,"['-1', '34544', '34543']"
Westminster Station,34549,34549,Vehicles Travelling North,39.823124,-105.027939,,,1,,,0,"['-1', '34560', '34561']"
Clear Creek / Federal Station,34507,34507,Vehicles Travelling North,39.804819,-105.022624,,,1,,,0,"['-1', '34530', '34529']"
60th / Dahlia,34251,34251,Vehicles Travelling North,39.805189,-104.92926,,,1,,,0,['-1']
Olde Town Arvada,33833,33833,Vehicles Travelling North,39.798974,-105.078976,,,1,,,0,"['-1', '34541', '34542']"
Arvada Ridge Station,34505,34505,Vehicles Travelling North,39.791993,-105.110976,,,1,,,0,"['-1', '34519', '34520']"
Wheat Ridge / Ward Road Station,34504,34504,Vehicles Travelling North,39.789544,-105.13327,,,1,,,0,"['-1', '34510']"
Wadsworth / Hampden,33851,33851,Vehicles Travelling North,39.650897,-105.082726,,,1,,,0,['-1']
Nine Mile Station,33719,33719,Vehicles Travelling North,39.658414,-104.845517,,,1,,,0,['-1']
Evans Station,33713,33713,Vehicles Travelling North,39.677962,-104.992465,,,1,,,0,['-1']
18th St / California Station,34116,34116,Vehicles Travelling North,39.746934,-104.98974,,,1,,,0,['-1']
Platte Valley,35353,35353,Vehicles Travelling North,39.725296,-105.00561,,,0,,,1,['-1']
Iliff Station,34677,34677,Vehicles Travelling North,39.673511,-104.826044,,,1,,,0,['-1']
Longmont,33820,33820,Vehicles Travelling North,40.149505,-105.103068,,,1,,,0,"['33887', '-1']"
Boulder Junction at Depot Square Station,34454,34454,Vehicles Travelling North,40.024131,-105.25162,,,1,,,0,['-1']
Parker,33836,33836,Vehicles Travelling North,39.523334,-104.763812,,,1,,,0,"['33935', '-1']"
Meridian,33931,33931,Vehicles Travelling ,39.542472,-104.860631,,,0,,,1,['-1']
Thornton East Side,33732,33732,Vehicles Travelling North,39.855342,-104.985899,,,1,,,0,['-1']
Paradise Hills,33835,33835,Vehicles Travelling North,39.704446,-105.250268,,,1,,,0,['-1']
US 36 / Church Ranch Station East Side,33737,33737,Vehicles Travelling North,39.89013,-105.07321,,,1,,,0,['-1']
2nd Ave & Abilene Station,34680,34680,Vehicles Travelling North,39.719484,-104.825073,,,1,,,0,['-1']
Federal / Evans,34140,34140,Vehicles Travelling North,39.678787,-105.025263,,,1,,,0,['-1']
10th / Osage Station,34109,34109,Vehicles Travelling North,39.73215,-105.0055,,,1,,,0,['-1']
Dry Creek Station,33711,33711,Vehicles Travelling North,39.579487,-104.877416,,,1,,,0,"['-1', '26291', '26346']"
US 285 / Mountain View,33846,33846,Vehicles Travelling North,39.502526,-105.322924,,,1,,,0,['-1']
Decatur-Federal Station,34232,34232,Vehicles Travelling North,39.737418,-105.024806,,,1,,,0,['-1']
Colfax at Auraria Station,33724,33724,Vehicles Travelling North,39.740277,-105.001338,,,1,,,0,['-1']
104th Ave / Revere,33786,33786,Vehicles Travelling North,39.884829,-104.843141,,,1,,,0,['-1']
Lincoln / Jordan,33819,33819,Vehicles Travelling North,39.534167,-104.795119,,,1,,,0,['-1']
Pine Junction,33837,33837,Vehicles Travelling North,39.467052,-105.396773,,,1,,,0,['-1']
Auraria West Campus Station,34112,34112,Vehicles Travelling North,39.742207,-105.011133,,,1,,,0,['-1']
US 36 / Church Ranch Station West Side,33736,33736,Vehicles Travelling South,39.890279,-105.075173,,,1,,,0,['-1']
60th / Sheridan - Arvada Gold Strike Station,34506,34506,Vehicles Travelling North,39.804374,-105.049081,,,1,,,0,"['-1', '34525', '34526']"
Lone Tree City Center Station,35244,35244,Vehicles Travelling North,39.527669,-104.86294,,,1,,,0,['-1']
Downtown Boulder Station,33700,33700,Vehicles Travelling North,40.016966,-105.27665,,,1,,,0,['-1']
Oxford-City of Sheridan Station,33726,33726,Vehicles Travelling North,39.643421,-105.004535,,,1,,,0,['-1']
Littleton / Downtown Station,33715,33715,Vehicles Travelling North,39.611904,-105.01521,,,1,,,0,['-1']
8th / Coffman,33840,33840,Vehicles Travelling North,40.17211,-105.104345,,,1,,,0,['-1']
US 36 / Flatiron Station West Side,34259,34259,Vehicles Travelling South,39.93249,-105.123607,,,1,,,0,['-1']
Tantra Dr / Table Mesa,33844,33844,Vehicles Travelling North,39.986328,-105.239925,,,1,,,0,['-1']
Louisiana / Pearl Station,33725,33725,Vehicles Travelling North,39.692708,-104.97812,,,1,,,0,['-1']
Golden,34199,34199,Vehicles Travelling ,39.726779,-105.201184,,,0,,,1,"['34142', '-1']"
Federal Center Station,33741,33741,Vehicles Travelling North,39.719005,-105.129257,,,1,,,0,"['-1', '33649']"
