"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"113G","SA","115057227","Union Station","0"," 113 30","1287786"
"113G","SA","115057257","Union Station","0"," 113 30","1287786"
"113G","SA","115057231","Union Station","0"," 113 31","1287786"
"113G","SA","115057268","Union Station","0"," 113 31","1287786"
"113G","SA","115057255","Union Station","0"," 113 31","1287786"
"113G","SA","115057320","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","SA","115057334","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","SA","115057331","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113B","SA","115057313","Westminster Station","1"," 113  1","1287800"
"113B","SA","115057337","Westminster Station","1"," 113  1","1287800"
"113B","SU","115057357","Union Station","0"," 113  1","1287792"
"113B","SU","115057365","Union Station","0"," 113  1","1287792"
"113G","SU","115057400","Union Station","0"," 113 30","1287786"
"113G","SU","115057377","Union Station","0"," 113 30","1287786"
"113G","SU","115057390","Union Station","0"," 113 31","1287786"
"113G","SU","115057382","Union Station","0"," 113 31","1287786"
"113G","SU","115057379","Union Station","0"," 113 31","1287786"
"113G","SU","115057381","Union Station","0"," 113 32","1287786"
"113B","SU","115057449","Westminster Station","1"," 113  1","1287800"
"113B","SU","115057469","Westminster Station","1"," 113  1","1287800"
"113G","SU","115057464","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","SU","115057461","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","SU","115057457","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","SU","115057446","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","SU","115057443","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","SU","115057440","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","SU","115057434","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113B","MT","115057102","Union Station","0"," 113  2","1287792"
"113G","MT","115057131","Union Station","0"," 113 31","1287786"
"113G","MT","115057110","Union Station","0"," 113 31","1287786"
"113G","MT","115057133","Union Station","0"," 113 32","1287786"
"113G","MT","115057130","Union Station","0"," 113 32","1287786"
"113G","MT","115057112","Union Station","0"," 113 32","1287786"
"113B","MT","115057200","Westminster Station","1"," 113  2","1287800"
"113B","MT","115057189","Westminster Station","1"," 113  2","1287800"
"113B","MT","115057188","Westminster Station","1"," 113  2","1287800"
"113G","MT","115057165","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","MT","115057160","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","MT","115057180","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","MT","115057176","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","MT","115057215","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","MT","115057212","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","MT","115057184","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","MT","115057181","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","MT","115057174","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","MT","115057159","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","MT","115057210","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","FR","115057002","Union Station","0"," 113 31","1287786"
"113G","FR","115056991","Union Station","0"," 113 32","1287786"
"113G","FR","115057027","Union Station","0"," 113 32","1287786"
"113G","FR","115057019","Union Station","0"," 113 30","1287786"
"113G","FR","115057029","Union Station","0"," 113 31","1287786"
"113B","FR","115057076","Westminster Station","1"," 113  2","1287800"
"113B","FR","115057078","Westminster Station","1"," 113  2","1287800"
"113G","FR","115057082","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","FR","115057085","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","FR","115057073","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","FR","115057032","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113B","FR","115057063","Westminster Station","1"," 113  2","1287800"
"113G","FR","115057087","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","FR","115057043","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","FR","115057045","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","FR","115057054","Wheat Ridge Ward Station","1"," 113 30","1287803"
"A","SA","115069152","Denver Airport","0","   A  2","1288346"
"A","SA","115069145","Denver Airport","0","   A  2","1288346"
"A","SA","115069169","Denver Airport","0","   A  2","1288346"
"A","SA","115069130","Denver Airport","0","   A  3","1288346"
"A","SA","115069179","Denver Airport","0","   A  3","1288346"
"A","SA","115069182","Denver Airport","0","   A  4","1288346"
"A","SA","115069171","Denver Airport","0","   A  4","1288346"
"A","SA","115069240","Union Station","1","   A  2","1288349"
"A","SA","115069220","Union Station","1","   A  3","1288349"
"A","SA","115069215","Union Station","1","   A  3","1288349"
"A","SA","115069262","Union Station","1","   A  3","1288349"
"A","SA","115069241","Union Station","1","   A  3","1288349"
"A","SA","115069219","Union Station","1","   A  6","1288349"
"A","SA","115069213","Union Station","1","   A  6","1288349"
"A","SA","115069260","Union Station","1","   A  6","1288349"
"A","SA","115069207","Union Station","1","   A  6","1288349"
"A","SU","115069339","Denver Airport","0","   A  5","1288346"
"A","SU","115069353","Denver Airport","0","   A  6","1288346"
"A","SU","115069312","Denver Airport","0","   A  6","1288346"
"A","SU","115069349","Denver Airport","0","   A  1","1288346"
"A","SU","115069342","Denver Airport","0","   A  1","1288346"
"A","SU","115069355","Denver Airport","0","   A  3","1288346"
"A","SU","115069430","Union Station","1","   A  4","1288349"
"A","SU","115069402","Union Station","1","   A  4","1288349"
"A","SU","115069432","Union Station","1","   A  6","1288349"
"A","SU","115069393","Union Station","1","   A  6","1288349"
"A","SU","115069438","Union Station","1","   A  7","1288349"
"A","SU","115069422","Union Station","1","   A  1","1288349"
"A","SU","115069362","Union Station","1","   A  3","1288349"
"A","MT","115068994","Denver Airport","0","   A  4","1288346"
"A","MT","115069033","Denver Airport","0","   A  4","1288346"
"A","MT","115069036","Denver Airport","0","   A  5","1288346"
"A","MT","115069032","Denver Airport","0","   A  1","1288346"
"A","MT","115069025","Denver Airport","0","   A  1","1288346"
"A","MT","115068967","Denver Airport","0","   A  2","1288346"
"A","MT","115069038","Denver Airport","0","   A  2","1288346"
"A","MT","115069040","Denver Airport","0","   A  3","1288346"
"A","MT","115068973","Denver Airport","0","   A  3","1288346"
"A","MT","115068966","Denver Airport","0","   A  3","1288346"
"A","MT","115068984","Denver Airport","0","   A  3","1288346"
"A","MT","115069030","Denver Airport","0","   A  3","1288346"
"A","MT","115069046","Union Station","1","   A  3","1288349"
"A","MT","115069072","Union Station","1","   A  5","1288349"
"A","MT","115069092","Union Station","1","   A  1","1288349"
"A","MT","115069052","Union Station","1","   A  1","1288349"
"A","MT","115069098","Union Station","1","   A  2","1288349"
"A","FR","115068835","Denver Airport","0","   A  3","1288346"
"A","FR","115068834","Denver Airport","0","   A  4","1288346"
"A","FR","115068861","Denver Airport","0","   A  5","1288346"
"A","FR","115068806","Denver Airport","0","   A  6","1288346"
"A","FR","115068833","Denver Airport","0","   A  1","1288346"
"A","FR","115068820","Denver Airport","0","   A  2","1288346"
"A","FR","115068811","Denver Airport","0","   A  3","1288346"
"A","FR","115068884","Denver Airport","0","   A  3","1288346"
"A","FR","115068924","Union Station","1","   A  3","1288349"
"A","FR","115068952","Union Station","1","   A  5","1288349"
"A","FR","115068934","Union Station","1","   A  1","1288349"
"A","FR","115068926","Union Station","1","   A  1","1288349"
"A","FR","115068933","Union Station","1","   A  2","1288349"
"A","FR","115068960","Union Station","1","   A  3","1288349"
"A","FR","115068906","Union Station","1","   A  3","1288349"
"A","FR","115068946","Union Station","1","   A  3","1288349"
"113B","SA","115057277","Union Station","0"," 113  1","1287792"
"113B","SA","115057281","Union Station","0"," 113  1","1287792"
"113G","SA","115057230","Union Station","0"," 113 30","1287786"
"113G","SA","115057245","Union Station","0"," 113 31","1287786"
"113G","SA","115057261","Union Station","0"," 113 31","1287786"
"113G","SA","115057237","Union Station","0"," 113 32","1287786"
"113B","SA","115057297","Westminster Station","1"," 113  1","1287800"
"113G","SA","115057323","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","SA","115057326","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","SA","115057332","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","SA","115057335","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","SA","115057301","Wheat Ridge Ward Station","1"," 113 30","1287803"
"113G","SA","115057324","Wheat Ridge Ward Station","1"," 113 31","1287803"
"113G","SA","115057322","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","SA","115057328","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","SA","115057333","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113G","SA","115057306","Wheat Ridge Ward Station","1"," 113 32","1287803"
"113B","SA","115057287","Westminster Station","1"," 113  1","1287800"
"113B","SU","115057361","Union Station","0"," 113  1","1287792"
"113B","SU","115057359","Union Station","0"," 113  1","1287792"
"113B","SU","115057358","Union Station","0"," 113  1","1287792"
"113B","SU","115057353","Union Station","0"," 113  1","1287792"
"113G","SU","115057402","Union Station","0"," 113 30","1287786"
"113G","SU","115057348","Union Station","0"," 113 31","1287786"
"113G","SU","115057395","Union Station","0"," 113 32","1287786"
"113G","SU","115057384","Union Station","0"," 113 32","1287786"
"113B","SU","115057410","Westminster Station","1"," 113  1","1287800"
"113B","SU","115057425","Westminster Station","1"," 113  1","1287800"
