trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
300-Summer,04:52:00,04:52:00,078CADB54DE04AA996C133AEDEE8BB5F,1,,,,0
300-Summer,05:03:00,05:03:00,62E201E23B5148898D8B3B73B9395B4B,2,,,,10040
300-Summer,05:10:00,05:10:00,E67A53B0B9AB4E619C21D7C16C034501,3,,,,16676
300-Summer,05:16:00,05:16:00,5E1E78E6CA654F5AA0E2FE485DA71495,4,,,,24123
300-Summer,05:38:00,05:38:00,7113724B905946399163A4CB5AAB66A1,5,,,,58568
300-Summer,06:01:00,06:01:00,60ADB9309B084464BBCC2C1ABCD908E8,6,,,,85392
300-Summer,06:14:00,06:14:00,8E0AECA660E44BA39BDF374FF1D09F96,7,,,,91926
300-Summer,06:22:00,06:22:00,BC30329248DF4E6E8A114C0822124408,8,,,,96031
300-Summer,06:30:00,06:30:00,C9C9EEB6CE1A46C3BD0901F3F225933E,9,,,,98955
301-Summer,13:00:00,13:00:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
301-Summer,13:08:00,13:08:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
301-Summer,13:15:00,13:15:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7029
301-Summer,13:23:00,13:23:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13563
301-Summer,13:34:00,13:34:00,B0B4F69638D547C988E9A71DB08D3BBC,5,,,,25664
301-Summer,13:41:00,13:41:00,86470B019FB24F4E9102A97F07848105,6,,,,33086
301-Summer,13:49:00,13:49:00,7113724B905946399163A4CB5AAB66A1,7,,,,40387
301-Summer,13:55:00,13:55:00,BD92F07447C74C9DA620D889725EF244,8,,,,45729
301-Summer,14:07:00,14:07:00,34EA179D31FE4CA5A9A5A42D9CCE8156,9,,,,57110
301-Summer,14:26:00,14:26:00,5E1E78E6CA654F5AA0E2FE485DA71495,10,,,,74832
301-Summer,14:35:00,14:35:00,E67A53B0B9AB4E619C21D7C16C034501,11,,,,82279
301-Summer,14:43:00,14:43:00,62E201E23B5148898D8B3B73B9395B4B,12,,,,88915
301-Summer,14:56:00,14:56:00,078CADB54DE04AA996C133AEDEE8BB5F,13,,,,98955
302-Summer,05:06:00,05:06:00,078CADB54DE04AA996C133AEDEE8BB5F,1,,,,0
302-Summer,05:17:00,05:17:00,62E201E23B5148898D8B3B73B9395B4B,2,,,,10040
302-Summer,05:24:00,05:24:00,E67A53B0B9AB4E619C21D7C16C034501,3,,,,16676
