trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
400,1:30:00,1:30:00,s19,1,0,0
400,2:08:00,2:08:00,s17,2,0,0
102,4:08:00,4:08:00,s17,1,0,0
102,4:14:00,4:14:00,s16,2,0,0
102,4:20:00,4:20:00,s15,3,0,0
102,4:25:00,4:25:00,s14,4,0,0
102,4:32:00,4:32:00,s13,5,0,0
102,4:37:00,4:37:00,s12,6,0,0
102,4:42:00,4:42:00,s11,7,0,0
102,4:47:00,4:47:00,s10,8,0,0
102,4:51:00,4:51:00,s9,9,0,0
102,4:56:00,4:56:00,s8,10,0,0
102,5:00:00,5:00:00,s7,11,0,0
102,5:20:00,5:20:00,s5,12,1,0
102,5:26:00,5:26:00,s3,13,1,0
102,5:29:00,5:29:00,s2,14,1,0
102,5:32:00,5:32:00,s1,15,0,0
104,5:01:00,5:01:00,s16,1,0,0
104,5:11:00,5:11:00,s14,2,0,0
104,5:18:00,5:18:00,s13,3,0,0
104,5:23:00,5:23:00,s12,4,0,0
104,5:35:00,5:35:00,s9,5,0,0
104,5:40:00,5:40:00,s8,6,0,0
104,5:44:00,5:44:00,s7,7,0,0
104,6:01:00,6:01:00,s5,8,1,0
104,6:09:00,6:09:00,s2,9,1,0
104,6:12:00,6:12:00,s1,10,0,0
106,5:06:00,5:06:00,s17,1,0,0
106,5:12:00,5:12:00,s16,2,0,0
106,5:18:00,5:18:00,s15,3,0,0
106,5:23:00,5:23:00,s14,4,0,0
106,5:30:00,5:30:00,s13,5,0,0
106,5:35:00,5:35:00,s12,6,0,0
106,5:40:00,5:40:00,s11,7,0,0
106,5:45:00,5:45:00,s10,8,0,0
106,5:49:00,5:49:00,s9,9,0,0
106,5:54:00,5:54:00,s8,10,0,0
106,5:58:00,5:58:00,s7,11,0,0
106,6:15:00,6:15:00,s5,12,1,0
106,6:21:00,6:21:00,s3,13,1,0
106,6:24:00,6:24:00,s2,14,1,0
106,6:27:00,6:27:00,s1,15,0,0
8,5:04:00,5:04:00,s19,1,0,0
8,5:46:00,5:46:00,s16,2,0,0
8,5:56:00,5:56:00,s14,3,0,0
8,6:18:00,6:18:00,s9,4,0,0
8,6:42:00,6:42:00,s5,5,1,0
8,6:50:00,6:50:00,s2,6,1,0
