"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"115057079","24:01:00","24:01:00","34781","1",,"0","1",,"1"
"115057079","24:05:00","24:05:00","34558","2",,"0","0",,"1"
"115057079","24:09:00","24:09:00","34544","3",,"0","0",,"1"
"115057079","24:12:00","24:12:00","34530","4",,"0","0",,"1"
"115057079","24:15:00","24:15:00","34526","5",,"0","0",,"1"
"115057079","24:19:00","24:19:00","34542","6",,"0","0",,"1"
"115057079","24:22:00","24:22:00","34520","7",,"0","0",,"1"
"115057079","24:28:00","24:28:00","34510","8",,"1","0",,"1"
"115069106","06:27:00","06:27:00","34476","1",,"0","1",,"1"
"115069106","06:36:00","06:36:00","34606","2",,"0","0",,"1"
"115069106","06:40:00","06:40:00","34474","3",,"0","0",,"1"
"115069106","06:46:00","06:46:00","34472","4",,"0","0",,"1"
"115069106","06:49:00","06:49:00","34470","5",,"0","0",,"1"
"115069106","06:53:00","06:53:00","34468","6",,"0","0",,"1"
"115069106","06:58:00","06:58:00","34466","7",,"0","0",,"1"
"115069106","07:04:00","07:04:00","34667","8",,"1","0",,"1"
"115068949","12:27:00","12:27:00","34476","1",,"0","1",,"1"
"115068949","12:36:00","12:36:00","34606","2",,"0","0",,"1"
"115068949","12:40:00","12:40:00","34474","3",,"0","0",,"1"
"115068949","12:46:00","12:46:00","34472","4",,"0","0",,"1"
"115068949","12:49:00","12:49:00","34470","5",,"0","0",,"1"
"115068949","12:53:00","12:53:00","34468","6",,"0","0",,"1"
"115068949","12:58:00","12:58:00","34466","7",,"0","0",,"1"
"115068949","13:04:00","13:04:00","34667","8",,"1","0",,"1"
"115057101","10:43:00","10:43:00","34560","1",,"0","1",,"1"
"115057101","10:45:00","10:45:00","34543","2",,"0","0",,"1"
"115057101","10:49:00","10:49:00","34559","3",,"0","0",,"1"
"115057101","10:58:00","10:58:00","34782","4",,"1","0",,"1"
"115057097","14:43:00","14:43:00","34560","1",,"0","1",,"1"
"115057097","14:45:00","14:45:00","34543","2",,"0","0",,"1"
