trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
114238,16:05:00,16:05:00,NHV,1,0,0,1
114238,16:07:00,16:07:00,STS,2,0,0,1
114238,16:15:00,16:15:00,BNF,3,0,0,1
114238,16:23:00,16:23:00,GUI,4,0,0,1
114238,16:28:00,16:28:00,MDS,5,0,0,1
114238,16:33:00,16:33:00,CLN,6,0,0,1
114238,16:38:00,16:38:00,WSB,7,0,0,1
114238,16:45:00,16:45:00,OSB,8,0,0,1
114238,17:10:00,17:10:00,NLC,9,0,0,1
114240,16:05:00,16:05:00,NHV,1,0,0,1
114240,16:07:00,16:07:00,STS,2,0,0,1
114240,16:15:00,16:15:00,BNF,3,0,0,1
114240,16:23:00,16:23:00,GUI,4,0,0,1
114240,16:28:00,16:28:00,MDS,5,0,0,1
114240,16:33:00,16:33:00,CLN,6,0,0,1
114240,16:38:00,16:38:00,WSB,7,0,0,1
114240,16:45:00,16:45:00,OSB,8,0,0,1
114240,17:10:00,17:10:00,NLC,9,0,0,1
114241,9:12:00,9:12:00,NHV,1,0,0,1
114241,9:14:00,9:14:00,STS,2,0,0,1
114241,9:25:00,9:25:00,BNF,3,0,0,1
114241,9:33:00,9:33:00,GUI,4,0,0,1
114241,9:44:00,9:44:00,CLN,5,0,0,1
114241,9:49:00,9:49:00,WSB,6,0,0,1
114241,9:56:00,9:56:00,OSB,7,0,0,1
114241,10:20:00,10:20:00,NLC,8,0,0,1
114243,9:12:00,9:12:00,NHV,1,0,0,1
114243,9:14:00,9:14:00,STS,2,0,0,1
114243,9:25:00,9:25:00,BNF,3,0,0,1
114243,9:33:00,9:33:00,GUI,4,0,0,1
114243,9:44:00,9:44:00,CLN,5,0,0,1
114243,9:49:00,9:49:00,WSB,6,0,0,1
114243,9:56:00,9:56:00,OSB,7,0,0,1
114243,10:20:00,10:20:00,NLC,8,0,0,1
114244,10:45:00,10:45:00,NHV,1,0,0,1
114244,10:47:00,10:47:00,STS,2,0,0,1
114244,10:57:00,10:57:00,BNF,3,0,0,1
114244,11:06:00,11:06:00,GUI,4,0,0,1
114244,11:14:00,11:14:00,CLN,5,0,0,1
114244,11:19:00,11:19:00,WSB,6,0,0,1
114244,11:27:00,11:27:00,OSB,7,0,0,1
114244,11:55:00,11:55:00,NLC,8,0,0,1
114246,10:45:00,10:45:00,NHV,1,0,0,1
114246,10:47:00,10:47:00,STS,2,0,0,1
114246,10:57:00,10:57:00,BNF,3,0,0,1
114246,11:06:00,11:06:00,GUI,4,0,0,1
114246,11:14:00,11:14:00,CLN,5,0,0,1
114246,11:19:00,11:19:00,WSB,6,0,0,1
114246,11:27:00,11:27:00,OSB,7,0,0,1
114246,11:55:00,11:55:00,NLC,8,0,0,1
114247,6:25:00,6:25:00,NLC,1,0,0,1
114247,6:46:00,6:46:00,OSB,2,0,0,1
114247,6:51:00,6:51:00,WSB,3,0,0,1
114247,6:56:00,6:56:00,CLN,4,0,0,1
114247,7:01:00,7:01:00,MDS,5,0,0,1
114247,7:06:00,7:06:00,GUI,6,0,0,1
114247,7:14:00,7:14:00,BNF,7,0,0,1
114247,7:26:00,7:26:00,STS,8,0,0,1
114247,7:30:00,7:30:00,NHV,9,0,0,1
114249,6:25:00,6:25:00,NLC,1,0,0,1
114249,6:46:00,6:46:00,OSB,2,0,0,1
114249,6:51:00,6:51:00,WSB,3,0,0,1
114249,6:56:00,6:56:00,CLN,4,0,0,1
114249,7:01:00,7:01:00,MDS,5,0,0,1
114249,7:06:00,7:06:00,GUI,6,0,0,1
114249,7:14:00,7:14:00,BNF,7,0,0,1
114249,7:26:00,7:26:00,STS,8,0,0,1
114249,7:30:00,7:30:00,NHV,9,0,0,1
114250,13:00:00,13:00:00,NHV,1,0,0,1
114250,13:02:00,13:02:00,STS,2,0,0,1
114250,13:12:00,13:12:00,BNF,3,0,0,1
114250,13:20:00,13:20:00,GUI,4,0,0,1
114250,13:25:00,13:25:00,MDS,5,0,0,1
114250,13:30:00,13:30:00,CLN,6,0,0,1
114250,13:35:00,13:35:00,WSB,7,0,0,1
114250,13:42:00,13:42:00,OSB,8,0,0,1
114250,14:05:00,14:05:00,NLC,9,0,0,1
114252,13:00:00,13:00:00,NHV,1,0,0,1
114252,13:02:00,13:02:00,STS,2,0,0,1
114252,13:12:00,13:12:00,BNF,3,0,0,1
114252,13:20:00,13:20:00,GUI,4,0,0,1
114252,13:25:00,13:25:00,MDS,5,0,0,1
114252,13:30:00,13:30:00,CLN,6,0,0,1
114252,13:35:00,13:35:00,WSB,7,0,0,1
114252,13:42:00,13:42:00,OSB,8,0,0,1
114252,14:05:00,14:05:00,NLC,9,0,0,1
114253,8:18:00,8:18:00,NLC,1,0,0,1
114253,8:39:00,8:39:00,OSB,2,0,0,1
114253,8:44:00,8:44:00,WSB,3,0,0,1
114253,8:49:00,8:49:00,CLN,4,0,0,1
114253,8:54:00,8:54:00,MDS,5,0,0,1
114253,8:59:00,8:59:00,GUI,6,0,0,1
114253,9:07:00,9:07:00,BNF,7,0,0,1
114253,9:19:00,9:19:00,STS,8,0,0,1
114253,9:23:00,9:23:00,NHV,9,0,0,1
114255,8:18:00,8:18:00,NLC,1,0,0,1
114255,8:39:00,8:39:00,OSB,2,0,0,1
114255,8:44:00,8:44:00,WSB,3,0,0,1
114255,8:49:00,8:49:00,CLN,4,0,0,1
114255,8:54:00,8:54:00,MDS,5,0,0,1
114255,8:59:00,8:59:00,GUI,6,0,0,1
114255,9:07:00,9:07:00,BNF,7,0,0,1
114255,9:19:00,9:19:00,STS,8,0,0,1
114255,9:23:00,9:23:00,NHV,9,0,0,1
114256,10:35:00,10:35:00,NLC,1,0,0,1
114256,11:00:00,11:00:00,OSB,2,0,0,1
114256,11:07:00,11:07:00,WSB,3,0,0,1
114256,11:12:00,11:12:00,CLN,4,0,0,1
114256,11:17:00,11:17:00,MDS,5,0,0,1
114256,11:22:00,11:22:00,GUI,6,0,0,1
114256,11:30:00,11:30:00,BNF,7,0,0,1
114256,11:42:00,11:42:00,STS,8,0,0,1
114256,11:45:00,11:45:00,NHV,9,0,0,1
114258,10:35:00,10:35:00,NLC,1,0,0,1
114258,11:00:00,11:00:00,OSB,2,0,0,1
114258,11:07:00,11:07:00,WSB,3,0,0,1
114258,11:12:00,11:12:00,CLN,4,0,0,1
114258,11:17:00,11:17:00,MDS,5,0,0,1
114258,11:22:00,11:22:00,GUI,6,0,0,1
114258,11:30:00,11:30:00,BNF,7,0,0,1
114258,11:42:00,11:42:00,STS,8,0,0,1
114258,11:45:00,11:45:00,NHV,9,0,0,1
114259,12:16:00,12:16:00,NLC,1,0,0,1
114259,12:39:00,12:39:00,OSB,2,0,0,1
114259,12:46:00,12:46:00,WSB,3,0,0,1
114259,12:51:00,12:51:00,CLN,4,0,0,1
114259,12:56:00,12:56:00,MDS,5,0,0,1
114259,13:01:00,13:01:00,GUI,6,0,0,1
114259,13:10:00,13:10:00,BNF,7,0,0,1
114259,13:21:00,13:21:00,STS,8,0,0,1
114259,13:25:00,13:25:00,NHV,9,0,0,1
114261,12:16:00,12:16:00,NLC,1,0,0,1
114261,12:39:00,12:39:00,OSB,2,0,0,1
114261,12:46:00,12:46:00,WSB,3,0,0,1
114261,12:51:00,12:51:00,CLN,4,0,0,1
114261,12:56:00,12:56:00,MDS,5,0,0,1
114261,13:01:00,13:01:00,GUI,6,0,0,1
114261,13:10:00,13:10:00,BNF,7,0,0,1
114261,13:21:00,13:21:00,STS,8,0,0,1
114261,13:25:00,13:25:00,NHV,9,0,0,1
114262,14:19:00,14:19:00,NLC,1,0,0,1
114262,14:41:00,14:41:00,OSB,2,0,0,1
114262,14:50:00,14:50:00,WSB,3,0,0,1
114262,14:55:00,14:55:00,CLN,4,0,0,1
114262,15:04:00,15:04:00,GUI,5,0,0,1
114262,15:12:00,15:12:00,BNF,6,0,0,1
114262,15:23:00,15:23:00,STS,7,0,0,1
114262,15:27:00,15:27:00,NHV,8,1,0,1
114264,14:19:00,14:19:00,NLC,1,0,0,1
114264,14:41:00,14:41:00,OSB,2,0,0,1
114264,14:50:00,14:50:00,WSB,3,0,0,1
114264,14:55:00,14:55:00,CLN,4,0,0,1
114264,15:04:00,15:04:00,GUI,5,0,0,1
114264,15:12:00,15:12:00,BNF,6,0,0,1
114264,15:23:00,15:23:00,STS,7,0,0,1
114264,15:27:00,15:27:00,NHV,8,1,0,1
114265,22:25:00,22:25:00,NHV,1,0,0,1
114265,22:27:00,22:27:00,STS,2,0,0,1
114265,22:37:00,22:37:00,BNF,3,0,0,1
114265,22:45:00,22:45:00,GUI,4,0,0,1
114265,22:50:00,22:50:00,MDS,5,0,0,1
114265,22:55:00,22:55:00,CLN,6,0,0,1
114265,23:00:00,23:00:00,WSB,7,0,0,1
114265,23:06:00,23:06:00,OSB,8,0,0,1
114265,23:29:00,23:29:00,NLC,9,0,0,1
114267,22:25:00,22:25:00,NHV,1,0,0,1
114267,22:27:00,22:27:00,STS,2,0,0,1
114267,22:37:00,22:37:00,BNF,3,0,0,1
114267,22:45:00,22:45:00,GUI,4,0,0,1
114267,22:50:00,22:50:00,MDS,5,0,0,1
114267,22:55:00,22:55:00,CLN,6,0,0,1
114267,23:00:00,23:00:00,WSB,7,0,0,1
114267,23:06:00,23:06:00,OSB,8,0,0,1
114267,23:29:00,23:29:00,NLC,9,0,0,1
114268,5:10:00,5:10:00,NHV,1,0,0,1
114268,5:21:00,5:21:00,BNF,2,0,0,1
114268,5:29:00,5:29:00,GUI,3,0,0,1
114268,5:33:00,5:33:00,MDS,4,0,0,1
114268,5:38:00,5:38:00,CLN,5,0,0,1
114268,5:44:00,5:44:00,WSB,6,0,0,1
114268,5:49:00,5:49:00,OSB,7,0,0,1
114268,6:10:00,6:10:00,NLC,8,0,0,1
114270,5:10:00,5:10:00,NHV,1,0,0,1
114270,5:21:00,5:21:00,BNF,2,0,0,1
114270,5:29:00,5:29:00,GUI,3,0,0,1
114270,5:33:00,5:33:00,MDS,4,0,0,1
114270,5:38:00,5:38:00,CLN,5,0,0,1
114270,5:44:00,5:44:00,WSB,6,0,0,1
114270,5:49:00,5:49:00,OSB,7,0,0,1
114270,6:10:00,6:10:00,NLC,8,0,0,1
114271,6:50:00,6:50:00,NHV,1,0,0,1
114271,6:52:00,6:52:00,STS,2,0,0,1
114271,7:02:00,7:02:00,BNF,3,0,0,1
114271,7:10:00,7:10:00,GUI,4,0,0,1
114271,7:18:00,7:18:00,CLN,5,0,0,1
114271,7:23:00,7:23:00,WSB,6,0,0,1
114271,7:32:00,7:32:00,OSB,7,0,0,1
114271,8:00:00,8:00:00,NLC,8,0,0,1
114273,6:50:00,6:50:00,NHV,1,0,0,1
114273,6:52:00,6:52:00,STS,2,0,0,1
114273,7:02:00,7:02:00,BNF,3,0,0,1
114273,7:10:00,7:10:00,GUI,4,0,0,1
114273,7:18:00,7:18:00,CLN,5,0,0,1
114273,7:23:00,7:23:00,WSB,6,0,0,1
114273,7:32:00,7:32:00,OSB,7,0,0,1
114273,8:00:00,8:00:00,NLC,8,0,0,1
114274,23:45:00,23:45:00,NLC,1,0,0,1
114274,24:05:00,24:05:00,OSB,2,0,0,1
114274,24:09:00,24:09:00,WSB,3,0,0,1
114274,24:14:00,24:14:00,CLN,4,0,0,1
114274,24:22:00,24:22:00,GUI,5,0,0,1
114274,24:30:00,24:30:00,BNF,6,0,0,1
114274,24:50:00,24:50:00,NHV,7,0,0,1
114276,23:45:00,23:45:00,NLC,1,0,0,1
114276,24:05:00,24:05:00,OSB,2,0,0,1
114276,24:09:00,24:09:00,WSB,3,0,0,1
114276,24:14:00,24:14:00,CLN,4,0,0,1
114276,24:22:00,24:22:00,GUI,5,0,0,1
114276,24:30:00,24:30:00,BNF,6,0,0,1
114276,24:50:00,24:50:00,NHV,7,0,0,1
114277,17:29:00,17:29:00,NLC,1,0,0,1
114277,17:50:00,17:50:00,OSB,2,0,0,1
114277,17:55:00,17:55:00,WSB,3,0,0,1
114277,18:00:00,18:00:00,CLN,4,0,0,1
114277,18:08:00,18:08:00,GUI,5,0,0,1
114277,18:16:00,18:16:00,BNF,6,0,0,1
114277,18:26:00,18:26:00,STS,7,0,0,1
114277,18:32:00,18:32:00,NHV,8,1,0,1
114279,17:29:00,17:29:00,NLC,1,0,0,1
114279,17:50:00,17:50:00,OSB,2,0,0,1
114279,17:55:00,17:55:00,WSB,3,0,0,1
114279,18:00:00,18:00:00,CLN,4,0,0,1
114279,18:08:00,18:08:00,GUI,5,0,0,1
114279,18:16:00,18:16:00,BNF,6,0,0,1
114279,18:26:00,18:26:00,STS,7,0,0,1
114279,18:32:00,18:32:00,NHV,8,1,0,1
114280,21:00:00,21:00:00,NLC,1,0,0,1
114280,21:21:00,21:21:00,OSB,2,0,0,1
114280,21:26:00,21:26:00,WSB,3,0,0,1
114280,21:31:00,21:31:00,CLN,4,0,0,1
114280,21:39:00,21:39:00,GUI,5,0,0,1
114280,21:47:00,21:47:00,BNF,6,0,0,1
114280,21:57:00,21:57:00,STS,7,0,0,1
114280,22:01:00,22:01:00,NHV,8,1,0,1
114282,21:00:00,21:00:00,NLC,1,0,0,1
114282,21:21:00,21:21:00,OSB,2,0,0,1
114282,21:26:00,21:26:00,WSB,3,0,0,1
114282,21:31:00,21:31:00,CLN,4,0,0,1
114282,21:39:00,21:39:00,GUI,5,0,0,1
114282,21:47:00,21:47:00,BNF,6,0,0,1
114282,21:57:00,21:57:00,STS,7,0,0,1
114282,22:01:00,22:01:00,NHV,8,1,0,1
