from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246065724606585+1093842+1,246065824606655+1093846+1,1,
20,20,,,246068224606931+1093844+1,246068224606921+1093845+1,1,
20,20,,,246068224606933+1093844+1,246068224606923+1093845+1,1,
20,20,,,246069724607004+1093844+1,246069724606994+1093845+1,1,
20,20,,,246072524607284+1093844+1,246072524607274+1093845+1,1,
20,20,,,246066124606651+1093842+1,246066124606641+1093845+1,1,
20,20,,,246068224606932+1093844+1,246068224606922+1093845+1,1,
20,20,,,246068224606934+1093844+1,246068224606924+1093845+1,1,
20,20,,,246069724607003+1093844+1,246069724606993+1093845+1,1,
20,20,,,246070324607212+1093844+1,246070324607202+1093845+1,1,
20,20,,,246070324607213+1093844+1,246070324607203+1093845+1,1,
20,20,,,246066824606725+1093843+1,246067224606725+1093848+1,1,
20,20,,,246067524606761+1093843+1,246067524606751+1093847+1,1,
20,20,,,246067524606762+1093843+1,246067624606762+1093849+1,1,
20,20,,,246070324607214+1093844+1,246070324607204+1093845+1,1,
20,20,,,246073124608123+1093844+1,246073124608113+1093845+1,1,
20,20,,,246073124608124+1093844+1,246073124608114+1093845+1,1,
20,20,,,246066124606652+1093842+1,246066124606642+1093845+1,1,
20,20,,,246066824606724+1093843+1,246066824606714+1093847+1,1,
20,20,,,246067824606794+1093844+1,246067824606784+1093845+1,1,
20,20,,,246068224606935+1093844+1,246067924608125+1093846+1,1,
20,20,,,246070324607211+1093844+1,246070324607201+1093845+1,1,
20,20,,,246070324607215+1093844+1,246067924608125+1093846+1,1,
20,20,,,246065724606584+1093842+1,246065724606574+1093845+1,1,
20,20,,,246066824606721+1093843+1,246066824606711+1093847+1,1,
20,20,,,246066824606722+1093843+1,246066824606712+1093847+1,1,
20,20,,,246069724607002+1093844+1,246069724606992+1093845+1,1,
20,20,,,246069724607005+1093844+1,246067924608125+1093846+1,1,
20,20,,,246073124608121+1093844+1,246073124608111+1093845+1,1,
20,20,,,246066124606653+1093842+1,246066124606643+1093845+1,1,
20,20,,,246066124606654+1093842+1,246066124606644+1093845+1,1,
20,20,,,246067824606795+1093844+1,246067924608125+1093846+1,1,
20,20,,,246072524607282+1093844+1,246072524607272+1093845+1,1,
20,20,,,246072524607283+1093844+1,246072524607273+1093845+1,1,
20,20,,,246072524607285+1093844+1,246067924608125+1093846+1,1,
20,20,,,246073124608122+1093844+1,246073124608112+1093845+1,1,
20,20,,,246073124608125+1093844+1,246067924608125+1093846+1,1,
20,20,,,246066124606655+1093842+1,246065824606655+1093846+1,1,
20,20,,,246068224606922+1093893+1,246068224606922+1096583+1,1,
20,20,,,246069724606994+1093893+1,246069724606994+1096583+1,1,
20,20,,,246073124608113+1093893+1,246073124608113+1096583+1,1,
20,20,,,246068224606924+1093893+1,246068224606924+1096583+1,1,
20,20,,,246070324607202+1093893+1,246070324607202+1096583+1,1,
20,20,,,246066124606644+1093893+1,246066124606644+1096583+1,1,
20,20,,,246068224606921+1093893+1,246068224606921+1096583+1,1,
20,20,,,246069724606993+1093893+1,246069724606993+1096583+1,1,
20,20,,,246070324607201+1093893+1,246070324607201+1096583+1,1,
20,20,,,246073124608111+1093893+1,246073124608111+1096583+1,1,
20,20,,,246065824608125+1093894+1,246067224606725+1093958+1,1,
20,20,,,246065724606574+1093893+1,246065724606574+1096583+1,1,
20,20,,,246066124606641+1093893+1,246066124606641+1096583+1,1,
20,20,,,246066124606643+1093893+1,246066124606643+1096583+1,1,
20,20,,,246068224606923+1093893+1,246068224606923+1096583+1,1,
20,20,,,246070324607204+1093893+1,246070324607204+1096583+1,1,
20,20,,,246072524607273+1093893+1,246072524607273+1096583+1,1,
20,20,,,246073124608114+1093893+1,246073124608114+1096583+1,1,
20,20,,,246067824606784+1093893+1,246067824606784+1096583+1,1,
20,20,,,246070324607203+1093893+1,246070324607203+1096583+1,1,
20,20,,,246073124608112+1093893+1,246073124608112+1096583+1,1,
20,20,,,246072524607272+1093893+1,246072524607272+1096583+1,1,
20,20,,,246065824608125+1093894+1,246065824606655+1093956+1,1,
20,20,,,246067624606762+1093896+1,246067624606762+1096584+1,1,
20,20,,,246066124606642+1093893+1,246066124606642+1096583+1,1,
20,20,,,246069724606992+1093893+1,246069724606992+1096583+1,1,
20,20,,,246072524607274+1093893+1,246072524607274+1096583+1,1,
20,20,,,246065824608125+1093894+1,246067924608125+1093959+1,1,
33,33,,,246066124606655+1096750+0,246065824606655+1096377+1,1,
33,33,,,246070324607212+1096750+0,246070324607202+1096376+1,1,
33,33,,,246070324607214+1096750+0,246070324607204+1096376+1,1,
33,33,,,246066124606643+1096755+1,246066124606653+1096391+1,1,
33,33,,,246068224606924+1096755+1,246068224606934+1096391+1,1,
