route_id,service_id,trip_id,trip_short_name,trip_headsign,shape_id,direction_id
2,9,P601X,"P601X","South",3,0
2,9,P605X,"P605X","South",3,0
2,9,P611X,"P611X","South",3,0
2,9,P615X,"P615X","South",3,0
2,9,P621X,"P621X","South",3,0
2,9,P623X,"P623X","South",3,0
2,9,P625X,"P625X","South",3,0
2,9,P629X,"P629X","South",3,0
2,9,P635X,"P635X","South",3,0
2,9,P639X,"P639X","South",3,0
2,11,P661X,"P661X","South",3,0
2,11,P663X,"P663X","South",3,0
2,11,P665X,"P665X","South",3,0
2,11,P667X,"P667X","South",3,0
2,11,P669X,"P669X","South",3,0
2,11,P671X,"P671X","South",3,0
2,11,P673X,"P673X","South",3,0
2,11,P675X,"P675X","South",3,0
2,11,P677X,"P677X","South",3,0
2,11,P679X,"P679X","South",3,0
2,11,P681X,"P681X","South",3,0
2,11,P683X,"P683X","South",3,0
2,9,P618X,"P618X","North",4,1
2,9,P620X,"P620X","North",4,1
2,9,P622X,"P622X","North",4,1
2,9,P628X,"P628X","North",4,1
2,9,P630X,"P630X","North",4,1
2,9,P634X,"P634X","North",4,1
2,9,P644X,"P644X","North",4,1
2,9,P646X,"P646X","North",4,1
2,9,P648X,"P648X","North",4,1
2,11,P668X,"P668X","North",4,1
2,11,P670X,"P670X","North",4,1
2,11,P672X,"P672X","North",4,1
2,11,P674X,"P674X","North",4,1
2,11,P676X,"P676X","North",4,1
2,11,P678X,"P678X","North",4,1
2,11,P680X,"P680X","North",4,1
2,11,P682X,"P682X","North",4,1
2,11,P684X,"P684X","North",4,1
2,11,P686X,"P686X","North",4,1
2,11,P688X,"P688X","North",4,1
1,9,P600,"P600","North",1,1
1,9,P608,"P608","North",1,1
1,9,P618,"P618","North",1,1
1,9,P616,"P616","North",1,1
1,9,P626,"P626","North",1,1
1,9,P620,"P620","North",1,1
1,9,P614,"P614","North",1,1
1,9,P630,"P630","North",1,1
1,9,P632,"P632","North",1,1
1,9,P636,"P636","North",1,1
1,9,P640,"P640","North",1,1
1,9,P642,"P642","North",1,1
1,9,P648,"P648","North",1,1
1,9,P604,"P604","North",1,1
1,9,P624,"P624","North",1,1
1,9,P610,"P610","North",1,1
1,9,P628,"P628","North",1,1
1,9,P602,"P602","North",1,1
1,9,P606,"P606","North",1,1
1,9,P612,"P612","North",1,1
1,9,P634,"P634","North",1,1
1,9,P646,"P646","North",1,1
1,9,P644,"P644","North",1,1
1,9,P622,"P622","North",1,1
1,9,P650,"P650","North",1,1
1,11,P662,"P662","North",1,1
1,11,P666,"P666","North",1,1
1,11,P670,"P670","North",1,1
1,11,P674,"P674","North",1,1
1,11,P678,"P678","North",1,1
1,11,P682,"P682","North",1,1
1,11,P686,"P686","North",1,1
1,11,P688,"P688","North",1,1
1,11,P660,"P660","North",1,1
1,11,P668,"P668","North",1,1
1,11,P672,"P672","North",1,1
1,11,P676,"P676","North",1,1
1,11,P680,"P680","North",1,1
1,11,P684,"P684","North",1,1
1,11,P664,"P664","North",1,1
1,11,P667,"P667","South",2,0
1,11,P663,"P663","South",2,0
1,11,P671,"P671","South",2,0
1,11,P675,"P675","South",2,0
1,11,P679,"P679","South",2,0
1,11,P683,"P683","South",2,0
1,11,P687,"P687","South",2,0
1,11,P689,"P689","South",2,0
1,11,P661,"P661","South",2,0
1,11,P665,"P665","South",2,0
1,11,P673,"P673","South",2,0
1,11,P677,"P677","South",2,0
1,11,P681,"P681","South",2,0
1,11,P685,"P685","South",2,0
1,11,P669,"P669","South",2,0
1,9,P619,"P619","South",2,0
1,9,P623,"P623","South",2,0
1,9,P615,"P615","South",2,0
1,9,P627,"P627","South",2,0
1,9,P621,"P621","South",2,0
1,9,P601,"P601","South",2,0
1,9,P607,"P607","South",2,0
1,9,P633,"P633","South",2,0
1,9,P635,"P635","South",2,0
1,9,P639,"P639","South",2,0
1,9,P641,"P641","South",2,0
1,9,P645,"P645","South",2,0
1,9,P647,"P647","South",2,0
1,9,P649,"P649","South",2,0
1,9,P625,"P625","South",2,0
1,9,P611,"P611","South",2,0
1,9,P603,"P603","South",2,0
1,9,P605,"P605","South",2,0
1,9,P613,"P613","South",2,0
1,9,P617,"P617","South",2,0
1,9,P637,"P637","South",2,0
1,9,P643,"P643","South",2,0
1,9,P609,"P609","South",2,0
1,9,P629,"P629","South",2,0
1,9,P651,"P651","South",2,0
2,9,P610X,"P610X","North",4,1
2,9,P616X,"P616X","North",4,1
2,9,P650X,"P650X","North",4,1
2,9,P651X,"P651X","South",3,0
3,9,X301,"X301","South",6,
3,9,X302,"X302","North",5,
1,9,P638,"P638","North",1,1
1,9,P631,"P631","South",2,0
2,9,P305X,"P305X","South",3,0
